MenuCode,Name,DefaultValue,Min,Max,Unit,Enum,Help
DEM,Defrost Method (name),0,0,3,,"0:No defrost,1:Start;Time Stop;Control temp,2:Start;Time Stop;Defrost temp,3:Start & Stop;Defrost temp","Coldest temperature allowed at the warmest set-point after which an alarm would be raised.
"
FOD,Fan on during defrost,1024,0,1,,"1:Enable,0:Disable","Time delay to raise over or undertemperature alarm signal. It is not active at power up.
"
HGD,Hot-Gas Defrost,1024,0,1,,"1:Enable,0:Disable",Selection of defrost method
DTT,Defrost Terminate Temperature,5,0,50,°C,,"1. No Defrost: Select this option if you don't need defrost functionality. If this option is selected, it will disable all defrost related parameters."
DRT,Defrost Reset Temperature,5,0,50,°C,,
DST,Defrost Start Temperature,-10,-25,0,°C,,"2. Start by Time, Stop by Cabinet temperature: Select this option, if you want to start defrost after fixed specified accumulated compressor run time intervals, and stop the defrost when the desired Cabinet temperature (measures by temperature/ cabinet sensor) is reached as set in the Defrost Terminate temperatur (DTT) parameter."
DRT,Drip-off Time,0,0,1800,Sec,,
MIT,Minimum Defrost Time,600,0,3600,Sec,,"3. Start by Time, Stop by Evaporator temperature: Select this option, if you want to start defrost after fixed specified accumulated compressor run time intervals, and stop the defrost when the desired evaporator temperature (measures by evaporator sensor) is reached as set in the Defrost Terminate temperatur (DTT) parameter."
MAT,Maximum Defrost Time,1200,0,7200,Sec,,
MII,Minimum Defrost Interval,360,0,720,Min,,"4. Start and Stop by Evaporator temperature: Select this option, if you want to start and stop the defrost based on evaporator temperature."
MAI,Maximum Defrost Interval,480,0,2160,Min,,"
"
FSA,Fan Start Delay,0,0,1800,Sec,,Used in natural defrost method to accelerate the defrosting.
FSO,Fan Stop Delay,0,0,1800,Sec,,if set: The compressor will contine to run during defrost. The relay-output is used to control a Hot Gas By-pass valve instead of the defrost heater.
CWT,Condenser Warning Temperature,70,0,85,°C,,"Temperature at which the defrost session will be terminated.
"
CST,Condenser Stop Temperature,80,0,85,°C,,"If the evaporator temperature is above the defrost Reset Temperature, the defrost interval counter will be reset to zero at this temperature. "
VPF,Voltage Protect function,1024,0,1,,"1:Enable,0:Disable",
MIV,Minimum Cut-inVoltage,185,80,210,V,,"TIP: This temperature should be set lower than the Defrost Terminate Temperature. The purpose of this function is to only count the time, where the evaporator is cold enough to build up frost."""""
VTR,Voltage Threshold,15,0,20,V,,"Evaporator Temperature at which the defrost can be triggered if option 4 (Start and Stop by Evaporator temperature sensor) is selected
"
MAV,Maximum Cut-in Voltage,260,130,264,V,,"If a heater is used to run the defrost session, this is the delay for compressor start after defrost terminates (waiting for water to drip off the evaporator)
"
STF,Stop function,1024,0,1,,"1:Enable,0:Disable","Minimum time limit defined for defrost duration
"
ZCF,Zero-Cross switching Function,1024,0,1,,"1:Enable,0:Disable","Maximum time limit defined for defrost duration
"
STY,Sensor Type (name),1,0,1,,"0:Shibuara,1:Epcos","Minimum time interval between two defrost sessions
"
ZCS,Zero-Cross Switching,0,-100,100,%,,"Maximum time interval between two defrost sessions. Only used by defrost method 4 (Start and Stop by Evaporator temperature)
"
RCD,Remote display fahrenheit,2,0,1,,"1:Enable,0:Disable","Time delay to start the fan after compressor cut-in
"
RSR,Remote display 1 decimal,2,0,1,,"1:Enable,0:Disable","Time delay to stop the fan afer compressor cut-out
"
RLD,Remote Lock at Defrost,2,0,1,,"1:Enable,0:Disable",
RID,Remote Indicate Defrost,2,0,1,,"1:Enable,0:Disable",
RLS,Remote  Lock to Setpoint,2,0,1,,"1:Enable,0:Disable",
RSF,Remote Stop Function,2,0,1,,"1:Enable,0:Disable","The lowest voltage at which the compressor is allowed to Cut-in.
"
RSO,Remote Sensor Offset,0,-10,10,K,,"When voltage falls below the Minimum cut-in voltage, it waits until it reaches (MIV-VTR) after which it cuts-out the compressor. After this, the compressor would start again at Minimum Cut-in voltage (MIV) parameter."
RSD,Remote Sensor Deviation,0,-10,10,K,,This parameter will avoid sudden switching on and off of compressor due to voltage fluctuations.
RST,Remote Sample Time,10,0,255,Sec,,"This cut-off voltage will override compressor minimum run time."""
RDL,Remote Display Locktime,0,0,1440,Min,,"
High voltage limit. If the voltage exceeds this limit, the compressor will turn off and is not allowed to start until the line voltage goes below this limit or minimum compressor stop time."
,Defrost temperature,0,0,0,°C,,"
""
""
""
This parameter enhaces the relay life and also avoid relay sparks during relay on and off.This parameter is normally set to 0, which means, that the relay will be switched on and off when the line-voltage crosses zero. Hovewer, if you exactly know the power-factor of your load, you can adjust the switching time to compensate for that. "
,User set,0,0,0,% 0: Warm 100%: Cold,,"
If set, the display will show the temperature in Fahrenheit."""
,Voltage,0,0,0,V,,"If set, the display will show the temperature with one decimal point."
,RelayCount,0,0,0, ,,"If set, the display will not change value during defrost. The lock time is specified by Remote display Locktime""."""
,Cutin Cpr,0,0,0,°C,,
,Cutout Cpr,0,0,0,°C,,"Similar to RLD except that display will show set point value rather than display being locked as DEF""."""
,Alarm high temp,0,0,0,°C,,"If set, you can set the thermostat in stop-position by pressing the two buttons simultaneously for more than 5 seconds. Stop will then be indicated by 3 dashes at the display."
,Alarm low temp,0,0,0,°C,,"This parameter can be used to calibrate for sensor tolerances. It cancels the deviation caused by long lengths of sensor cable.
"
,Compressor,0,0,1, ,"1:On,0:Off","This parameter is used to compensate for bad sensor placement, to minimize the influence of the ambient temperature to the sensor.
"
,Fan,0,0,1, ,"1:On,0:Off","if RST parameter is set to zero, the temperature would be displayed immediately as it is read from the sensor.  If set to any other value for example 10, ETP R1 would sample the temperature every ten seconds and moving average of 20 samples would be calculated. So if there is a temperature change, the ETPR1 would take 20 multiplied by 10 seconds i.e., 200 Secs(Max) to reach the exact temperature.
"
,Heater,0,0,1, ,"1:On,0:Off","To avoid temperature fluctuations to be visible to the user, you can lock the display to show the temperature before a defrost was started. Or you can let the display show the setpoint. This parameter specifies how long time, it should be locked.
"
,Status,0,0,16,,"0:CTR_Run,1:CTR_Standby,2:CTR_Defrost,3:CTR_Error,4:CTR_Start,5:CTR_Off,6:Def End,7:Fac test",
,Alarm,0,0,16,,"0:None,1:Control,2:Defrost,3:Condensor,4:Compressor,5:Heater,6:POT,7:Voltage_low,8:Voltage_high,9:Condensor_hot,10:Condensor_Warm,11:Over_Temp_Alarm,12:Under_Temp_Alarm",
,Factory test,0,0,65535,,,
 ,Control temperature,0,0,0,°C, ,
 ,Panel Spindle Selection,0,0,2,,"0:Panel,1:Panel+Spindle with Stop Function,2:Panel + Spindle without stop function", 
,Condensor Watch,1024,0,1,,"1:Enable,0:Disable",
CHI,Cold Heat Cut-In,-9,-65,50,°C,,
WHI,Warm Heat Cut-In,-5,-65,50,°C,,
CDH,Cold Heat Differential,5,0,20,K,,
WDH,Warm Heat differential,5,0,20,K,,
EMD,Energy Mode Delay,1800,0,3600,Sec,,
DRC,Defrost timer reset on cutout,1024,0,1,,"1:Enable,0:Disable",
FRH,Fan relay for extra heater,1024,0,1,,"1:Enable,0:Disable",
,Heater Cut out,0,0,0,°C,,
,Heater Cut in,0,0,0,°C,,
,,,,,,,
,,,,,,,
,,,,,,,Desired heater cut-in temperature at the  coldest position.
,,,,,,,Desired heater cut-in temperature at the  warmest position.
,,,,,,,Difference in heater cut-in and cut-out temperartures at the coldest position (set-point).
,,,,,,,Difference in heater cut-in and cut-out temperartures at the warmest position (set-point).
,,,,,,,This delay is defined to start between cooling and heating mode. If running in cooling mode heater will start after this delay from  last compressor cutout and vice-versa.
,,,,,,,"If defrost timer reset on Compressor Cut-out is specified, the defrost timer will be reset every time the compressor cuts out."
,,,,,,,The fan-relay can also be setup to run as an extra heater synchronous with the other heater. This is done by setting the function flag of this parameter.
