GroupCode,MenuCode,Name
"ASi","dCi","DI Config"
"ASi","o1C","DO1 Config"
"ASi","o2C","DO2 Config"
"ASi","o3C","DO3 Config"
"ASi","o4C","DO4 Config"
"ASi","05C","DO5 Config"
"ASi","PS1","Pass-word level1"
"ASi","PS2","Pass-word level2"
"ASi","PS3","Pass-word level3"
"SEr","ACt","Accumulated Compressor run time"
"SEr","AFt","Accumulated Fan run time"
"SEr","ALt","Accumulated Light run time"
"SEr","AEt","Accumulated ERC run time"
"SEr","Sdi","Digital Input"
"SEr","uAC","Voltage value"
"SEr","ouS","DOs Status"
"SEr","rL1","DO1 Counter"
"SEr","rL2","DO2 Counter"
"SEr","rL3","DO3 Counter"
"SEr","rL4","DO4 Counter"
"SEr","rL5","DO5 Counter"
"SEr","int","Interval Counter"
"SEr","dnt","Defrost Time Counter"
"SEr","ont","Door Open Counter"
"SEr","Snu","Serial Number"
"SEr","Fir","Firmware Version"
"SEr","HAr","Hardware Version"
"SEr","onL","Order No Low"
"SEr","onH","Order No High"
"SEr","oEL","OEM Code Low"
"SEr","oEn","OEM Code middle"
"SEr","oEH","OEM Code High"
"SEr","PAr","Parameter Version"
"SEr","CHd","Manufacturing Date"
"Sts","Ctt","Condensor temp"
"Sts","Et1","Evaporator1 temp"
"Sts","Et2","Evaporator2 temp"
"Sts","Aus","AUX temp"
"Sts","LLu","Light Level"
"Sts","Pir","Movemnet sensor state"
"Sts","Att","Air temp"
"Sts","Ess","External ECO switch"
"Sts","drr","Door Swtich state"
"dEF","Ftd","Fan Start Temperature (Ftd)"
"dEF","dFA","Defrost Fan On (dFA)"
"diS","SCS","Show Compressor symbol (SCS)"
"diS","SFS","Show Fan symbol (SFS)"
"diS","SdS","Show defrost symbol (SdS)"
"diS","SES","Show ECO symbol (SES)"
"SEr","dbr","Database version"
"Acc.tHE","SEt","Access Set point"
"Acc.tHE","SPr","Access Set point adjustment ratio"
"Acc.tHE","diF","Access Differential"
"Acc.tHE","HSE","Access High Set point"
"Acc.tHE","LSE","Access Low Set point"
"Acc.tHE","iCi","Access Initial cut in"
"Acc.tHE","SSA","Access Spindle stop angle"
"Acc.FAn","FCt","Access Fan control method"
"Acc.FAn","Fod","Access Fan On Delay"
"Acc.FAn","FSd","Access Fan Stop delay"
"Acc.FAn","FoC","Access Fan On Cycle"
"Acc.FAn","FSC","Access Fan Stop Cycle"
"Acc.FAn","FSt","Access Fan Minimum Stop time"
"Acc.FAn","FdC","Access Delta T for fan to cut in"
"Acc.FAn","Fdt","Access Fan delay on door open"
"Acc.Lig","CLC","Access Cabinet Light Control Source"
"Acc.Lig","Lod","Access Light off delay"
"Acc.Pud","Pit","Access Pull-down Initiate Temperature"
"Acc.Pud","PCy","Access Pull-down Cycling"
"Acc.Pud","Pdi","Access Pull-down defrost Interval"
"Acc.Pud","Pdd","Access Pull-down duration"
"Acc.Pud","PLt","Access Pull-down limit temp"
"Acc.Pud","Prt","Access Pull-down reduction temp Delta T"
"Acc.dEF","dFt","Access Def. type"
"Acc.dEF","Add","Access Adaptive defrost"
"Acc.dEF","dtt","Access Def terminate temp"
"Acc.dEF","drt","Access Def reset temp"
"Acc.dEF","dii","Access Def Min Interval"
"Acc.dEF","dAi","Access Def Max Interval"
"Acc.dEF","dit","Access Def Min Time"
"Acc.dEF","dAt","Access Def Max time"
"Acc.dEF","dot","Access Drip off time"
"Acc.dEF","dCt","Access Defrost on compressor time"
"Acc.dEF","doC","Access Defrost by Comp. running time"
"Acc.dEF","dEt","Access Defrost start evaporator temp."
"Acc.dEF","ddt","Access Defrost Delta T"
"Acc.dEF","idi","Access Initial Defrost Interval"
"Acc.dEF","idd","Access Initial Defrost Duration"
"Acc.CoP","uPt","Access Voltage protection"
"Acc.CoP","uLi","Access Minimum Cutin voltage"
"Acc.CoP","uLo","Access Minimum cut-out voltage"
"Acc.CoP","uHi","Access Maximum voltage"
"Acc.CoP","EHd","Access Sensor Error Type"
"Acc.CoP","Ert","Access Error run time"
"Acc.CoP","ESt","Access Error stop time"
"Acc.CoP","CSt","Access Min Stop time"
"Acc.CoP","Crt","Access Min run time"
"Acc.CoP","Cot","Access Max Off time"
"Acc.CoP","PF1","Access Relay 1Power Factor"
"Acc.CoP","PF2","Access Relay2 Power Factor"
"Acc.CoP","PF3","Access Relay3 Power Factor"
"Acc.CoP","PF4","Access Relay4 Power Factor"
"Acc.CoP","Cdd","Access Compressor door open delay"
"Acc.CoP","Srt","Access System resume after door open"
"Acc.CoP","Pod","Access Power On Delay"
"Acc.CoP","Pot","Access Power-on temperature"
"Acc.Con","CAL","Access Condenser Alarm Limit"
"Acc.Con","CbL","Access Condenser Block Limit"
"Acc.Con","CoL","Access Condenser OK limit"
"Acc.Con","CLL","Access Condenser Low Temp. Limit"
"Acc.diS","dCi","Access Display intensity auto control"
"Acc.diS","din","Access Display Intensity"
"Acc.diS","CFu","Access Display Unit"
"Acc.diS","trS","Access Temp sensor to display"
"Acc.diS","rES","Access Display Resolution"
"Acc.diS","rLt","Access Display Range Limit"
"Acc.diS","ddL","Access Display Delay"
"Acc.diS","doF","Access Display Offset"
"Acc.diS","dLt","Access Lock-time After defrost"
"Acc.diS","SEC","Access Show Economy/Night Mode"
"Acc.diS","SSC","Access Show Pull Down"
"Acc.diS","SHo","Access Show Holiday"
"Acc.diS","SdF","Access Show Defrost"
"Acc.ALA","HAt","Access High Temp Alarm"
"Acc.ALA","LAt","Access Low Temp Alarm"
"Acc.ALA","Htd","Access High Alarm delay"
"Acc.ALA","Ltd","Access Low Alarm delay"
"Acc.ALA","PAd","Access Pulldown delay"
"Acc.ALA","dod","Access Door Open delay"
"Acc.ALA","uAL","Access Voltage alarm"
"Acc.ALA","LEA","Access Leakage alarm"
"Acc.ALA","Abd","Access Alarm Buzzer Duration"
"Acc.ALA","ACA","Access Auto Clearance of Alarm"
"Acc.AHC","AuH","Access Automatic heater mode enable"
"Acc.AHC","End","Access Energy mode delay"
"Acc.AHC","AHS","Access Auto Heat set point"
"Acc.AHC","AHd","Access Auto heat differential"
"Acc.ECS","ECo","Access ECO on/off"
"Acc.ECS","EdA","Access Door Actions"
"Acc.ECS","EPA","Access Pir Actions"
"Acc.ECS","ECt","Access Action counter time"
"Acc.ECS","Edd","Access Door delay "
"Acc.ECS","EPd","Access Pir delay"
"Acc.ECS","SLd","Access Shop Light Day"
"Acc.ECS","SLn","Access Shop Light Night"
"Acc.ECS","tto","Access Time to pull down"
"Acc.ECS","LSd","Access Light Source delay on ECO "
"Acc.ECS","Euu","Access EWU active on/off"
"Acc.ECS","CLH","Access Shop close hour"
"Acc.ECS","ErL","Access Early wake up time offset"
"Acc.ECS","HoL","Access Holiday Length"
"Acc.ECA","Eto","Access ECO Temperature Offset"
"Acc.ECA","Hto","Access Holiday Temperature Offset"
"Acc.ECA","diE","Access ECO Differential"
"Acc.ECA","FoE","Access ECO Fan on cycle"
"Acc.ECA","FSE","Access ECO Fan stop cycle"
"Acc.ECA","ELC","Access ECO Cabinet light control"
"Acc.ECA","ELd","Access Eco Light delay"
"Acc.ASi","uSA","Access MODBUS Safety"
"Acc.ASi","t1A","Access Temp Adj. for S1"
"Acc.ASi","t2A","Access Temp Adj. for S2"
"Acc.ASi","t3A","Access Temp Adj. for S3"
"Acc.ASi","t4A","Access Temp Adj. for S4"
"Acc.ASi","t5A","Access Temp Adj. for S5"
"Acc.ASi","t6A","Access Temp Adj. for S6"
"Acc.ASi","S1C","Access S1 Config"
"Acc.ASi","S2C","Access S2 Config"
"Acc.ASi","S3C","Access S3 Config"
"Acc.ASi","S4C","Access S4 Config"
"Acc.ASi","S5C","Access S5 Config"
"Acc.ASi","S6C","Access S6 Config"
"Acc.ASi","S1A","Access S1 Application"
"Acc.ASi","S2A","Access S2 Application"
"Acc.ASi","S3A","Access S3 Application"
"Acc.ASi","S4A","Access S4 Application"
"Acc.ASi","S5A","Access S5 Application"
"Acc.ASi","S6A","Access S6 Application"
"Acc.ASi","dCi","Access DI Config"
"Acc.ASi","o1C","Access DO1 Config"
"Acc.ASi","o2C","Access DO2 Config"
"Acc.ASi","o3C","Access DO3 Config"
"Acc.ASi","o4C","Access DO4 Config"
"Acc.ASi","05C","Access DO5 Config"
"Acc.ASi","PS1","Access Pass-word level1"
"Acc.ASi","PS2","Access Pass-word level2"
"Acc.ASi","PS3","Access Pass-word level3"
"Acc.SEr","ACt","Access Accumulated Compressor run time"
"Acc.SEr","AFt","Access Accumulated Fan run time"
"Acc.SEr","ALt","Access Accumulated Light run time"
"Acc.SEr","AEt","Access Accumulated ERC run time"
"Acc.SEr","Sdi","Access Digital Input"
"Acc.SEr","uAC","Access Voltage value"
"Acc.SEr","ouS","Access DOs Status"
"Acc.SEr","rL1","Access DO1 Counter"
"Acc.SEr","rL2","Access DO2 Counter"
"Acc.SEr","rL3","Access DO3 Counter"
"Acc.SEr","rL4","Access DO4 Counter"
"Acc.SEr","rL5","Access DO5 Counter"
"Acc.SEr","int","Access Interval Counter"
"Acc.SEr","dnt","Access Defrost Time Counter"
"Acc.SEr","ont","Access Door Open Counter"
"Acc.SEr","Snu","Access Serial Number"
"Acc.SEr","Fir","Access Firmware Version"
"Acc.SEr","HAr","Access Hardware Version"
"Acc.SEr","onL","Access Order No Low"
"Acc.SEr","onH","Access Order No High"
"Acc.SEr","oEL","Access OEM Code Low"
"Acc.SEr","oEn","Access OEM Code middle"
"Acc.SEr","oEH","Access OEM Code High"
"Acc.SEr","PAr","Access Parameter Version"
"Acc.SEr","CHd","Access Manufacturing Date"
"Acc.Sts","Ctt","Access Condensor temp"
"Acc.Sts","Et1","Access Evaporator1 temp"
"Acc.Sts","Et2","Access Evaporator2 temp"
"Acc.Sts","Aus","Access AUX temp"
"Acc.Sts","LLu","Access Light Level"
"Acc.Sts","Pir","Access Movemnet sensor state"
"Acc.Sts","Att","Access Air temp"
"Acc.Sts","Ess","Access External ECO switch"
"Acc.Sts","dor","Access Door Swtich state"
"Acc.dEF","Ftd","Access Fan Start Temperature (Ftd)"
"Acc.dEF","dFA","Access Defrost Fan On (dFA)"
"Acc.diS","SCS","Access Show Compressor symbol (SCS)"
"Acc.diS","SFS","Access Show Fan symbol (SFS)"
"Acc.diS","SdS","Access Show defrost symbol (SdS)"
"Acc.diS","SES","Access Show ECO symbol (SES)"
"Acc.SEr","dbr","Access Database version"
"SEr","ouS","DOs Status(Relay 1)"
"SEr","ouS","DOs Status(Relay 2)"
"SEr","ouS","DOs Status(Relay 3)"
"SEr","ouS","DOs Status(Relay 4)"
"SEr","ouS","DOs Status(Relay 5)"
"ASi","b1C","Button 1 Short Config"
"ASi","b1L","Button 1 Long Config"
"ASi","b2C","Button 2 Short Config"
"ASi","b2L","Button 2 Long Config"
"ASi","b3C","Button 3 Short Config"
"ASi","b3L","Button 3 Long Config"
"ASi","b4C","Button 4 Short Config"
"ASi","b4L","Button 4 Long Config"
"ASi","b5C","Button 5 Short Config"
"ASi","b5L","Button 5 Long Config"
"Acc.ASi","b1C","Access Button 1 Short Config"
"Acc.ASi","b1L","Access Button 1 Long Config"
"Acc.ASi","b2C","Access Button 2 Short Config"
"Acc.ASi","b2L","Access Button 2 Long Config"
"Acc.ASi","b3C","Access Button 3 Short Config"
"Acc.ASi","b3L","Access Button 3 Long Config"
"Acc.ASi","b4C","Access Button 4 Short Config"
"Acc.ASi","b4L","Access Button 4 Long Config"
"Acc.ASi","b5C","Access Button 5 Short Config"
"Acc.ASi","b5L","Access Button 5 Long Config"
"dEF","Fdd","Fan delay after Defrost"
"diS","Ld","Minimum Display value"
"diS","Hd","Maximum display value"
"diS","St","Signalling threshold value"
"tHE","SP2","Seasonal offset temperature"
"tHE","dF2","Seasonal differential"
"FAn","FLt","Fan limit temperature"
"FAn","FdF","Fan limit Delta temperature"
"Acc.diS","Ld","Access Minimum Display value"
"Acc.diS","Hd","Access Maximum display value"
"Acc.diS","St","Access Signalling threshold value"
"Acc.FAn","FLT","Access Fan limit temperature"
"Acc.FAn","FdF","Access Fan limit Delta temperature"
"Acc.tHE","SP2","Access Seasonal offset temperature"
"Acc.tHE","dF2","Access Seasonal Differential"
"dEF","Fdd","Access Fan delay after Defrost"
