Parameter_Index,ParameterName,Enum
Id_1056139,DO3 Function,"30:Pe Evap. pressure,31:S2 Gas outlet A,32:S3 Air ON evap. A,33:S4 Air OFF evap. A,34:S5 Evaporator A,35:S6 product temp.,36:S3 Air ON evap. B,37:S5 Evaporator B,38:Humidity sensor,90:Rail heat PWM,60:Digital input status,61:Door function,62:Door alarm,63:Defrost start,64:Main switch,65:Night setback,66:Thermostat band,67:Alarm at closed,68:Alarm at open,69:Case cleaning,70:Forced cooling,71:Open blinds,72:Coordinated def.,73:Forced closing,74:Shut down,75:Light control,76:Leak detection,77:Adap liquid ctrl,0:None,1:AKV opening A,2:Fan,3:Fan ECO,4:Defrost A,5:Rail heat,6:Alarm,7:Light,8:Blinds,9:Compressor 1,10:Compressor 2,11:Air heater,12:Drain valve,13:Suction valve,14:Hotgas valve,15:Defrost B,16:Humidifier"
Id_1056154,DO4 Function,"30:Pe Evap. pressure,31:S2 Gas outlet A,32:S3 Air ON evap. A,33:S4 Air OFF evap. A,34:S5 Evaporator A,35:S6 product temp.,36:S3 Air ON evap. B,37:S5 Evaporator B,38:Humidity sensor,90:Rail heat PWM,60:Digital input status,61:Door function,62:Door alarm,63:Defrost start,64:Main switch,65:Night setback,66:Thermostat band,67:Alarm at closed,68:Alarm at open,69:Case cleaning,70:Forced cooling,71:Open blinds,72:Coordinated def.,73:Forced closing,74:Shut down,75:Light control,76:Leak detection,77:Adap liquid ctrl,0:None,1:AKV opening A,2:Fan,3:Fan ECO,4:Defrost A,5:Rail heat,6:Alarm,7:Light,8:Blinds,9:Compressor 1,10:Compressor 2,11:Air heater,12:Drain valve,13:Suction valve,14:Hotgas valve,15:Defrost B,16:Humidifier"
Id_1056169,DO5 Function,"30:Pe Evap. pressure,31:S2 Gas outlet A,32:S3 Air ON evap. A,33:S4 Air OFF evap. A,34:S5 Evaporator A,35:S6 product temp.,36:S3 Air ON evap. B,37:S5 Evaporator B,38:Humidity sensor,90:Rail heat PWM,60:Digital input status,61:Door function,62:Door alarm,63:Defrost start,64:Main switch,65:Night setback,66:Thermostat band,67:Alarm at closed,68:Alarm at open,69:Case cleaning,70:Forced cooling,71:Open blinds,72:Coordinated def.,73:Forced closing,74:Shut down,75:Light control,76:Leak detection,77:Adap liquid ctrl,0:None,1:AKV opening A,2:Fan,3:Fan ECO,4:Defrost A,5:Rail heat,6:Alarm,7:Light,8:Blinds,9:Compressor 1,10:Compressor 2,11:Air heater,12:Drain valve,13:Suction valve,14:Hotgas valve,15:Defrost B,16:Humidifier"
Id_1056184,DO6 Function,"30:Pe Evap. pressure,31:S2 Gas outlet A,32:S3 Air ON evap. A,33:S4 Air OFF evap. A,34:S5 Evaporator A,35:S6 product temp.,36:S3 Air ON evap. B,37:S5 Evaporator B,38:Humidity sensor,90:Rail heat PWM,60:Digital input status,61:Door function,62:Door alarm,63:Defrost start,64:Main switch,65:Night setback,66:Thermostat band,67:Alarm at closed,68:Alarm at open,69:Case cleaning,70:Forced cooling,71:Open blinds,72:Coordinated def.,73:Forced closing,74:Shut down,75:Light control,76:Leak detection,77:Adap liquid ctrl,0:None,1:AKV opening A,2:Fan,3:Fan ECO,4:Defrost A,5:Rail heat,6:Alarm,7:Light,8:Blinds,9:Compressor 1,10:Compressor 2,11:Air heater,12:Drain valve,13:Suction valve,14:Hotgas valve,15:Defrost B,16:Humidifier"
Id_1056216,DI1 Function,"30:Pe Evap. pressure,31:S2 Gas outlet A,32:S3 Air ON evap. A,33:S4 Air OFF evap. A,34:S5 Evaporator A,35:S6 product temp.,36:S3 Air ON evap. B,37:S5 Evaporator B,38:Humidity sensor,90:Rail heat PWM,60:Digital input status,61:Door function,62:Door alarm,63:Defrost start,64:Main switch,65:Night setback,66:Thermostat band,67:Alarm at closed,68:Alarm at open,69:Case cleaning,70:Forced cooling,71:Open blinds,72:Coordinated def.,73:Forced closing,74:Shut down,75:Light control,76:Leak detection,77:Adap liquid ctrl,0:None,1:AKV opening A,2:Fan,3:Fan ECO,4:Defrost A,5:Rail heat,6:Alarm,7:Light,8:Blinds,9:Compressor 1,10:Compressor 2,11:Air heater,12:Drain valve,13:Suction valve,14:Hotgas valve,15:Defrost B,16:Humidifier"
Id_1056233,DI2 Function,"30:Pe Evap. pressure,31:S2 Gas outlet A,32:S3 Air ON evap. A,33:S4 Air OFF evap. A,34:S5 Evaporator A,35:S6 product temp.,36:S3 Air ON evap. B,37:S5 Evaporator B,38:Humidity sensor,90:Rail heat PWM,60:Digital input status,61:Door function,62:Door alarm,63:Defrost start,64:Main switch,65:Night setback,66:Thermostat band,67:Alarm at closed,68:Alarm at open,69:Case cleaning,70:Forced cooling,71:Open blinds,72:Coordinated def.,73:Forced closing,74:Shut down,75:Light control,76:Leak detection,77:Adap liquid ctrl,0:None,1:AKV opening A,2:Fan,3:Fan ECO,4:Defrost A,5:Rail heat,6:Alarm,7:Light,8:Blinds,9:Compressor 1,10:Compressor 2,11:Air heater,12:Drain valve,13:Suction valve,14:Hotgas valve,15:Defrost B,16:Humidifier"
Id_1056250,DI3 Function,"30:Pe Evap. pressure,31:S2 Gas outlet A,32:S3 Air ON evap. A,33:S4 Air OFF evap. A,34:S5 Evaporator A,35:S6 product temp.,36:S3 Air ON evap. B,37:S5 Evaporator B,38:Humidity sensor,90:Rail heat PWM,60:Digital input status,61:Door function,62:Door alarm,63:Defrost start,64:Main switch,65:Night setback,66:Thermostat band,67:Alarm at closed,68:Alarm at open,69:Case cleaning,70:Forced cooling,71:Open blinds,72:Coordinated def.,73:Forced closing,74:Shut down,75:Light control,76:Leak detection,77:Adap liquid ctrl,0:None,1:AKV opening A,2:Fan,3:Fan ECO,4:Defrost A,5:Rail heat,6:Alarm,7:Light,8:Blinds,9:Compressor 1,10:Compressor 2,11:Air heater,12:Drain valve,13:Suction valve,14:Hotgas valve,15:Defrost B,16:Humidifier"
Id_1056298,AI1 Function,"30:Pe Evap. pressure,31:S2 Gas outlet A,32:S3 Air ON evap. A,33:S4 Air OFF evap. A,34:S5 Evaporator A,35:S6 product temp.,36:S3 Air ON evap. B,37:S5 Evaporator B,38:Humidity sensor,90:Rail heat PWM,60:Digital input status,61:Door function,62:Door alarm,63:Defrost start,64:Main switch,65:Night setback,66:Thermostat band,67:Alarm at closed,68:Alarm at open,69:Case cleaning,70:Forced cooling,71:Open blinds,72:Coordinated def.,73:Forced closing,74:Shut down,75:Light control,76:Leak detection,77:Adap liquid ctrl,0:None,1:AKV opening A,2:Fan,3:Fan ECO,4:Defrost A,5:Rail heat,6:Alarm,7:Light,8:Blinds,9:Compressor 1,10:Compressor 2,11:Air heater,12:Drain valve,13:Suction valve,14:Hotgas valve,15:Defrost B,16:Humidifier"
Id_1056314,AI2 Function,"30:Pe Evap. pressure,31:S2 Gas outlet A,32:S3 Air ON evap. A,33:S4 Air OFF evap. A,34:S5 Evaporator A,35:S6 product temp.,36:S3 Air ON evap. B,37:S5 Evaporator B,38:Humidity sensor,90:Rail heat PWM,60:Digital input status,61:Door function,62:Door alarm,63:Defrost start,64:Main switch,65:Night setback,66:Thermostat band,67:Alarm at closed,68:Alarm at open,69:Case cleaning,70:Forced cooling,71:Open blinds,72:Coordinated def.,73:Forced closing,74:Shut down,75:Light control,76:Leak detection,77:Adap liquid ctrl,0:None,1:AKV opening A,2:Fan,3:Fan ECO,4:Defrost A,5:Rail heat,6:Alarm,7:Light,8:Blinds,9:Compressor 1,10:Compressor 2,11:Air heater,12:Drain valve,13:Suction valve,14:Hotgas valve,15:Defrost B,16:Humidifier"
Id_1056330,AI3 Function,"30:Pe Evap. pressure,31:S2 Gas outlet A,32:S3 Air ON evap. A,33:S4 Air OFF evap. A,34:S5 Evaporator A,35:S6 product temp.,36:S3 Air ON evap. B,37:S5 Evaporator B,38:Humidity sensor,90:Rail heat PWM,60:Digital input status,61:Door function,62:Door alarm,63:Defrost start,64:Main switch,65:Night setback,66:Thermostat band,67:Alarm at closed,68:Alarm at open,69:Case cleaning,70:Forced cooling,71:Open blinds,72:Coordinated def.,73:Forced closing,74:Shut down,75:Light control,76:Leak detection,77:Adap liquid ctrl,0:None,1:AKV opening A,2:Fan,3:Fan ECO,4:Defrost A,5:Rail heat,6:Alarm,7:Light,8:Blinds,9:Compressor 1,10:Compressor 2,11:Air heater,12:Drain valve,13:Suction valve,14:Hotgas valve,15:Defrost B,16:Humidifier"
Id_1056346,AI4 Function,"30:Pe Evap. pressure,31:S2 Gas outlet A,32:S3 Air ON evap. A,33:S4 Air OFF evap. A,34:S5 Evaporator A,35:S6 product temp.,36:S3 Air ON evap. B,37:S5 Evaporator B,38:Humidity sensor,90:Rail heat PWM,60:Digital input status,61:Door function,62:Door alarm,63:Defrost start,64:Main switch,65:Night setback,66:Thermostat band,67:Alarm at closed,68:Alarm at open,69:Case cleaning,70:Forced cooling,71:Open blinds,72:Coordinated def.,73:Forced closing,74:Shut down,75:Light control,76:Leak detection,77:Adap liquid ctrl,0:None,1:AKV opening A,2:Fan,3:Fan ECO,4:Defrost A,5:Rail heat,6:Alarm,7:Light,8:Blinds,9:Compressor 1,10:Compressor 2,11:Air heater,12:Drain valve,13:Suction valve,14:Hotgas valve,15:Defrost B,16:Humidifier"
Id_1056362,AI5 Function,"30:Pe Evap. pressure,31:S2 Gas outlet A,32:S3 Air ON evap. A,33:S4 Air OFF evap. A,34:S5 Evaporator A,35:S6 product temp.,36:S3 Air ON evap. B,37:S5 Evaporator B,38:Humidity sensor,90:Rail heat PWM,60:Digital input status,61:Door function,62:Door alarm,63:Defrost start,64:Main switch,65:Night setback,66:Thermostat band,67:Alarm at closed,68:Alarm at open,69:Case cleaning,70:Forced cooling,71:Open blinds,72:Coordinated def.,73:Forced closing,74:Shut down,75:Light control,76:Leak detection,77:Adap liquid ctrl,0:None,1:AKV opening A,2:Fan,3:Fan ECO,4:Defrost A,5:Rail heat,6:Alarm,7:Light,8:Blinds,9:Compressor 1,10:Compressor 2,11:Air heater,12:Drain valve,13:Suction valve,14:Hotgas valve,15:Defrost B,16:Humidifier"
Id_1056378,AI6 Function,"30:Pe Evap. pressure,31:S2 Gas outlet A,32:S3 Air ON evap. A,33:S4 Air OFF evap. A,34:S5 Evaporator A,35:S6 product temp.,36:S3 Air ON evap. B,37:S5 Evaporator B,38:Humidity sensor,90:Rail heat PWM,60:Digital input status,61:Door function,62:Door alarm,63:Defrost start,64:Main switch,65:Night setback,66:Thermostat band,67:Alarm at closed,68:Alarm at open,69:Case cleaning,70:Forced cooling,71:Open blinds,72:Coordinated def.,73:Forced closing,74:Shut down,75:Light control,76:Leak detection,77:Adap liquid ctrl,0:None,1:AKV opening A,2:Fan,3:Fan ECO,4:Defrost A,5:Rail heat,6:Alarm,7:Light,8:Blinds,9:Compressor 1,10:Compressor 2,11:Air heater,12:Drain valve,13:Suction valve,14:Hotgas valve,15:Defrost B,16:Humidifier"
Id_1056394,AI7 Function,"30:Pe Evap. pressure,31:S2 Gas outlet A,32:S3 Air ON evap. A,33:S4 Air OFF evap. A,34:S5 Evaporator A,35:S6 product temp.,36:S3 Air ON evap. B,37:S5 Evaporator B,38:Humidity sensor,90:Rail heat PWM,60:Digital input status,61:Door function,62:Door alarm,63:Defrost start,64:Main switch,65:Night setback,66:Thermostat band,67:Alarm at closed,68:Alarm at open,69:Case cleaning,70:Forced cooling,71:Open blinds,72:Coordinated def.,73:Forced closing,74:Shut down,75:Light control,76:Leak detection,77:Adap liquid ctrl,0:None,1:AKV opening A,2:Fan,3:Fan ECO,4:Defrost A,5:Rail heat,6:Alarm,7:Light,8:Blinds,9:Compressor 1,10:Compressor 2,11:Air heater,12:Drain valve,13:Suction valve,14:Hotgas valve,15:Defrost B,16:Humidifier"
Id_1056266,AO1 Function,"30:Pe Evap. pressure,31:S2 Gas outlet A,32:S3 Air ON evap. A,33:S4 Air OFF evap. A,34:S5 Evaporator A,35:S6 product temp.,36:S3 Air ON evap. B,37:S5 Evaporator B,38:Humidity sensor,90:Rail heat PWM,60:Digital input status,61:Door function,62:Door alarm,63:Defrost start,64:Main switch,65:Night setback,66:Thermostat band,67:Alarm at closed,68:Alarm at open,69:Case cleaning,70:Forced cooling,71:Open blinds,72:Coordinated def.,73:Forced closing,74:Shut down,75:Light control,76:Leak detection,77:Adap liquid ctrl,0:None,1:AKV opening A,2:Fan,3:Fan ECO,4:Defrost A,5:Rail heat,6:Alarm,7:Light,8:Blinds,9:Compressor 1,10:Compressor 2,11:Air heater,12:Drain valve,13:Suction valve,14:Hotgas valve,15:Defrost B,16:Humidifier"
Id_1053670,Control state A,"0:Normal ctrl.,1:Hold after defrost,2:Min ON timer,3:Min OFF timer,4:Drip off,5:Restart timer,6:Ctrl_Sout,7:Ctrl_Sin,8:Cut in delay,9:Cut out delay,10:Main switch OFF,11:Thermostat cutout,12:Frost protection S4,13:Not_used,14:Defrost,15:Fan delay,17:Door open,18:Melt period,19:Modulating temp. control,20:Emergency control,21:Injection error,22:Charging evaporator,23:Adaptive superheat control,24:Start injection,25:Manual control,26:No refrigerant selected,16:Forced closing,27:Forced_cooling1,28:AmbientMode,29:Case cleaning,30:Forced cooling,31:Door open,32:Power up delay,33:Air heating,35:Cooling_ON_B,36:Cooling_OFF_B,37:Cooling_ON_C,38:Cooling_OFF_C,39:Cooling_ON_D,40:Cooling_OFF_D,41:High_Sc,42:Heat_Recovery,43:S43,44:Sensor_error_recovery,45:Shut down controller,46:Power_Module,47:Load_shed,48:Adaptive liquid control"
Id_1053472,Thermostat air temp. A,
Id_1053451,Food temperature A,
Id_1053713,S3 Air ON evap. A,
Id_1053908,S3 Air ON evap. B,
Id_1053726,S4 Air OFF evap. A,
Id_1048672,Night condition,"0:OFF,1:ON"
Id_1053475,Thermostat cutin temp.,
Id_1053476,Thermostat cutout temp.,
Id_1053474,Thermostat runtime A,
Id_1053470,Thermostat band,"1:Band 1,2:Band 2"
Id_1053442,Thermostat mode,"1:ON/OFF,2:Modulating"
Id_1053499,Cutout 1,
Id_1053518,Cutout 2,
Id_1053501,Differential,
Id_1053467,Max cutout limit,
Id_1053468,Min cutout limit,
Id_1053462,Thermostat sensor S4 %,
Id_1053463,Thermostat sensor S4 % night,
Id_1053461,Night offset,
Id_1053471,S4 frost protection,
Id_1053465,Air heater neutral zone,
Id_1053466,Air heater start delay,
Id_1053464,Melt interval,
Id_1053473,Melt period,
Id_1053670,Control state A,"0:Normal ctrl.,1:Hold after defrost,2:Min ON timer,3:Min OFF timer,4:Drip off,5:Restart timer,6:Ctrl_Sout,7:Ctrl_Sin,8:Cut in delay,9:Cut out delay,10:Main switch OFF,11:Thermostat cutout,12:Frost protection S4,13:Not_used,14:Defrost,15:Fan delay,17:Door open,18:Melt period,19:Modulating temp. control,20:Emergency control,21:Injection error,22:Charging evaporator,23:Adaptive superheat control,24:Start injection,25:Manual control,26:No refrigerant selected,16:Forced closing,27:Forced_cooling1,28:AmbientMode,29:Case cleaning,30:Forced cooling,31:Door open,32:Power up delay,33:Air heating,35:Cooling_ON_B,36:Cooling_OFF_B,37:Cooling_ON_C,38:Cooling_OFF_C,39:Cooling_ON_D,40:Cooling_OFF_D,41:High_Sc,42:Heat_Recovery,43:S43,44:Sensor_error_recovery,45:Shut down controller,46:Power_Module,47:Load_shed,48:Adaptive liquid control"
Id_1048585,Alarm status,"0:OFF,1:ON"
Id_1053497,Alarm air temp. A,
Id_1053608,Alarm air temp. B,
Id_1056813,High alarm limit,
Id_1056814,Low alarm limit,
Id_1053713,S3 Air ON evap. A,
Id_1053908,S3 Air ON evap. B,
Id_1053726,S4 Air OFF evap. A,
Id_1053553,S6 product temp.,
Id_1054844,Reset alarms,"0:OFF,1:ON"
Id_1053494,Alarm sensor S4% A,
Id_1053500,High alarm limit 1,
Id_1053502,Low alarm limit 1,
Id_1053519,High alarm limit 2,
Id_1053521,Low alarm limit 2,
Id_1053495,Alarm delay A,
Id_1053496,Alarm delay pulldown A,
Id_1053606,Alarm delay B,
Id_1053537,Use product sensor S6,"0:No,1:Yes"
Id_1053503,S6 High alarm limit 1,
Id_1053504,S6 Low alarm limit 1,
Id_1053522,S6 High alarm limit 2,
Id_1053523,S6 Low alarm limit 2,
Id_1053539,S6 alarm delay,
Id_1053540,S6 alarm pulldown del.,
Id_1054316,Door open alarm delay,
Id_1054320,Door restart inj. delay,
Id_1054334,Alarm delay DI 1,
Id_1055016,Alarm delay DI 2,
Id_1053670,Control state A,"0:Normal ctrl.,1:Hold after defrost,2:Min ON timer,3:Min OFF timer,4:Drip off,5:Restart timer,6:Ctrl_Sout,7:Ctrl_Sin,8:Cut in delay,9:Cut out delay,10:Main switch OFF,11:Thermostat cutout,12:Frost protection S4,13:Not_used,14:Defrost,15:Fan delay,17:Door open,18:Melt period,19:Modulating temp. control,20:Emergency control,21:Injection error,22:Charging evaporator,23:Adaptive superheat control,24:Start injection,25:Manual control,26:No refrigerant selected,16:Forced closing,27:Forced_cooling1,28:AmbientMode,29:Case cleaning,30:Forced cooling,31:Door open,32:Power up delay,33:Air heating,35:Cooling_ON_B,36:Cooling_OFF_B,37:Cooling_ON_C,38:Cooling_OFF_C,39:Cooling_ON_D,40:Cooling_OFF_D,41:High_Sc,42:Heat_Recovery,43:S43,44:Sensor_error_recovery,45:Shut down controller,46:Power_Module,47:Load_shed,48:Adaptive liquid control"
Id_1054315,Humidity sensor,
Id_1056812,Humidity control,"0:No,1:Yes"
Id_1054285,Humidity cutin,
Id_1054290,Humidity differential,
Id_1054287,Humidity high alarm limit,
Id_1054288,Humidity low alarm limit,
Id_1054289,Humidity alarm delay,
Id_1054313,Humidity sensor - Min signal,
Id_1054314,Humidity sensor - Max signal,
Id_1054284,Humidity ctrl. at defrost,"0:No,1:Yes"
Id_1053670,Control state A,"0:Normal ctrl.,1:Hold after defrost,2:Min ON timer,3:Min OFF timer,4:Drip off,5:Restart timer,6:Ctrl_Sout,7:Ctrl_Sin,8:Cut in delay,9:Cut out delay,10:Main switch OFF,11:Thermostat cutout,12:Frost protection S4,13:Not_used,14:Defrost,15:Fan delay,17:Door open,18:Melt period,19:Modulating temp. control,20:Emergency control,21:Injection error,22:Charging evaporator,23:Adaptive superheat control,24:Start injection,25:Manual control,26:No refrigerant selected,16:Forced closing,27:Forced_cooling1,28:AmbientMode,29:Case cleaning,30:Forced cooling,31:Door open,32:Power up delay,33:Air heating,35:Cooling_ON_B,36:Cooling_OFF_B,37:Cooling_ON_C,38:Cooling_OFF_C,39:Cooling_ON_D,40:Cooling_OFF_D,41:High_Sc,42:Heat_Recovery,43:S43,44:Sensor_error_recovery,45:Shut down controller,46:Power_Module,47:Load_shed,48:Adaptive liquid control"
Id_1053472,Thermostat air temp. A,
Id_1053713,S3 Air ON evap. A,
Id_1053908,S3 Air ON evap. B,
Id_1053726,S4 Air OFF evap. A,
Id_1053814,AKV opening A,
Id_1053753,Pe Evap. pressure,
Id_1053754,Te Evap. temp.,
Id_1053700,S2 Gas outlet A,
Id_1053779,Superheat A,
Id_1053780,Superheat reference A,
Id_1053776,Min superheat limit,
Id_1053775,Max superheat limit,
Id_1053777,MOP temperature,
Id_1053813,AKV Period time,
Id_1053797,Min superheat liquid ctrl,
Id_1053796,Max superheat liquid ctrl.,
Id_1053670,Control state A,"0:Normal ctrl.,1:Hold after defrost,2:Min ON timer,3:Min OFF timer,4:Drip off,5:Restart timer,6:Ctrl_Sout,7:Ctrl_Sin,8:Cut in delay,9:Cut out delay,10:Main switch OFF,11:Thermostat cutout,12:Frost protection S4,13:Not_used,14:Defrost,15:Fan delay,17:Door open,18:Melt period,19:Modulating temp. control,20:Emergency control,21:Injection error,22:Charging evaporator,23:Adaptive superheat control,24:Start injection,25:Manual control,26:No refrigerant selected,16:Forced closing,27:Forced_cooling1,28:AmbientMode,29:Case cleaning,30:Forced cooling,31:Door open,32:Power up delay,33:Air heating,35:Cooling_ON_B,36:Cooling_OFF_B,37:Cooling_ON_C,38:Cooling_OFF_C,39:Cooling_ON_D,40:Cooling_OFF_D,41:High_Sc,42:Heat_Recovery,43:S43,44:Sensor_error_recovery,45:Shut down controller,46:Power_Module,47:Load_shed,48:Adaptive liquid control"
Id_1053674,Defrost sensor temperature A,
Id_1053739,S5 Evaporator A,
Id_1053934,S5 Evaporator B,
Id_1053774,Defrost A,"0:OFF,1:ON"
Id_1053969,Defrost B,"0:OFF,1:ON"
Id_1053672,Defrost time A,
Id_1053830,Adaptive defrost state,"0:OFF,1:Error,2:Tuning,3:OK,4:Little ice,5:Medium ice,6:Heavy ice"
Id_1054111,Accumulated defrosts,
Id_1054112,Accumulated skipped defrosts,
Id_1054110,Tc average temp.,
Id_1054860,Start defrost,"0:OFF,1:ON"
Id_1054926,Stop defrost,"0:OFF,1:ON"
Id_1054083,Defrost method,"0:None,1:Electrical,2:Hot gas,4:Air/Offcycle"
Id_1054087,Defrost stop method,"0:Time,1:S5 sensor,2:S4 sensor"
Id_1053671,Defrost stop limit A,
Id_1054086,Max defrost time,
Id_1054098,Defrost start interval,
Id_1054099,Time staggering power up,
Id_1054107,Max thermostat runtime,
Id_1054088,Pump down delay,
Id_1054089,Hot gas injection delay,
Id_1054091,Drip off time,
Id_1054090,Max hold time,
Id_1054092,Drain delay,
Id_1054093,Fan control during defrost,"0:OFF,1:ON,2:OFF at drip,3:OFF at high temp"
Id_1054096,Fan stop temperature,
Id_1054094,Fan start delay,
Id_1054095,Fan start temperature,
Id_1054179,Rail heat during defrost,"0:OFF,1:ON,2:Normal control"
Id_1054101,Display delay after defrost,
Id_1054105,Adaptive defrost mode,"0:OFF,1:Monitoring,2:Skip day,3:Skip day/night,4:Full adaptive"
Id_1054133,Defrost schedule,"0:No,1:Yes"
Id_1054141,Def. start 1 - Hours,
Id_1054142,Def. start 1 - Minutes,
Id_1054143,Def. start 2 - Hours,
Id_1054144,Def. start 2 - Minutes,
Id_1054145,Def. start 3 - Hours,
Id_1054146,Def. start 3 - Minutes,
Id_1054147,Def. start 4 - Hours,
Id_1054148,Def. start 4 - Minutes,
Id_1054149,Def. start 5 - Hours,
Id_1054150,Def. start 5 - Minutes,
