Name,Enum
"Manufacturing Date",""
"Condensor temp",""
"Evaporator1 temp",""
"AUX temp",""
"Air temp",""
"Show Compressor Symbol","0:No,1:Yes"
"Show Defrost Symbol","0:No,1:Yes"
"Relay Power Factor",""
"Database version",""
"Access Initial cut in","0:--,1:WO,2:RO,3:RW"
"Access Adaptive defrost","0:--,1:WO,2:RO,3:RW"
"Access Defrost on compressor time","0:--,1:WO,2:RO,3:RW"
"Access Voltage protection","0:--,1:WO,2:RO,3:RW"
"Access Display Range Limit","0:--,1:WO,2:RO,3:RW"
"Access Show Pull Down","0:--,1:WO,2:RO,3:RW"
"Access Show Holiday","0:--,1:WO,2:RO,3:RW"
"Access Show Defrost","0:--,1:WO,2:RO,3:RW"
"Access Voltage alarm","0:--,1:WO,2:RO,3:RW"
"Access Auto Clearance of Alarm","0:--,1:WO,2:RO,3:RW"
"Access MODBUS Safety","0:--,1:WO,2:RO,3:RW"
"Access DOs Status","0:--,1:WO,2:RO,3:RW"
"Access Def. type","0:--,1:WO,2:RO,3:RW"
"Access Sensor Error Type","0:--,1:WO,2:RO,3:RW"
"Access Display Unit","0:--,1:WO,2:RO,3:RW"
"Access Temp sensor to display","0:--,1:WO,2:RO,3:RW"
"Access Display Resolution","0:--,1:WO,2:RO,3:RW"
"Access S1 Config","0:--,1:WO,2:RO,3:RW"
"Access S2 Config","0:--,1:WO,2:RO,3:RW"
"Access S1 Application","0:--,1:WO,2:RO,3:RW"
"Access S2 Application","0:--,1:WO,2:RO,3:RW"
"Access DO1 Config","0:--,1:WO,2:RO,3:RW"
"Access Button 1 Short Config","0:--,1:WO,2:RO,3:RW"
"Access Button 1 Long Config","0:--,1:WO,2:RO,3:RW"
"Access Button 2 Short Config","0:--,1:WO,2:RO,3:RW"
"Access Button 2 Long Config","0:--,1:WO,2:RO,3:RW"
"Access Button 3 Short Config","0:--,1:WO,2:RO,3:RW"
"Access Button 3 Long Config","0:--,1:WO,2:RO,3:RW"
"Access Button 4 Short Config","0:--,1:WO,2:RO,3:RW"
"Access Button 4 Long Config","0:--,1:WO,2:RO,3:RW"
"Access Set point","0:--,1:WO,2:RO,3:RW"
"Access Set point adjustment ratio","0:--,1:WO,2:RO,3:RW"
"Access Differential","0:--,1:WO,2:RO,3:RW"
"Access High Set point","0:--,1:WO,2:RO,3:RW"
"Access Low Set point","0:--,1:WO,2:RO,3:RW"
"Access Pull-down limit temp","0:--,1:WO,2:RO,3:RW"
"Access Def terminate temp","0:--,1:WO,2:RO,3:RW"
"Access Defrost start evaporator temp.","0:--,1:WO,2:RO,3:RW"
"Access Defrost Delta T (ddt)","0:--,1:WO,2:RO,3:RW"
"Access Def reset temp","0:--,1:WO,2:RO,3:RW"
"Access Power-on temperature","0:--,1:WO,2:RO,3:RW"
"Access Display Offset","0:--,1:WO,2:RO,3:RW"
"Access High Temp Alarm","0:--,1:WO,2:RO,3:RW"
"Access Low Temp Alarm","0:--,1:WO,2:RO,3:RW"
"Access Holiday Temperature Offset","0:--,1:WO,2:RO,3:RW"
"Access Temp Adj. for S1","0:--,1:WO,2:RO,3:RW"
"Access Temp Adj. for S2","0:--,1:WO,2:RO,3:RW"
"Access Pull-down Cycling","0:--,1:WO,2:RO,3:RW"
"Access Pull-down defrost Interval","0:--,1:WO,2:RO,3:RW"
"Access Pull-down duration","0:--,1:WO,2:RO,3:RW"
"Access Def Min Interval","0:--,1:WO,2:RO,3:RW"
"Access Def Max time","0:--,1:WO,2:RO,3:RW"
"Access Def Max Interval","0:--,1:WO,2:RO,3:RW"
"Access Def Min Time","0:--,1:WO,2:RO,3:RW"
"Access Defrost by Comp. running time","0:--,1:WO,2:RO,3:RW"
"Access Initial Defrost Interval","0:--,1:WO,2:RO,3:RW"
"Access Initial Defrost Duration","0:--,1:WO,2:RO,3:RW"
"Access Minimum Cutin voltage","0:--,1:WO,2:RO,3:RW"
"Access Minimum cut-out voltage","0:--,1:WO,2:RO,3:RW"
"Access Maximum voltage","0:--,1:WO,2:RO,3:RW"
"Access Error run time","0:--,1:WO,2:RO,3:RW"
"Access Error stop time","0:--,1:WO,2:RO,3:RW"
"Access Min Stop time","0:--,1:WO,2:RO,3:RW"
"Access Min run time","0:--,1:WO,2:RO,3:RW"
"Access Max Off time","0:--,1:WO,2:RO,3:RW"
"Access Power On Delay","0:--,1:WO,2:RO,3:RW"
"Access Condenser Alarm Limit","0:--,1:WO,2:RO,3:RW"
"Access Condenser Block Limit","0:--,1:WO,2:RO,3:RW"
"Access Condenser OK limit","0:--,1:WO,2:RO,3:RW"
"Access Condenser Low Temp. Limit","0:--,1:WO,2:RO,3:RW"
"Access Display Intensity","0:--,1:WO,2:RO,3:RW"
"Access Display Delay","0:--,1:WO,2:RO,3:RW"
"Access Lock-time After defrost","0:--,1:WO,2:RO,3:RW"
"Access High Alarm delay","0:--,1:WO,2:RO,3:RW"
"Access Low Alarm delay","0:--,1:WO,2:RO,3:RW"
"Access Pulldown delay","0:--,1:WO,2:RO,3:RW"
"Access Leakage alarm","0:--,1:WO,2:RO,3:RW"
"Access Alarm Buzzer Duration","0:--,1:WO,2:RO,3:RW"
"Access Time to pull down","0:--,1:WO,2:RO,3:RW"
"Access Pass-word level1","0:--,1:WO,2:RO,3:RW"
"Access Pass-word level2","0:--,1:WO,2:RO,3:RW"
"Access Pass-word level3","0:--,1:WO,2:RO,3:RW"
"Access Accumulated Compressor run time","0:--,1:WO,2:RO,3:RW"
"Access Accumulated ERC run time","0:--,1:WO,2:RO,3:RW"
"Access Voltage value","0:--,1:WO,2:RO,3:RW"
"Access DO1 Counter","0:--,1:WO,2:RO,3:RW"
"Access Interval Counter","0:--,1:WO,2:RO,3:RW"
"Access Defrost Time Counter","0:--,1:WO,2:RO,3:RW"
"Access Serial Number","0:--,1:WO,2:RO,3:RW"
"Access Firmware Version","0:--,1:WO,2:RO,3:RW"
"Access Hardware Version","0:--,1:WO,2:RO,3:RW"
"Access Order No Low","0:--,1:WO,2:RO,3:RW"
"Access OEM Code Low","0:--,1:WO,2:RO,3:RW"
"Access OEM Code middle","0:--,1:WO,2:RO,3:RW"
"Access OEM Code High","0:--,1:WO,2:RO,3:RW"
"Access Parameter Version","0:--,1:WO,2:RO,3:RW"
"Access Manufacturing Date","0:--,1:WO,2:RO,3:RW"
"Access Condensor temp","0:--,1:WO,2:RO,3:RW"
"Access Evaporator1 temp","0:--,1:WO,2:RO,3:RW"
"Access AUX temp","0:--,1:WO,2:RO,3:RW"
"Access Air temp","0:--,1:WO,2:RO,3:RW"
"Access Show Compressor Symbol","0:--,1:WO,2:RO,3:RW"
"Access Show Defrost Symbol","0:--,1:WO,2:RO,3:RW"
"Access Relay Power Factor","0:--,1:WO,2:RO,3:RW"
"Access Database version","0:--,1:WO,2:RO,3:RW"
"DOs Status (Relay 1)",""
