S No,Parameter Name,Menu Code,Default Value_C,Default Value_F,Min_C,Min_F,Max_C,Max_F,Unit,Enum,Description,,,,
32,Defrost Terminate Temp,dtt,6,42.8,0,32,50,122,°F,,"This parameter defines the evaporator temperature at which defrost must be terminated. controller will terminate the defrost based on the defrost terminate temperature (dtt) or Maximum defrost time (dAt). If no evaporator sensor is used, defrost would be terminated based on the maximum defrost time (dAt)",,,,
33,Defrost on accumulated Compressor Run Time,dCt,No,No,,,,,,,"If this parameter is set to ""Yes"", defrost interval is calculated based on the total time the compressor has been running. If this parameter is set to No, then defrost interval is based on the elapsed time,regardless of compressor ON time",,,,
34,Defrost Start by Evap Temp,dEt,-100,-148,-100,-148,0,32,°F,,Evaporator Temperature at which the defrost to be triggered after minimum defrost interval to avoid excess frost on the evaporator (Active only if evaporator sensor is configured),,,,
35,Drip Off time,dot,2,2,0,0,60,60,Mins,,Defines the time delay to start compressor after terminating defrost. This feature is to ensure no water droplet on the evaporator before starting the cooling cycle,,,,
36,Fan Delay After Defrost,Fdd,0,0,0,0,960,960,Secs,,Defines delay in switching ON the fan  from compressor start after defrost to avoid warm air circulation,,,,
37,Fan Start Temperature after defrost,Ftd,25,77,-25,-13,25,77,°F,,"This parameter determines at what evaporator temperature the fan will start after a defrost cycle. If the time set in ""Fdd"" occurs before the temperature set in ""Ftd"", the fan will start in line with ""Fdd"". If the temperature set in ""Ftd"" occurs first, then the fan will start in line with ""Ftd""",,,,
38,Fan ON during Defrost,dFa,No,No,,,,,,"0:No,1:Yes","Defines the status of fan during defrost. Set to ""Yes"", the fan will run during defrost cycles and set to ""No"", will keep the fan off during defrost cycles
""",,,,
39,Initial Defrost Interval,idi,180,180,0,0,4320,4320,"
Mins",,"The initial defrost interval determines the time for first defrost after
power-up. The initial defrost is mainly intended for factory testing of the
defrost functionality and can be set to expire after a number compressor
cycles according to the setting of parameter idd. ",,,,
40,Initial Defrost duration,idd,0,0,0,0,999,999,Cycles,,"The initial defrost duration is the number of compressor cycles after which initial defrost is deactivated.
""0"":  No initial defrost.
""1-998"": number of compressor cycles before deactivation.
""999"": initial defrost always active",,,,
41,Fan Control Method,FCt,FAo,FAo,,,,,,"0:Fao,1:FFc,2:FPL","Defines the Fan control method
""FAo"": fan always on
""FFc"": fan follow compressor (Fan runs only when compressor is ON)
""FPL"": Fan Cycling. [Fan cycling during compressor off cycle ]",,,,
42,Fan ON Delay,Fod,0,0,0,0,240,240,Secs,,Time delay to start the fan after compressor cut-in,,,,
43,Fan Stop Delay,FSd,0,0,0,0,240,240,Secs,,Time delay to stop the fan after compressor cut-out,,,,
44,Fan On Cycle,Foc,0,0,0,0,960,960,Secs,,"If fan control method is selected as ""FPL"" this parameter defines the fan ON time during fan pulsating cycle",,,,
45,Fan Stop Cycle,FSc,0,0,0,0,960,960,Secs,,"If fan control method is selected as ""FPL"" this parameter defines the fan OFF time during fan pulsating cycle",,,,
46,Fan stop delay on door open,Fdt,0,0,0,0,999,999,Secs,,"The delay to stop the fan after the door has been opened
""0"": fan stop immediately when door open
""1-998"": delay for fan stop after door open
""999"": fan keep running all the time during door open",,,,
47,Fan Minimum Stop Time,FSt,10,10,0,0,960,960,Secs,,Minimum time fan must stop whenever it is switched off,,,,
48,Fan Limit Temperature,FLt,50,122,0,32,50,122,°F,,"This function prevents the evaporator fan to operate if the temperature is above the fan limit temperature. If the defrost sensor registers a higher temperature than the one set here, the fan will be stopped to avoid the warm air circulation in the cabinet. Fan will restart when evap temperature goes 2 degC less than FLt (FLt-2 DegC). This parameter is active only when evaporator sensor is configured",,,,
49,Cabinet Light Control (Normal mode),CLC,ON,ON,,,,,,"0:ON,1:OFF,2:dor","on: Always ON (Button is default to control light for all these options)
0FF: Always OFF
dor: Door sensor only ",,,,
50,Cabinet Light Control (ECO mode),ELC,OFF,OFF,,,,,,"0:ON,1:OFF,2:dor","on: Always ON (Button is default to control light for all these options)
0FF: Always OFF
dor: Door sensor only ",,,,
51,Light OFF delay,Lod,0,0,0,0,300,300,Secs,,Delay to turn off the cabinet light after door close,,,,
52,ECO Mode Enable,Eco,No,No,,,,,,"0:No,1:Yes","ECO mode is active or not. If selected ""No""  all other settings related to ECO mode are not active.",,,,
53,ECO Offset,Eto,4,7.2,-25,-45,25,45,°F,,Defines offset temperature during ECO mode. Offset can be positive or negative.,,,,
54,ECO Door Delay,Edd,180,180,0,0,360,360,Mins,,Time delay for entering in to ECO mode if there is No door open,,,,
55,Holiday Mode ,HLY,No,No,,,,,,"0:No,1:Yes","Holiday mode is active or not. If selected ""No""  all other settings related to holiday mode are not active",,,,
56,Holiday Length,HoL,72,72,0,0,999,999,Hrs,,Criteria for entering holiday mode based on number of hours of no activity in ECO mode. If controller does not detect any activity after enetering ECO mode for these many hours it will trigger the Holiday mode and set the temperature as per holiday offset,,,,
57,Holiday Temperature offset,Hto,6,10.8,-25,-45,25,45,°F,,Defines the offset temperature during holiday mode. Offset can be positive or negative,,,,
58,Automatic Heater Control Mode,AuH,No,No,,,,,,"0:No,1:Yes","Automatic heater control /dual mode is to protect food items stored in cabinet from frozen during the winter when installed outdoor. Automatic heater control uses the defrost heater to increase the cabinet temperature when it goes below the cut out temperature during Cooling mode.
No: This feature is disabled
Yes: Feature is active",,,,
59,Heater low set point,CHI,-100,-148,-100,-148,120,248,°F,,Heater Cut out temperature at coldest position of the spindle (thermostat knob) auto heating,,,,
60,Heater high set point,WHI,-100,-148,-100,-148,120,248,°F,,Heater Cut out temperature at warmest position of the spindle (thermostat knob) auto heating,,,,
61,Heater low differential,CDH,2,3.6,1,1.8,50,90,°F,,This defines the difference between the heater cut-out and the cut-in at coldest position of thermostat for auto heating,,,,
62,Heater high differential,WDH,2,3.6,1,1.8,50,90,°F,,This defines the difference between the heater cut-out and the cut-in at warmest position of thermostat for Auto heating,,,,
63,Energy mode delay,End,60,60,0,0,360,360,Mins,,This is the delay in minutes between the heater and the compressor operation. The heater is not allowed to start until this number of minutes has expired after the compressor has cut out and vice versa,,,,
64,Voltage Protection function,uPt,No,No,,,,,,"0:No,1:Yes",This feature protects the compressor if the line voltage goes beyond the operating range,,,,
65,Minimum Cut-in Voltage ,uLi,100,100,70,70,230,230,V ,,The lowest voltage at which the compressor is allowed to Cut-in,,,,
66,Minimum Cut out Voltage ,uL0,90,90,70,70,225,230,V,,"When the compressor is running, if voltage goes below this value, it will switch off the compressor.  This parameter is to avoid sudden switching on and off of compressor due to voltage fluctuations. This cut-off voltage will override compressor minimum run time",,,,
67,Maximum cut out Voltage ,uHi,260,260,110,110,270,270,V ,,"when the compressor is running, it will be switched OFF if the voltage exceeds this value
If the compressor is already stopped, it will remain switched off",,,,
68,Condenser Alarm Limit,CAL,80,176,0,32,120,248,°F,,This parameter sets the condenser temperature at which an alarm will be generated,,,,
69,Condenser Block Limit,CbL,85,185,0,32,120,248,°F,,This parameter sets the compressor switched off due to high condenser temperature.,,,,
70,Condenser OK Limit,CoL,60,140,0,32,120,248,°F,,This parameter sets the compressor to switch ON again after switched off due to  high condenser temperature respecting minimum compressor stop time,,,,
71,Control sensor error handling type,EHd,Aut,Aut,,,,,,"0:no,1:Set,2:Aut","Method to control the cooling cycle in case of cabinet air sensor error
""No"": No sensor error handling.
""SEt"": Follow configured error run and stop time
""Aut"" : Control automaticaly based on past cycles time",,,,
72,Error Run Time,Ert,0,0,0,0,60,60,Mins,,Cooling cycle ON time in case of cabinet sensor error (Active only if EHd=SEt),,,,
73,Error Stop Time,Est,0,0,0,0,60,60,Mins,,Cooling cycle off time in case of cabinet sensor error (Active only if EHd=SEt),,,,
74,Zero Cross Config,ZC,Yes,Yes,,,,,,"0:No,1:Yes","This parameter enhaces the relay life and also avoid relay sparks during relay on and off.If selected ""Yes""relays will be switched on and off when the line-voltage is closeer to zero",,,,
75,Operating mode,tSt,Normal,Normal,,,,,,"0:Manual,1:Normal,2:Self test","Normal mode - Normal operation mode of the controller
Manual mode- In this mode output relays can be switched ON and OFF irrespective of temperature conditions
Self test- Self diagnostic test mode, where controller will run self diagnostic test to check the connected sensors and refrigeration components configured to the output relays. When this option selected, controller will run the test by switching On and off the relay in certain sequence.",,,,
76,Relay 1,,OFF,OFF,,,,,,"0:OFF,1:ON",,,,,
77,Relay 2,,OFF,OFF,,,,,,"0:OFF,1:ON",,,,,
78,Parameter Version ,Par,0,OFF,0,OFF,65535,ON,NA,,OEM/Customer can use this parameter to assign Parameter version,,,,
79,Software Version,Fir,,0,0,0,65535,65535,NA,,Controller Software Version,,,,
80,Hardware Version ,Har,,0,0,0,65535,65535,NA,,Danfoss Hardware version of the controller,,,,
81,Code number,onL,,0,0,0,65535,65535,NA,,Danfoss controller code number,,,,
82,OEM code low ,oEL,0,0,0,0,65535,65535,NA,,OEM/Customer can use this parameter to assign their code number for their various applications,,,,
83,OEM code High,oEH,0,4011,0,0,65535,65535,NA,,OEM / Customer can use this parameter to assign their code number for their various applications,,,,
84,Thermostat cut in temperature,CTi,,32,-100,-148,200,392,°F,,Thermostst cut in temperature at current spindle position,,,,
85,Themostat cut out temperature,CTO,,32,-100,-148,200,392,°F,,Thermostst cut out temperature at current spindle position,,,,
86,Cabinet Air temperature,att,,32,-100,-148,200,392,°F,,Temperature of Cabinet Air sensor,,,,
87,Evaporator 1 temperature,Et1,,32,-100,-148,200,392,°F,,Temperature of Evaporator 1 sensor,,,,
88,Evaporator 2 temperature,Et2,,32,-100,-148,200,392,°F,,Temperature of evaporator 2 Sensor,,,,
89,Condenser temperature,Ct1,,32,-100,-148,200,392,°F,,Temperature of condenser sensor,,,,
90,Door Status on S2,dr1,,32,,,,,,"0:close,1:Open,2:Not Configured","Status of the door switch configured on S2 Port
Close: Door is closed
Open: Door is open
Not Configured: Door switch is not configured to this port",,,,
91,Door Status on S3,dr2,,32,,,,,,"0:close,1:Open,2:Not Configured","Status of the door switch configured on S3 Port
Close: Door is closed
Open: Door is open
Not Configured: Door switch is not configured to this port",,,,
92,Di Switch Status on S2,Di1,,32,,,,,,"0:Open,1:Close,2:Not Configured","Status of the digital input configured on S2 Port
Open- Deactivated
Close- Activated
Not Configured- Di switch is not configured to this port",,,,
93,Di Switch Status on S3,Di2,,,,,,,,"0:Open,1:Close,2:Not Configured","Status of the digital input configured on S3 Port
Open- Deactivated
Close- Activated
Not Configured- Di switch is not configured to this port",,,,
94,Spindle position,uSp,,,0,Close,100,Not Configured,%,,"""Current position of the spindle 
Warm- 0%
Cold-100%""
",,,,
95,Relay 1 Status,R1S,,,,,,,,"0:OFF,1:ON","This parameter displays the status of Relay 1
(ON / OFF)",,,,
96,Relay 2 Status,R2S,,,,,,,,"0:OFF,1:ON","This parameter displays the status of Relay 2
(ON / OFF)",,,,
97,Thermostat status,thS,,0.5,,,,,,"0:Initial state,1:Serving mode,2:Eco Mode,3:Initial pull down,4:Pull down,5:Emergency mode,6:Main Switch off,7:Holiday mode,8:Automatic Heater Control mode,9:Energy mode delay","Controller operating status
1- Initial state
2-Serving
3-Eco Mode
4-Initial Pull down (IPD)
5- Pull down /Super cool Mode
6-Emergency Mode
7-Main Switch Off
8. Holiday mode
9. Automatic Heater Control mode
10. Energy mode delay",,,,
98,Defrost status (stages),dES,,OFF,,,,,,"0:Idle,1:Ice off,2:Drip off,3:Cooling Preperation","1.   Idle
2. Ice off
3. Drip off
4. Cooling Preperation",,,,
99,Defrost interval counter - Comp. run time,InC,,OFF,0,OFF,32767,ON,Mins,,Defrost interval counter based on accumulated compressor run time,,,,
100,Defrost Interval counter - Elapsed time,Int,,1,0,1,32767,8,Mins,,Defrost interval counter based on elapsed time,,,,
101,Alarm status,ALS,,1,0,1,32765,4,NA,,,,,,
102,Main Voltage ,uAC,,0,1,0,300,32767,V,,Main power supply voltage,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
