Menu Code,Parameter Name (ERC113D-True Mfg),TRUE Default,Min,Max,Unit,Enum,Access Settings,,,PNU 
d02,Door heater ON percentage - Mode II,40,0,100,Percent,"0:No,1:YES",NV,RW,RW,2067
SPd,Mini Defrost Terminate Temperature,1.1,0,7,Deg C,"0: Off ,1: Ci,2: Co",NV,NV,RW,2068
Ed2,Mini Defrost Mode,1,0,1,Enum,"0:No,1:YES",NV,NV,NV,2069
dSo,Defrost Start Occurrence /method,2,0,2,Enum,"0: Off ,1: Ci,2: Co",NV,RW,RW,2070
uPt,Voltage Protection(uPt),0,0,1,Enum,"0:no,1:yES",NV,NV,NV,550
uLi,Minimum Cutin Voltage(uLi),95,0,270,Vac,,NV,NV,NV,543
uLo,Minimum cutout   Voltage(uLo),95,0,270,Vac,,NV,NV,NV,544
uHi,Maximum Voltage(uHi),270,0,270,Vac,,NV,NV,NV,545
EHd,Sensor Error Type (EHd),1,0,1,Enum,"0:no,1:SEt                                                                                                                                                                           ",NV,NV,NV,551
Ert,Error Run Time (Ert),10,0,60,min,,NV,NV,NV,541
ESt,Error Stop Time (ESt),10,0,60,min,,NV,NV,NV,542
CSt,Minimum Stop Time (CSt),4,0,30,min,,NV,NV,RW,501
Crt,Minimum Run Time (Crt),4,0,30,min,,NV,NV,NV,500
Cot,Maximum Off time(Cot),0,0,480,min,,NV,NV,NV,540
Cdd,Compressor Door Open Delay,999,0,999,Sec,,NV,NV,NV,549
Srt,System Resume After Door Open,5,0,60,min,,NV,NV,NV,555
Pod,Power on delay,60,0,300,Sec,,NV,NV,NV,2000
Pot,Power on temperature,200,-100,200,Deg C,,NV,NV,NV,548
Scd,Compressor start delay (Second and third compressor),10,0,960,Sec,,NV,NV,NV,505
CAL,Condenser Alarm Limit (CAL),80,0,200,Deg C,,NV,NV,NV,800
CbL,Condenser Block Limit (CbL),85,0,200,Deg C,,NV,NV,NV,801
CoL,Condenser OK Limit (CoL),60,0,200,Deg C,,NV,NV,NV,802
CLL,Condenser Low Limit (CLL),-5,-100,20,Deg C,,NV,NV,NV,803
dCi,Display Intensity Automatic Control (dCi),0,0,1,Enum,"0:No,1:Yes                                                                                                                                                                              ",NV,NV,NV,907
din,Display Intensity (din),10,2,10,NA,,NV,NV,NV,904
CFu,Display Unit (CFu),1,0,1,Enum,"0:Celsius,1:Fahrenheit                                                                                                                                                                                                                                                                                                                                                                                                                                                    ",RW,RW,RW,105
trS,Temperature Sensor to Display (trS),0,0,4,Enum,"0:SCo,1:EuA,2:Con,3:AuS,4:SPt",NV,NV,RW,908
rES,Display Resolution (rES),2,0,2,Enum,"0:0.1,1:0.5,2:1.0",RW,RW,RW,2019
rLt,Display Range Limit(rLt),0,0,1,Enum,"0:no,1:yES                                                                                                                                                 ",NV,NV,NV,900
ddL,Display Delay (ddL),10,0,10,min,,NV,NV,NV,901
doF,Display Offset (doF),0,-10,10,K,,NV,NV,NV,104
dLt,Lock Time After Defrost (dLt),15,0,60,min,,NV,NV,NV,902
SEC,Show Economy state (SEC),0,0,1,Enum,"0:No,1:Yes                                                                                                                                                                       ",NV,NV,NV,905
SHo,Show Holiday (SHo),0,0,1,Enum,"0:No,1:Yes                                                                                                                                                                                                                                                                                                                                                                                           ",NV,NV,NV,914
SdF,Show Defrost(SdF),1,0,1,Enum,"0:No,1:Yes                                                                                                                                                                                  ",NV,NV,NV,903
SCS,Show Compressor Symbol (SCS),1,0,1,Enum,"0:No,1:Yes                                                                                                                                                                                                                                                                                                                                                                                         ",NV,NV,NV,909
SFS,Show Fan Symbol(SFS),1,0,1,Enum,"0:No,1:Yes                                                                                                                                                                                                                                                                                                                                                                                                                                ",NV,NV,NV,910
SdS,Show Defrost Symbol(SdS),1,0,1,Enum,"0:No,1:Yes                                                                                                                                                                                                                                                                                                                                                                                                               ",NV,NV,NV,911
SES,Show ECO Symbol(SES),0,0,1,Enum,"0:No,1:Yes                                                                                                                                                                                                                                                                                                                                                                                    ",NV,NV,NV,912
SSC,Show Pull down(SSC),0,0,1,Enum,"0:No,1:Yes                                                                                                                                                                                                                                                                                                                                                                                    ",NV,NV,NV,906
Ld,Minimum Display Value  (Ld),-100,-100,200,Deg C,,NV,NV,NV,915
Hd,Maximum Display Value (Hd),200,-100,200,Deg C,,NV,NV,NV,916
St,Signalling threshold value(St),200,-100,200,Deg C,,NV,NV,NV,917
HAt,High Temperature Alarm (HAt),200,-100,200,Deg C,,NV,RW,RW,10019
LAt,Low Temperature Alarm (LAt),-100,-100,200,Deg C,,NV,RW,RW,10020
Htd,High Alarm Delay (Htd),60,0,240,min,,NV,RW,RW,10000
Ltd,Low Alarm Delay (Ltd),60,0,240,min,,NV,RW,RW,10001
PAd,Pull Down Delay (PAd),960,0,960,min,,NV,NV,NV,10018
dod,Door Open Delay (dod),5,0,60,min,,NV,NV,NV,10003
uAL,Voltage Alarm(uAL),0,0,1,Enum,"0:No,1:Yes                                                                                                                                                                                                                                                                                                                                                                                    ",NV,NV,NV,10005
LEA,Leakage alarm (LEA),0,0,96,Hrs,,NV,NV,NV,10006
Abd,Alarm Buzzer Duration (Abd),999,0,999,min,,NV,NV,RW,10004
ACA,Auto Clear of Alarm/Error (ACA),1,0,1,Enum,"0:No,1:Yes                                                                                                                                                                                                                                                                                                                                                                                    ",NV,NV,NV,10050
AuH,Automatic Heater Mode Enable(AuH),0,0,1,Enum,"0:No,1:Yes                                                                                                                                                                                                                                                                                                                                                                                    ",NV,NV,NV,2024
End,Energy Mode Delay (End),60,0,360,min,,NV,NV,NV,700
AHS,Auto heat SetPoint (AHS),2,-100,200,Deg C,,NV,NV,NV,701
Ahd,Auto heat differential (AHd),2,0,20,K,,NV,NV,NV,702
ECo,ECo On/Off (ECo),0,0,1,Enum,"0:No,1:Yes                                                                                                                                                                                                                                                                                                                                                                                    ",NV,NV,NV,2106
EC2,ECo On/Off (ECo)- Mode II,0,0,1,Enum,"0:No,1:Yes                                                                                                                                                                                                                                                                                                                                                                                    ",NV,NV,NV,2124
EdA,Door Action (EdA),1,1,10,NA,,NV,NV,NV,2107
EPA,Pir Action (EPA),1,1,10,NA,,NV,NV,NV,2108
ECt,Action Counter Time (ECt),30,0,180,min,,NV,NV,NV,2109
Edd,Door delay (Edd),180,0,180,min,,NV,NV,NV,2110
EPd,Pir delay (EPd),120,0,180,min,,NV,NV,NV,2111
SLd,Shop Light Day (SLd),5,0,80,NA,,NV,NV,NV,2100
SLn,Shop Light Night (SLn),3,0,80,NA,,NV,NV,NV,2101
tto,Time to Pull down (tto),0,0,168,Hrs,,NV,NV,NV,2112
LSd,Light Source delay on ECO(LSd),0,0,180,min,,NV,NV,NV,2113
Euu,Early wake up ON/Off (Euu),1,0,1,Enum,"0:No,1:Yes                                                                                                                                                                                                                                                                                                                                                                                    ",NV,NV,NV,2114
CLH,Shop close hour (CLH),6,0,24,Hrs,,NV,NV,NV,2115
ErL,Early wake up time offset (ErL),120,0,240,min,,NV,NV,NV,2116
HoL,Holiday Length (HoL),72,0,999,Hrs,,NV,NV,NV,2117
doE,Door Frame Heater On cycle- ECO mode,40,0,100,percent,,NV,NV,NV,2061
Eto,Eco Temperature Offset (Eto),0,-25,25,K,,NV,NV,NV,2104
Hto,Holiday Temperature Offset (Hto),0,-25,25,K,,NV,NV,NV,2118
diE,ECO Differential (diE),3.3,0,10,K,,NV,NV,NV,2119
FoE,ECO Fan On Cycle (FoE),60,0,960,Sec,,NV,NV,NV,2120
FSE,ECO Fan Stop Cycle (FSE),300,0,960,Sec,,NV,NV,NV,2121
ELC,ECO cabinet light control(ELC),1,0,2,Enum,"0:On,1:Off, 2:dor                                                                                                     ",NV,NV,NV,2122
ELd,Eco Light Delay (ELd),5,0,10,min,,NV,NV,NV,2103
uSA,Modbus Safety (uSA),0,0,1,Enum,"0:No,1:Yes                                                                                                                                                                                                                                                                                                                                                                                    ",NV,NV,NV,2329
t1A,Sensor1 Air Temperature Adjust(t1A),0,-20,20,K,,NV,RW,RW,114
t2A,Sensor2 Air Temperature Adjust(t2A),0,-20,20,K,,NV,NV,NV,2330
t3A,Sensor3 Air Temperature Adjust(t3A),0,-20,20,K,,NV,NV,NV,2331
t4A,Sensor4 Air Temperature Adjust(t4A),0,-20,20,K,,NV,NV,NV,2332
t5A,Sensor5 Air Temperature Adjust(t5A),0,-20,20,K,,NV,NV,NV,2541
t6A,Sensor6 Air Temperature Adjust(t6A),0,-20,20,K,,NV,NV,NV,2542
S1C,S1 Config (S1C),0,0,3,Enum,"0:Stn,1:Htn,2:Ldr,3:dig",NV,NV,NV,2014
S2C,S2 Config (S2C),0,0,3,Enum,"0:Stn,1:Htn,2:Ldr,3:dig",NV,NV,NV,2309
S3C,S3 Config (S3C),0,0,3,Enum,"0:Stn,1:Htn,2:Ldr,3:dig",NV,NV,NV,2079
S4C,S4 Config (S4C),4,0,4,Enum,"0:Stn,1:Htn,2:Pt1,3:Ldr,4:dig",NV,RW,RW,2333
S5C,S5 Config (S5C),0,0,3,Enum,"0:Stn,1:Htn,2:Ldr,3:dig",NV,RW,RW,2308
S6C,S6 Config (S6C),0,0,3,Enum,"0:Stn,1:Htn,2:Ldr,3:dig",NV,RW,RW,2307
S1A,S1 Application (S1A),1,0,8,Enum,"0:nC,1:SCo,2:EuA,3:Con,4:AuS,5:Ldr,6:ECo,7:dCo,8:doo",NV,NV,NV,2310
S2A,S2 Application (S2A),2,0,8,Enum,"0:nC,1:SCo,2:EuA,3:Con,4:AuS,5:Ldr,6:ECo,7:dCo,8:doo",NV,NV,NV,2311
S3A,S3 Application (S3A),0,0,11,Enum,"0:nC,1:SCo,2:EuA,3:Con,4:AuS,5:Ldr,6:ECo,7:dCo,8:doo,9:rsp,10:Pir,11:duA",NV,RW,RW,2312
S4A,S4 Application (S4A),7,0,10,Enum,"0:nC,1:SCo,2:EuA,3:Con,4:AuS,5:Ldr,6:ECo,7:dCo,8:doo,9:bt5,10:duA",NV,RW,RW,2334
S5A,S5 Application (S5A),0,0,8,Enum,"0:nC,1:SCo,2:EuA,3:Con,4:AuS,5:Ldr,6:ECo,7:dCo,8:doo",NV,RW,RW,2306
S6A,S6 Application (S6A),0,0,8,Enum,"0:nC,1:SCo,2:EuA,3:Con,4:AuS,5:Ldr,6:ECo,7:dCo,8:doo",NV,RW,RW,2305
diC,DI Config(diC),0,0,5,Enum,"0:non,1:dCo,2:doo,3:ECo,4:duA,5:Pir                                                                                                                                                                                                                                                                                                                                                                                           ",NV,RW,RW,2313
o1C,DO1 Config (o1C),0,0,3,Enum,"0:CoP,1:PiC,2:Het,3:PiH",NV,NV,NV,2314
o2C,DO2 Config (o2C),0,0,7,Enum,"0:no,1:dEF,2: ALA,3:FAn,4:Lig,5:SCC,6:tCC,7:dFH",NV,RW,RW,2315
o3C,DO3 Config (o3C),3,0,7,Enum,"0:no,1:dEF,2: ALA,3:FAn,4:Lig,5:SCC,6:tCC,7:dFH",NV,NV,NV,2316
o4C,DO4 Config (o4C),0,0,7,Enum,"0:no,1:dEF,2: ALA,3:FAn,4:Lig,5:SCC,6:tCC,7:dFH",NV,RW,RW,2317
o5C,DO5 Config (o5C),0,0,7,Enum,"0:no,1:dEF,2: ALA,3:FAn,4:Lig,5:SCC,6:tCC,7:dFH",NV,RW,RW,2304
Loc,Key Board Lock,1,0,1,Enum,"0:No,1:Yes                                                                                                                                                                                                                                                                                                                                                                                    ",NV,RW,RW,2190
b1C,Button 1 Short Config (b1C),0,0,9,Enum,"0:noP,1:tP,2:tn,3:ECo,4:Lig,5:dEF,6:SuP,7:diP,8:din,9:CFA,10:PoF11:HoL,12:inF,13:tog",NV,NV,NV,2318
b1L,Button 1 Long Config (b1L),10,0,13,Enum,"0:noP,1:tP,2:tn,3:ECo,4:Lig,5:dEF,6:SuP,7:diP,8:din,9:CFA,10:PoF11:HoL,12:inF,13:tog",NV,NV,NV,2326
b2C,Button 2 Short Config (b2C),9,0,9,Enum,"0:noP,1:tP,2:tn,3:ECo,4:Lig,5:dEF,6:SuP,7:diP,8:din,9:CFA,10:PoF11:HoL,12:inF,13:tog",NV,NV,NV,2319
b2L,Button 2 Long Config (b2L),5,0,13,Enum,"0:noP,1:tP,2:tn,3:ECo,4:Lig,5:dEF,6:SuP,7:diP,8:din,9:CFA,10:PoF11:HoL,12:inF,13:tog",NV,NV,NV,2335
b3C,Button 3 Short Config (b3C),1,0,9,Enum,"0:noP,1:tP,2:tn,3:ECo,4:Lig,5:dEF,6:SuP,7:diP,8:din,9:CFA,10:PoF11:HoL,12:inF,13:tog",NV,NV,NV,2320
b3L,Button 3 Long Config (b3L),0,0,13,Enum,"0:noP,1:tP,2:tn,3:ECo,4:Lig,5:dEF,6:SuP,7:diP,8:din,9:CFA,10:PoF11:HoL,12:inF,13:tog",NV,NV,RW,2327
b4C,Button 4 Short Config (b4C),2,0,9,Enum,"0:noP,1:tP,2:tn,3:ECo,4:Lig,5:dEF,6:SuP,7:diP,8:din,9:CFA,10:PoF11:HoL,12:inF,13:tog",NV,NV,NV,2321
b4L,Button 4 Long Config (b4L),0,0,11,Enum,"0:noP,1:tP,2:tn,3:ECo,4:Lig,5:dEF,6:SuP,7:diP,8:din,9:CFA,10:PoF11:HoL,12:inF,13:tog",NV,NV,NV,2328
b5C,Button 5 Short Config (b5C),0,0,4,Enum,"0:noP,1:Eco,2:SuP,3:Lig,4:dEF,5:PoF,6:HoL",NV,NV,NV,2336
b5L,Button 5 Long Config (b5L),0,0,6,Enum,"0:noP,1:Eco,2:SuP,3:Lig,4:dEF,5:PoF,6:HoL",NV,NV,NV,2339
PS1,Password Customer (PS1),0,0,999,Enum,,NV,NV,NV,2013
PS2,Password Service (PS2),989,0,999,Enum,,NV,NV,NV,2080
PS3,Password OEM (PS3),747,0,999,Enum,,NV,NV,NV,2323
ACt,  Accumulated Compressor Run Time (ACt),NA,0,999,NA,,NV,NV,NV,2616
AFt,  Accumulated Fan Run Time (AFt)  ,NA,0,999,NA,,NV,NV,NV,2617
ALt, Accumulated Light Run Time (ALt),NA,0,999,NA,,NV,NV,NV,2618
AEt, Accumulated ERC Up Time (AEt),NA,0,999,NA,,NV,NV,NV,2619
Sdi, DI Pin State(Sdi),NA,0,1,NA,"0:CLS,1:oPn",NV,RO,RO,2002
uAC, Voltage Value(uAC),NA,0,270,NA,,NV,RO,RO,2600
ouS, Digital Output Status(ouS),NA,0,255,NA,,NV,RO,RO,2601
rL1, Relay1 Counter (rL1),NA,0,999,NA,,NV,NV,NV,2602
rL2, Relay2 Counter (rL2),NA,0,999,NA,,NV,NV,NV,2603
rL3, Relay3 Counter (rL3),NA,0,999,NA,,NV,NV,NV,2604
rL4, Relay4 Counter (rL4),NA,0,999,NA,,NV,NV,NV,2605
rL5, Relay5 Counter (rL5),NA,0,999,NA,,NV,NV,NV,2620
int, Interval Counter(int),NA,0,999,NA,,NV,NV,NV,2606
dnt, Defrost Time Counter(dnt),NA,0,999,NA,,NV,NV,NV,2607
ont, Door Open Counter(ont),NA,0,999,NA,,NV,NV,NV,2608
Snu, Serial Number(Snu),NA,-32768,32767,NA,,NV,NV,NV,2609
Fir, Software Version(Fir),NA,-32768,32767,NA,,NV,NV,NV,2003
HAr, Hardware Version(HAr),NA,-32768,32767,NA,,NV,NV,NV,2610
onL, OrderNoLow (onL),NA,-32768,32767,NA,,NV,NV,NV,2011
onH, OrderNoHigh (onH),NA,-32768,32767,NA,,NV,NV,NV,2015
oEL,OEM Code Low (oEL),0,0,999,NA,,NV,RO,RW,2016
oEn,OEM Code middle (oEn),0,0,999,NA,,NV,RO,RW,2017
oEH,OEM Code High (oEH),0,0,999,NA,,NV,RO,RW,2018
PAr,Parameter Version (PAr),NA,-32768,32767,NA,,NV,NV,NV,2611
Pir,Motion Sensor State(Pir),NA,0,1,NA,0 = No                                                                                                                                                                                                                                                                 1 = Yes                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,NV,NV,NV,2903
ESS,External ECO Switch State (ESS),NA,0,1,NA,0 = No                                                                                                                                                                                                                                                                 1 = Yes                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,NV,NV,NV,2904
SAS,Spindle Angle State,NA,0,255,NA,,NV,RO,RO,2905
S1S,Sensor 1 Status(S1S),NA,-100,200,Deg C,,NV,RO,RO,2535
S2S,Sensor 2 Status(S2S),NA,-100,200,Deg C,,NV,RO,RO,2536
S3S,Sensor 3 Status(S3S),NA,-100,200,Deg C,,NV,RO,RO,2537
S4S,Sensor 4 Status(S4S),NA,-100,200,Deg C,,NV,RO,RO,2538
S5S,Sensor 5 Status (S5S),NA,-100,200,Deg C,,NV,RO,RO,2539
S6S,Sensor 6 Status (S6S),NA,-100,200,Deg C,,NV,RO,RO,2540
drr,Door Switch Switch(drr),NA,0,1,NA,0 = CLS:The door is closed                                                                                                                                                                                                                                                                1 = oPn: The door is open                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,NV,RO,RO,2902
