MenuCode,Name,DefaultValue,Min,Max,Unit,Enum,Help
VPF,Voltage Protect function,1024,0,1,,"1:Enable,0:Disable","Minimum time interval between two defrost sessions
"
MIV,Minimum Cut-in Voltage,184,80,210,Vrms,,"Time delay to start the fan after compressor cut-in
"
VTR,Voltage Threshold,15,0,20,Vrms,,
MAV,Maximum Cut-in Voltage,255,130,264,Vrms,,"The lowest voltage at which the compressor is allowed to Cut-in.
"
ZCF,Zero-Cross switching Function,1024,0,1,,"1:Enable,0:Disable","When voltage falls below the Minimum cut-in voltage, it waits until it reaches (MIV-VTR) after which it cuts-out the compressor. After this, the compressor would start again at Minimum Cut-in voltage (MIV) parameter."
ZCS,Zero-Cross Switchning,0,-100,100,%,,This parameter will avoid sudden switching on and off of compressor due to voltage fluctuations.
RSO,Remote Offset,0,-10,10,°C,,"This cut-off voltage will override compressor minimum run time."""
RSD,Remote Deviation,0,-10,10,°C,,"
High voltage limit. If the voltage exceeds this limit, the compressor will turn off and is not allowed to start until the line voltage goes below this limit or minimum compressor stop time."
RST,Remote Sample Time,10,0,255,Sec,,"
""
This parameter enhaces the relay life and also avoid relay sparks during relay on and off.This parameter is normally set to 0, which means, that the relay will be switched on and off when the line-voltage crosses zero. Hovewer, if you exactly know the power-factor of your load, you can adjust the switching time to compensate for that. "
,Defrost temperature,0,0,0,°C,,"
This parameter can be used to calibrate for sensor tolerances. It cancels the deviation caused by long lengths of sensor cable."
,Condenser temperature,0,0,0,°C,,"
This parameter is used to compensate for bad sensor placement, to minimize the influence of the ambient temperature to the sensor."
,User set,0,0,0,% 0: Warm 100%: Cold,,"
if RST parameter is set to zero, the temperature would be displayed immediately as it is read from the sensor.  If set to any other value for example 10, ETP R1 would sample the temperature every ten seconds and moving average of 20 samples would be calculated. So if there is a temperature change, the ETPR1 would take 20 multiplied by 10 seconds i.e., 200 Secs(Max) to reach the exact temperature."
,Voltage,0,0,0,V,,"
""
""
""
""
""
 """
,RelayCount,0,0,0, ,,
,Cutin Cpr,0,0,0,°C,,
,Cutout Cpr,0,0,0,°C,,
,Alarm high temp,0,0,0,°C,,
,Alarm low temp,0,0,0,°C,,
,Compressor,0,0,1, ,"1:On,0:Off",
,Fan,0,0,1, ,"1:On,0:Off",
,Heater,0,0,1, ,"1:On,0:Off",
,Status,0,0,16,,"0:Run,1:Standby,2:Defrost,3:Error,4:Start,5:Test,6:Off,7:Def End,8:Fac test",
,Alarm,0,0,16,,"0:None,1:Sensor1,2:Sensor2,3:Compressor,4:Heater,5:Voltage_low,6:Voltage_high,7:Over_Temp_Alarm,8:Under_Temp_Alarm",
,Factory test,0,0,65535,,,
 ,Control temperature,0,0,0,°C, ,Minimum run time of fan in order to avoid sudden ON/OFF of fan.
 ,Panel Spindle Selection,0,0,2,,"0:Panel,1:Panel+Spindle with Stop Function,2:Panel + Spindle without stop function",Minimum stop time of fan in order to avoid sudden ON/OFF of fan.
FMR,Fan Min Run Time,60,0,1800,Sec,,Difference in heater cut-in and cut-out temperartures.
FMS,Fan Min Stop Time,120,0,1800,Sec,,Difference in Fan Cut-in and cut-out temperatures.
HDI,Heater Differential,0.5,-1,20,k,,"If set, the display will show the temperature in Fahrenheit."
FDI,Fan Differential,1,0,20,K,,
RCD,Remote display fahrenheit,2,0,1,,"1:Enable,0:Disable",
,Cutout heater,0,0,0,,,
,Cutin heater,0,0,0,,,
,Operating mode,0,0,16,,,"In case of knob (potentiometer) failure, this setting would bring the temperature set-point to a particular desired position, between the warmest and coldest set-points, which could be set as the percentage between warmest (0%) and coldest(100%) positions/ set-points"
,Output,0,0,16,,,
TSB,Temp Set Bottom,50,0,100,%,,
,Top temp (S1),0,0,0,°C,,
,Bottom temp (S2),0,0,0,°C,,
