Menu Code,Parameter Name,default Value,Min,Max,Unit,Enum,Description,,
Pdd,Alarm delay during Pull Down/ Power up /defrost,60,0,960,Mins,,"Time delay to raise high temperature alarm during pull down, power up and defrost in order to avoid wrong alarm signal during these condtions.",,
dFt,Defrost type,nAt,,,,"0:no,1:nAt","This parameter defines the required type of defrost
""no"": defrost function is disabled.
""nAt"": Natural defrost (OFF-cycle defrost)
""EL"": electrical defrost.
""Hgd"": hot gas defrost ",,
dii,Minimum defrost Interval,360,1,4320,Mins,,"Defines the minimum time period between the start of two defrost cycles. If the evaporator temperature goes below the defrost start temperature (dEt) controller triggers the defrost after this period, if not trigger the defrost at Maximum defrost interval (dAi)
",,
dAi,Maximum defrost Interval,420,1,4320,Mins,,Maximum time period between the start of two defrost cycles.,,
dit,Minimum defrost time,5,0,240,Mins,,"Defines the minimum duration of a defrost cycle. During this period, the controller will Not check the temperature. Once the minimum time has expired, the temperature will be checked and if the terminate temperature ""dtt"" has been reached, the defrost cycle will end. If dtt has Not been reached, defrost will continue until maximum defrost time ""dAt"" reached",,
dAt,Maximum defrost Time,30,0,480,Mins,,"Maximum duration of a defrost cycle. Controller will terminate the defrost after this time, even if evap sensor is configured and evaporator temperature is less than terminate temperature (dtt).",,
dtt,Defrost Terminate Temp,6,0,50,°C,,"This parameter defines the evaporator temperature at which defrot must be terminated. controller will terminate the defrost based on the defrost terminate temperature (dtt) or Maximum defrost time (dAt). If no evaporator sensor is used, defrost would be terminated based on the maximum defrost time (dAt)",,
dCt,Defrost On accumulated Compressor Run Time,No,,,,"0:No,1:Yes","If this parameter is set to ""yES"", defrost interval is calculated based on the total time the compressor has been running. If this parameter is set to no, then defrost interval is based on the elapsed time,regardless of compressor ON time.",,
dEt,Defrost Start by Evap Temp,-100,-100,0,°C,,Evaporator Temperature at which the defrost to be triggered after minimum defrost interval to avoid excess frost on the evaporator (Active only if evaporator sensor is configured),,
dot,Drip Off time,2,0,60,Mins,,Defines the time delay to start compressor after terminating defrost. This feature is to ensure no water droplet on the evaporator before starting the cooling cycle,,
idi,Initial Defrost Interval,180,0,4320,"
Mins",,"The initial defrost interval determines the time for first defrost after
power-up. The initial defrost is mainly intended for factory testing of the
defrost functionality and can be set to expire after a number compressor
cycles according to the setting of parameter idd. ",,
idd,Initial defrost duration,0,0,999,Cycles,,"The initial defrost duration is the number of compressor cycles after which initial defrost is deactivated.
""0"":  No initial defrost.
""1-998"": number of compressor cycles before deactivation.
""999"": initial defrost always active.",,
Eco,ECO Mode enable,No,,,,"0:No,1:Yes","ECO mode is active or not. If selected ""no""  all other settings related to ECO mode are not active.",,
Eto,Eco Offset,4,-25,25,°K,,Defines offset temperature during ECO mode. Offset can be possitive or negative.,,
Edd,Eco Door Delay,180,0,360,Mins,,Time delay for entering in to ECO mode if there is no door open.,,
uPt,Voltage Protection function,No,,,,"0:No,1:Yes",This feature protects the compressor if the line voltage goes beyond the operating range.  ,,
uLi,Minimum Cut-in Voltage 110V (230V),100,70,230,V ,,The lowest voltage at which the compressor is allowed to Cut-in.,,
uL0,Minimum Cut out Voltage 110V (230V),95,70,225,V,,"When the compressor is running, if voltage goes below this value, it will switch off the compressor.  This parameter is to avoid sudden switching on and off of compressor due to voltage fluctuations. This cut-off voltage will override compressor minimum run time.",,
uHi,Maximum cut out Voltage 110V (230V),260,110,270,V ,,"when the compressor is running, it will be switched OFF if the voltage exceeds this value
If the compressor is already stopped, it will remain switched off.",,
CAL,Condenser Alarm Limit,80,0,120,°C,,This parameter sets the condenser temperature at which an alarm will be generated,,
CbL,Condenser Block Limit,85,0,120,°C,,This parameter sets the compressor switched off due to high condenser temperature.,,
CoL,Condenser OK Limit,60,0,120,°C,,This parameter sets the compressor to switch on again after switched off due to  high condenser temperature respecting minimum compressor stop time.,,
EHd,Control sensor error handling type,Aut,,,,"0:no,1:Set,2:Aut","Method to control the cooling cycle in case of cabinet air sensor error.
""no"": no sensor error handling.
""SEt"": Follow configured error run and stop time.
""Aut"" : Control automaticaly based on past cycles time.",,
Ert,Error Run Time,0,0,60,Mins,,Cooling cycle ON time in case of cabinet sensor error (Active only if EHd=Set),,
Est,Error Stop Time,0,0,60,Mins,,Cooling cycle off time in case of cabinet sensor error (Active only if EHd=Set),,
ZC,Zero Cross Config,Yes,,,,"0:No,1:Yes","This parameter enhaces the relay life and also avoid relay sparks during relay on and off.If selected ""yes""relays will be switched on and off when the line-voltage is closeer to zero. ",,
tSt,Operating mode,Normal,,,,"0:Manual,1:Normal","Normal mode - Normal operation mode of the controller
Manual mode- In this mode output relays can be switched ON and OFF irrespective of temperature conditions.",,
Par,Parameter Version ,0,0,65535,,,OEM/Customer can use this parameter to assign Parameter version,,
Fir,Software Version,,0,65535,,,,,
Har,Hardware Version ,,0,65535,,,,,
onL,Code number,,0,65535,,,,,
oEL,OEM low ,,0,65535,,,OEM/customer can use this parameter to assign their code number for their various applications,,
oEH,OEM High,,0,65535,,,OEM/customer  can use this parameter to assign their code number for their various applications,,
CTi,Thermostat cut in temperature,,-100,200,°C,,Thermostst cut in temperature at current spindle position,,
CTO,Themostat cut out temperature,,-100,200,°C,,Thermostst cut out temperature at current spindle position,,
Cab,Cabinet Air Temperature,,-100,200,°C,,Cabinet Air temperature ,,
Eva,Evap Temperature,,-100,200,°C,,Evap Temp,,
Con,Condenser Temperature,,-100,200,°C,,Condenser Temp,,
Dor,Door Status,,,,,"0:Open,1:Close,2:Not Configured","Status of the door switch
Close: Door is closed
Open: Door is open
Not Configured: Door switch is not configured",,
Di1,Di Switch Status,,,,,"0:Open,1:Close,2:Not Configured","Status of Digital input
Open: Deactivated
Close: Activated
Not Configured: Di switch not configured ",,
uSp,Spindle position,,0,100,%,,"""Current position of the spindle 
Warm- 0%
Cold-100%""
",,
CPS,Compressor Relay Status,,,,,"0:OFF,1:ON",,,
thS,Thermostat status,,,,,"0:Initial state,1:Serving mode,2:Eco Mode,3:Initial pull down,4:Pull down,5:Emergency mode,6:Main Switch off","Thermostat Operating status
1- Initial state
2-Serving
3-Eco Mode
4-Initial Pull down (IPD)
5- Pull down /Super cool Mode
6-Emergency Mode
7-Main Switch Off",,
dES,Defrost status (stages),,,,,"0:Idle,1:Ice off,2:Drip off,3:Cooling Preperation","Stages during defrost
1.   Idle
2. Ice off
3. Drip off
4. Cooling Preperation",,
InC,Defrost interval counter - Comp. run time,,0,32767,Mins,,Defrost interval counter based on accumulated compressor run time,,
Int,Defrost Interval counter - Elapsed time,,0,32767,Mins,,Defrost interval counter based on elapsed time,,
ALS,Alarm status,,0,32765,,,,,
uAC,Main Voltage ,,1,300,V,,,,
