MenuCode,Name,DefaultValue,Min,Max,Unit,Enum,Help
O030,Refrigerant,0,0,42,,"0:Undef,1:R12,2:R22,3:R134a,4:R502,5:R717,6:R13,7:R13b1,8:R23,9:R500,10:R503,11:R114,12:R142b,13:R user,14:R32,15:R227,16:R401A,17:R507,18:R402A,19:R404A,20:R407C,21:R407A,22:R407B,23:R410A,24:R170,25:R290,26:R600,27:R600a,28:R744,29:R1270,30:R417A,31:R422A,32:R413A,33:R422D,34:R427A,35:R438A,36:XP10,37:R407F,38:R1234ze,39:R1234yf,40:R448A,41:R449A,42:R452A","Refrigerant setting
Before refrigeration can be started, the refrigerant must be defined. You can select the following refrigerants:
1=R12.  2=R22.  3=R134a.  4=R502.  5=R717.  6=R13.  7=R13b1.  8=R23.  9=R500.  10=R503.  11=R114.  12=R142b. 13=User defined. 14=R32. 15=R227.  16=R401A.  17=R507. 18=R402A.  19=R404A. 20=R407C.  21=R407A.  22=R407B.  23=R410A.  24=R170.  25=R290.  26=R600.  27=R600a.  28=R744.  29=R1270. 30=R417A. 31=R422A. 32=R413A. 33=R422D. 34=R427A. 35=R438A. 36=R513A. 37=R407F. 38=R1234ze. 39=R1234yf. 40=R448A. 41=R449A. 42=R452A.
(Warning: Wrong selection of refrigerant may cause damage to the compressor)."
O100,Antonie constant A1,9.8,8,12,,,"Antoine constant A for user defined/new refrigerant.  Set parameter O030 = 13, before defining this value"
O101,Antonie constant A2,-2250,-3000,-1300,,,"Antoine constant B for user defined/new refrigerant.Set parameter O030 = 13, before defining this value"
O102,Antonie constant A3,253,210,300,,,"Antoine constant C for user defined/new refrigerant. Set parameter O030 = 13, before defining this value"
O103,Refrigerant min. temperature,-100,-100,100,°C,,"The minimum temperature for  user defined refrigerant. Set parameter O030 = 13, before defining this value"
O104,Refrigerant max. temperature,100,-100,100,°C,,"The maximum temperature for the  user defined refrigerant. Set parameter O030 = 13, before defining this value"
N102,Startup mode,0,0,2,,"0:Prop. Ctrl,1:Fix OD w prot,2:Fix OD wo prot","Selection of different startup modes.
0 = Prop. Ctrl : The controller is programmed for automatic proportional control, OD will change fast based on Te and SH
 1 = Start opening degree with protection: Start valve opening degree (OD), where OD can be change due to low superheat, MOP, and other limiters. 
2: Fixed defined: fixed defined valve opening degree (OD),which is unchanged during startup time. 

This feature is used when it is necessary to open the valve quickly when the compressor turns on , to prevent too low suction pressure."
N015,Startup time,90,1,600,s,,"Start-up time for superheat control. 

With Proportional startup i.e P-control, auto superheat control will start when superheat is down at reference or when startup time is exceeded.

For Start opening degree with protection or fixed opening degree without protection, the auto superheat control starts once the start up time is expired.
"
N104,Min. startup time,15,1,240,s,,"For proportional startup this is the minimum startup time, used for to get stable signal on sensors"
N017,Startup OD,32,1,100,%,,"Starting opening degree of valve. 
For startup mode, this OD will be fixed during startup time, except for overrides by SH close, LOP, MOP. etc.
With Proportional startup, Startup OD"" is starting point for control."""
N021,SH reference mode,2,0,3,,"0:Fixed sp.,1:Loadap,2:MSS,3:Delta temp","Definition of superheat regulation
0 = Fixed SH.: fixed superheat setpoint defined by N107 SH fixed SH setpoint"""
N107,SH fixed setpoint,7,2,40,K,,
N009,SH max.,9,2,40,K,,
N010,SH min.,4,2,40,K,,
N116,SH ref. delta temp. factor,65,20,100,%,,"This feature can be used In those application where fixed superheat is needed at all time. SH fixed setpoint can be varied according to the need of the application
Warning! Due to the risk of liquid flow the setting should not be lower than approx. 2-4 K. It is recommended to keep this value 2k above the SH closed value."
N005,SH Tn,90,20,900,s,,Max. value for the superheat reference when using adaptive control
N019,SH Kp Min.,0.6,0.1,1,,,"Min. value for the superheat reference when using adaptive control
Warning! Due to the risk of liquid flow the setting should not be lower than approx. 2-4 K. It is recommended to keep this value 2k above the SH closed value."
N004,SH Kp,1.5,0.1,20,,,"Only relevant  for SH reference mode = Delta temp
Superheat reference is set as ratio of the  average difference from S3 to Te  "
N020,SH KpTe,3,0,20,,,"Integration time Tn for superheat control
If the Tn value is increased the regulation becomes slower. Lowering  the value will create a faster superheat control.Too low value will create superheat fluctuation."
I066,Minimum OD,0,0,100,%,,"Damping of amplification near reference value
This setting damps the normal amplification Kp, but only just around the reference value. A setting of 0.5 will reduce the KP value by half.
The value should only be changed by specially trained staff."
N032,Maximum OD,100,0,100,%,," Amplification factor Kp for superheat control.
If the Kp value is reduced the regulation becomes slower. Increasing the Kp value will make faster regulation. Too high value will create superheat fluctuation."
N117,SH close function,1,0,1,,"0:Off,1:On","This setting determines the valve’s opening degree as a function of the change in evaporating pressure. An increase of the evaporating pressure will result in a reduced opening degree. When there is a drop-out on the low-pressure thermostat during start-up the value must be raised a bit. If there is fluctuation during start-up the value must be reduced a little.
The value should only be changed by specially trained staff."
N119,SH close setpoint,2,-5,20,K,,"During superheat control, OD can be set to have a minimum value. This can be useful to overcome a undefined open sequence."
N120,SH close Tn divide,3,1,5,,,"During superheat control, OD can be set to have a maximum value. The value is set in %.  This feature is beneficial specially for oversized valve."
N121,SH close Kp factor,1.5,0.5,10,,,"This is a safety feature that prevents the flooding of the  liquid into the compressor.  When the measured superheat goes below the setpoint, the valve will close faster."
N123,Limit Kp,5,1,20,,,"It is recommended to set the SH close setpoint valve 2k below the Min Superheat.
Warning! Due to the risk of liquid flow the setting should not be lower than approx. 2 K. "
N125,Limit Tn,45,20,900,s,,"When superheat is below setpoint, a fast response is needed. Sh close Tn defines how much normal Tn is reduced."
N126,Min. S4 mode,0,0,1,,"0:Off,1:On",When superheat is below setpoint a fast response is needed. Sh close Kp factor defines how much the normal Sh Kp is increased.
N127,Min. S4 setpoint,5,-50,60,°C,,"LOP, MOP, S4 min, high condensing temperature protect share the same gain factor (Kp).
Review the limit settings when adjusting the general SH control."
N018,Stability,5,0,10,,,"LOP, MOP, S4 min, high condensing temperature protect share the same integration time (Tn).
Review the limit settings when adjusting the general SH control."
N129,T0 varians factor,0,0,1,,,"Minimum S4 (media outlet) protection function. If S4 get below setpoint, the valve will close to reduce capacity.
1 = On: Function is active "
N130,MOP function,0,0,1,,"0:Off,1:On",Minimum S4 (media outlet) protection setpoint
N011,MOP setpoint,0,-70,60,°C,,"only relevant for MSS.
Stability factor for regulation of superheat, only relevant for MSS
With a higher value the control function will allow a greater fluctuation of the superheat before the reference is changed. "
N140,LOP function,0,0,1,,"0:Off,1:On","only relevant for MSS. T0 varians factor  defines if variation in suction pressure will influence superheat reference. The sh reference change can be adjusted to the value 0-1 (1= max Te influence and S2, 0 only S2). With often change in suction pressure due compressor start/stop some Te influence on MSS is recommended."
N141,LOP setpoint,-40,-90,40,°C,,"In order to reduce the strain on the compressor, a maximum
operating pressure can be set. This usefull at compressor startup and during pulldown period.
If the pressure comes to this limit the controller will control the valve to provide a lower pressure instead of a low superheat. "
N142,LOP priority mode,0,0,1,,"0:Off,1:On","MOP setpoint
Setpoint unit is saturated temperature in evaporator. If the suction pressure reaches the set MOP limit, the valve will close faster irrespective of superheat."
N131,LOP max. time,120,0,600,s,,"Lowest Operating Pressure function will keep the pressure than LOP setpoint. In case of pressure below setpoint the valve will open faster
On: function is active"
N133,High cond. temp protection function,0,0,1,,"0:Off,1:On","Lowest Operating Pressure setpoint
Setpoint unit is saturated temperature in evaporator."
N134,High cond. temp. protection setpoint,50,0,100,°C,,"In case of conflict between low pressure and SH close, LOP function can be set to override SH close actions.(could be needed a startup in low ambient temperature)
On: Lop can override  low superheat 
The value should only be changed by specially trained staff."
N135,Comp. speed feed forward Function,0,0,1,,"0:Off,1:On",Maximum time for LOP to override SH close
N136,Comp FF low cap. point,25,0,100,%,,"Only relevant for EKE 1C. 
High condensing temperture protection will reduce valve opening when setpoint  is exceeded. This function require Pc transmitter
On: the function is active."
N137,Comp FF SH Tn factor,2,1,5,,,"High condensing temperature protection  setpoint.
Setpoint unit is saturated temperature in condenser."
N138,Average  OD,0,0,100,,,"Compressor speed feed forward adapt superheat control reaction to compressor speed. In case of low speed, superheat control will react slower (greater integration time Tn). Information on compressor speed is feed vis bus communication (0-100%). 
On: the function is active"
N139,Estimated KpTe,0,0,100,,,The  point where sh control is starting to slower. Below this speed superheat control is slower 
N128,Average delta temperature,0,0,50,,,The maximum add to the integration time. At 0 % the TN  =  normal Tn * Comp FF SH Tn factor
N143,SH control sensor error action,0,0,2,,"0:Stop,1:Fixed OD,2:Average","Average OD, updated and saved every 3
hours. After power up the last saved average OD is used as starting average OD."
N144,Thermostatic sensor error action,0,0,2,,"0:Stop,1:Fixed OD,2:Average","If S3 sensor is used , Eke will calculate an estimated KpTe. If this value is found ok, it be be transferred to N020 Sh KpTe or Heat KpTe"
N145,Fixed OD during emergency cooling,0,0,100,%,,Diagnostic information.  If S3 is used the average temperature between S3 and Te is captured. Useful to estimate the correct superheat reference being 0.65 x Average delta temperature
N112,Heat startup time,90,1,600,s,,"If SH control sensor such as  temperature sensor S2 and pressure transmitter Pe has an error then an action can be set  to position the valve OD to the desired level.  
0 = Stop:  close the valve and Sh control
1 = Fixed OD: Keep the refrigeration running with setting a fixed valve OD  (N145 Fixed OD during error emergency cooling)
 2 = Average: Used  the average OD (calculated as an average of the last hour) to set a reduced OD which will be fixed during error period.
The value should only be changed by specially trained staff."
N103,Heat min. startup time,15,1,240,s,,"If Thermostatic sensor  such as  temperature sensor S3 or S4 has an error then an action can be set to position the valve OD to the desired level.  
0 = Stop:  close the valve and Sh control and temperature control 
1 = Fixed OD: Keep the refrigeration running  (constant with setting a fixed valve OD  (N145 Fixed OD during error emergency cooling)
2 = Average: for Cutin/cutout use average on and off time to continue cooling.
For MTR use reduced OD based average OD
The value should only be changed by specially trained staff."
N105,Heat startup OD,32,1,100,%,,relevant if fixed od is selected as option during emergency cooling 
N106,Heat SH fixed setpoint,7,2,40,K,,"Start-up time for superheat control in heat mode. For startup mode with fixed OD, the OD will be fixed during startup time.
With Proportional startup, auto superheat control will start when superheat is down at reference or when startup time is exceeded."
N108,Heat SH max.,9,2,40,K,,"For proportional startup in heat mode this is the minimum startup time, used for to get stable signal on sensors"
N109,Heat SH min.,4,2,40,K,,"Starting opening degree of valve in heat mode. For startup mode this OD will be fixed during startup time, except for overrides by SH close, LOP, MOP. etc.
With Proprotional startup Startup OD"" is starting point for control. A higher value will lead to a more aggressive control"""
N115,Heat SH ref. delta temp. factor,65,20,100,%,,"This feature can be used In those application where fixed superheat in heating mode is needed at all time. SH fixed setpoint can be varied according to the need of the application
Warning! Due to the risk of liquid flow the setting should not be lower than approx. 2-4 K. It is recommended to keep this value 2k above the SH closed value."
N110,Heat SH Tn,90,20,900,s,,Max. value for the superheat reference in heat mode when using adaptive control
N111,Heat SH Kp min.,0.6,0.1,1,,,"Min. value for the superheat reference in heat mode when using adaptive control
Warning! Due to the risk of liquid flow the setting should not be lower than approx. 2-4 K. It is recommended to keep this value 2k above the SH closed value."
N113,Heat SH Kp,1.5,0.1,20,,,"Only relevant  for SH reference mode = Delta temp
Superheat reference is set as ratio of the average difference from S3 to Te.  "
N114,Heat SH KpTe,3,0,20,,,"Integration time Tn for superheat control in heat mode
If the Tn value is increased the regulation becomes slower. Lowering  the value will create a faster superheat control.Too low value will create superheat fluctuation."
N118,Heat SH close setpoint,2,-5,20,K,,"Damping of amplification near reference value in heat mode
This setting damps the normal amplification Kp, but only just around the reference value. A setting of 0.5 will reduce the KP value by half.
The value should only be changed by specially trained staff."
N124,Heat limit Tn,45,20,900,s,," Amplification factor Kp for superheat control in heat mode
If the Kp value is reduced the regulation becomes slower. Increasing the Kp value will make faster regulation. Too high value will create superheat fluctuation."
N122,Heat limit Kp,5,1,20,,,"This setting determines the valve’s opening degree as a function of the change in evaporating pressure in heat mode. An increase of the evaporating pressure will result in a reduced opening degree. When there is a drop-out on the low-pressure thermostat during start-up the value must be raised a bit. If there is fluctuation during start-up the value must be reduced a little.
The value should only be changed by specially trained staff."
D101,Defrost start low pressure limit,1,0.1,20,barg,,"It is recommended to set the SH close setpoint valve 2k below the Min Superheat.
Warning! Due to the risk of liquid flow the setting should not be lower than approx. 2 K. "
D102,Defrost start time,0,0,600,s,,"LOP, MOP, S4 min, high condensing temperature protect share the same gain factor (Kp).
Review the limit settings when adjusting the general SH control."
D100,Defrost OD,0,0,100,%,,"LOP, MOP, S4 min, high condensing temperature protect share the same integration time (Tn)
review the limit settings when adjusting the general SH control."
D104,Defrost end closed time,0,0,600,s,,"Defrost start is used to empty the evaporator
The defrost seqvence start with closing the valve. The valve is kept closed until D101 defrost start low pressure limit is reached or ""D102 defrost start time"" is exceeded, then the defrost seqvence will continue."""
D103,Defrost end OD time,0,0,600,s,,"Defrost start is used to empty the evaporator
The defrost sequence start with closing the valve. The valve is kept closed until D101 defrost start low pressure limit is reached or D102 defrost start time"" is exceeded, then the defrost sequence will continue."""""
D105,Defrost end OD,50,0,100,%,,"After defrost start, the defrost is performed. Valve opening is set by D100 Defrost OD and this OD is kept until defrost stop signal""."""
A100,Low Min S4 delay,60,0,1200,s,,"After the defrost stop signal the is kept closed and kept closed during D104 Defrost end closed time"". Useful during 4 way valve change over"""
A101,Low Min S4 band,2,0,30,K,,"Before startup of SH contro,l D103 Defrost end OD time and ""D105 Defrost end OD""  can be used overcome the dynamic in the 4way valve  changeover and rapid signal change which make normal SH control unsafe""."""
A001,Upper temperature alarm,5,0,40,K,,"Before startup of sh control D103 Defrost end OD time"" and ""D105 Defrost end OD""  can be used overcome the dynamic in the 4way valve  change over and rapid signal change which make normal SH control unsafe"""
A002,Lower temperature alarm,3,0,40,K,,Delay time for low min S4 alarm
A003,Temperature alarm delay,30,0,90,min,,"S4 has be to be below Min S4 setpoint"" - ""Low min S4 band"" before an low min S4 alarm can be raised."""
A034,Battery alarm,0,0,1,,"0:Off,1:On","Alarm for upper deviation
The alarm for too high thermostat temperature is set here. The value is set in Kelvin. The alarm becomes active when the S3 temperature exceeds the actual reference plus A001. (The actual reference can be seen U028)."
A103,MOP alarm delay,60,0,1200,s,,"Alarm for lower deviation
The alarm for too low thermostat temperature is set here. The value is set in Kelvin. The alarm becomes active when the S3 temperature drops below the actual reference minus A002.(The actual reference can be seen U028)."
A104,MOP alarm differential,5,0,40,K,,"Alarm delay
If one of the two limit values is exceeded, a timer function will commence. The alarm will not become active until the set time delay has been passed. The time delay is set in minutes."
A105,LOP alarm delay,60,0,1200,s,,"If the backup battery voltage is too high or too low, crtical an alarm will be raised.
0 = Off: no alarm on battery voltage
1 = On: Battery voltage is monitored"
A106,LOP alarm differential,5,0,40,K,,Alarm delay on Maximum operating pressure (MOP)
A107,Cond.temp alarm delay,120,0,1200,s,,"Te has to be above MOP setpoint + ""MOP alarm differential"" before an high pressure (MOP) alarm can be raised."""""
A113,Cond. temp.alarm differential,5,0,40,K,,Alarm delay on Low operating pressure (LOP)
A108,High SH alarm delay,600,0,1800,s,,"Te has be to be below LOP setpoint"" - ""LOP alarm differential"" before an low  pressure (LOP) alarm can be raised."""
A109,High SH alarm differential,5,0,40,K,,alarm delay on condensing temperature 
A110,Low SH alarm delay,60,0,1200,s,,Tc has to be above High cond. temp. protection setpoint + Cond. temp.alarm differential before an High condensing temperature alarm can be raised
A102,Low SH alarm differential,3,0,40,K,,Alarm delay on high superheat
A112,Lack of capacity alarm delay,0,0,120,min,,Superheat has to be above actual sh reference + High SH alarm differential before an low SH alarm can be raised 
I020,AI1 configuration 1B/C,0,0,2,,"0:Not Used,1:S3,2:S4",Alarm delay on low superheat
I021,AI4 configuration 1C,0,0,2,,"0:Not Used,1:ExtRef,2:pc",Superheat has to be below actual sh reference - low SH alarm differential before an low SH alarm can be raised 
I080,AI4 configuration 1A/B,0,0,1,,"0:Not Used,1:ExtRef","Alarm delay on lack of capacity 
Valve opening degree is monitored  to observe if the valve capacity can control Sh to desired level. If OD is close to 100 %, Lack of capacity alarm raised."
I022,AI5 configuration 1C,0,0,2,,"0:Not Used,1:S3,2:S4",select the Analog input
O002,DI1 configuration,1,0,1,,"0:Not Used,1:Main Switch",select the Analog input
O022,DI2 configuration,0,0,3,,"0:Not Used,1:Defrost Start,2:Preset OD,3:Heat/Cool",select the Analog input
O037,DI3 configuration,0,0,3,,"0:Not Used,1:Defrost Start,2:Preset OD,3:Heat/Cool",select the Analog input
O013,DO1 configuration,0,0,2,,"0:Alarm,1:LLSV,2:Max cap","DI1 is reserved main switch function
0 = Not used: no digital switch for main switch
1= main switch: dry contact for main switch connected to DI1"
I040,S2 sensor configuration 1C,0,0,6,,"0:Not defined,1:EKS 221,2:ACCPBT NTC10K,3:MBT 153 10K,4:112CP,5:Bus Shared,6:AKS","DI2 can have multiple functions
0 = Not Used: nothing connected
1 = Defrost Start: dry contact for defrost start signal
2 = Preset OD: dry contact for preset of OD
3 = Heat/Cool: dry contact for set of heat/cool mode"
I081,S2 sensor configuration 1B,0,0,5,,"0:Not defined,1:EKS 221,2:ACCPBT NTC10K,3:MBT 153 10K,4:112CP,5:Bus Shared",Select the DI type
I082,S2 sensor configuration 1A,0,0,4,,"0:Not defined,1:EKS 221,2:ACCPBT NTC10K,3:MBT 153 10K,4:112CP","DO1 can multiple functions (Software configurable)
0 = Alarm: Alarm relay in case of alarm, contact is made on  C and NC terminals.
1= LLSV: Liquid line solenoid valve. If flow is need and contact is made on C and NO terminals"
I041,S3 sensor configuration 1C,0,0,6,,"0:Not defined,1:EKS 221,2:ACCPBT NTC10K,3:MBT 153 10K,4:112CP,5:Bus Shared,6:AKS",Select the type of temperature sensor 
I083,S3 sensor configuration 1B,0,0,5,,"0:Not defined,1:EKS 221,2:ACCPBT NTC10K,3:MBT 153 10K,4:112CP,5:Bus Shared",Select the type of temperature sensor 
I042,S4 sensor configuration 1C,0,0,6,,"0:Not defined,1:EKS 221,2:ACCPBT NTC10K,3:MBT 153 10K,4:112CP,5:Bus Shared,6:AKS",Select the type of temperature sensor 
I084,S4 sensor configuration 1B,0,0,5,,"0:Not defined,1:EKS 221,2:ACCPBT NTC10K,3:MBT 153 10K,4:112CP,5:Bus Shared",Select the type of temperature sensor 
I043,Pe transmitter configuration 1C,0,0,14,,"0:Not defined,1:AKS 32R,2:ACCPBP Ratio,3:112CP,4:OEM Ratio,5:NSK,6:AKS 32 1-5V,7:OEM Voltage,8:Bus shared,9:AKS 32 1-6V,10:AKS 32 0-10V,11:AKS 33,12:XSK,13:ACCPBP Current,14:OEM Current",Select the type of temperature sensor 
I085,Pe transmitter configuration 1B,0,0,8,,"0:Not defined,1:AKS 32R,2:ACCPBP Ratio,3:112CP,4:OEM Ratio,5:NSK,6:AKS 32 1-5V,7:OEM Voltage,8:Bus shared",Select the type of temperature sensor 
I086,Pe transmitter configuration 1A,0,0,7,,"0:Not defined,1:AKS 32R,2:ACCPBP Ratio,3:112CP,4:OEM Ratio,5:NSK,6:AKS 32 1-5V,7:OEM Voltage",Select the type of temperature sensor 
I045,Pe ratio. low,10,3,97,%,,Select the type of pressure transmitter 
I046,Pe ratio high,90,3,97,%,,Select the type of pressure transmitter 
I047,Pe voltage low 1C,0,0,10,V,,Select the type of pressure transmitter 
I087,Pe voltage low 1A/B,0,0,5,V,,"only relevant for OEM ratio pressure tranmitter. Define the ratio at minimum pressure"""""
I048,Pe voltage high 1C,10,0,10,V,,"only relevant for OEM ratio pressure transmitter. Define the ratio at maximum pressure"""""
I088,Pe voltage high 1A/B,5,0,5,V,,Define pressure transmitter voltage low
I049,Pe current low,4,0,20,mA,,Define pressure transmitter voltage low
I050,Pe current high,20,0,20,mA,,Define pressure transmitter voltage high
O020,Pe transmitter min.,-1,-1,200,barg,,Define pressure transmitter voltage high
O021,Pe transmitter max.,12,-1,200,barg,,USE only for non Danfoss/ OEM current signal pressure transmitter. Define the lower current range for Pe pressure transmitter
I044,Pc transmitter configuration 1C,0,0,14,,"0:Not defined,1:AKS 32R,2:ACCPBP Ratio,3:112CP,4:OEM Ratio,5:NSK,6:AKS 32 1-5V,7:OEM Voltage,8:Bus shared,9:AKS 32 1-6V,10:AKS 32 0-10V,11:AKS 33,12:XSK,13:ACCPBP Current,14:OEM Current",USE only for non Danfoss/ OEM current signal pressure transmitter. Define the higher current range for Pe pressure transmitter
I023,Pc ratio. low,3,3,97,%,,"Working range for pressure transmitter
Depending on the application a pressure transmitter with a given working range is used. This working range (say, -1 to 12 bar g) must be set in the controller. The min. Gauge pressure value is set."
I024,Pc ratio high,97,3,97,%,,The max. Gauge pressure value is set for the selected Pe pressure transmitter.
I025,Pc voltage low,0,0,10,V,,Select the type of pressure transmitter 
I026,Pc voltage high,10,0,10,V,,"only relevant for OEM ratio. Define the ratio at minimum pressure"""""
I038,Pc current low,4,0,20,mA,,"only relevant for OEM ratio"". Define the ratio at maximum pressure"""
I039,Pc current high,20,0,20,mA,,USE only for non Danfoss/ OEM voltage pressure transmitter. Define the lower voltage range for Pc pressure transmitter
O047,Pc transmitter min.,-1,-1,0,barg,,USE only for non Danfoss/ OEM  voltage pressure transmitter. Define the higher voltage range for Pc pressure transmitter
O048,Pc transmitter max,34,1,200,barg,,USE only for non Danfoss/ OEM current signal pressure transmitter. Define the lower current range for Pc pressure transmitter
I067,Valve configuration,0,0,32,,"0:no valve,1:UserDef,2:ETS 12C,3:ETS 24C,4:ETS 25C,5:ETS 50C,6:ETS 100C,7:ETS 6,8:ETS 12.5,9:ETS 25,10:ETS 50,11:ETS 100,12:ETS 250,13:ETS 400,14:KVS 2C,15:KVS 3C,16:KVS 5C,17:KVS 15,18:KVS 42,19:CCMT 0,20:CCMT 1,21:CCMT 2,22:CCMT 4,23:CCMT 8,24:CCMT 16,25:CCMT 24,26:CCMT 30,27:CCMT 42,28:CCM 10,29:CCM 20,30:CCM 30,31:CCM 40,32:CTR 25",USE only for non Danfoss/ OEM current signal pressure transmitter. Define the higher current range for Pc pressure transmitter
I027,Valve motor type,0,0,1,,"0:Unipolar,1:Bipolar",The min. Gauge pressure (barg) value is set for the selected Pc pressure transmitter.
I028,Valve drive current,10,10,1000,mA,,The max. Gauge (barg) pressure value is set for the selected Pc pressure transmitter.
I029,Valve step positioning,0,0,2,,"0:Fullstep,1:Halfstep,2:Auto","Select the type of Danfoss stepper motor valve from the list.   For non Danfoss valve  define I067 =1 i.e UserDef and set the motor parameters i.e I027, I028,I029, I030, I031, I032,I061, I063,I077, I064,I065
If you want to correct a danfoss given valve profile then first the relevant valve and then select user def"
I030,Valve total steps,1,1,8000,stp,,"Only for non Danfoss stepper motor valve. 
Define type of motor used in the valve, such as Unipolar or Bipolar. Basically unipolar valve will have 5-6 wires coming out of its coil whereas bipolar will have 4 wires coming out of its motor."
I031,Valve speed,10,10,400,PPS,,Only for non Danfoss stepper motor valve. Set the current requirement of the motor in mA Peak.  Note: 1mA RMS = 1.41 mA Peak
I032,Valve start speed,20,1,100,%,,"Only for non Danfoss stepper motor valve. 
Define the valve step positioning. In general, Unipolar valve are positioned in halfstep whereas bipolar are position  at Full step. "
I061,Valve emergency speed,100,50,200,%,,"Only for non Danfoss stepper motor valve. 
Define the total number of steps. Remember to set if the valve should position in Half or Full step in para I029"
I062,Valve acceleration current,100,100,150,%,,"The valve will be driven with high, low or balanced speed as set in this parameter. Note: higher speed will provide low torque to the motor, on the other hand low speed will provide the higher torque. There should be balance between speed and torque depending on the application. Unit is Pulses per second, a pulse is either a full or a half step as defined in I029 Valve step positioning"""""
I063,Valve acceleration time,10,10,150,ms,,"Only for non Danfoss stepper motor valve. 
This feature is useful with high valve speeds. The first will be taken with a lower speed than normal to avoid too big acceleration of the motor.
Make sure to select a start speed which is recommended for the valve
Unit is % taken from normal speed."
I077,Valve holding current,0,0,300,%,,"In case of emergency i.e power loss  valve can be driven with high or low speed. 
Unit is % taken from normal speed"
I064,Valve step mode,3,0,4,,"0:Full,1:Half,2:1/4,3:1/8,4:1/16","Only for non Danfoss stepper motor valve. 
To give higher/lower torque in the start and stop sequence, the motor currrent can be adjusted. 
Unit is % taken from normal current."
I065,Valve duty cycle,100,5,100,%,,"Only for non Danfoss stepper motor valve.  
Define how long time  the start/stop sequence with acceleration/deceleration. "
I069,Valve OD during stop,0,0,100,%,,"Only for non Danfoss stepper motor valve.  
Holding current is too secure the actual position. Not all valve designs require holding current. heck with the valve manufacturer if not mentioned on their literature."
I070,Start backlash,0,0,5,%,,"Only for non Danfoss stepper motor valve.  
Valve stepper stepper mode define the resolution of current current through use of microstepping. For Bipolar motors 1/8 is recommend to have smooth and powerful operation.
0 = Full: only 1 current level pr step
1 = Half: 2 current levels (microsteps) pr full step
2 = 1/4: 4 current levels (microsteps) pr full step
3 = 1/8: 8 current levels (microsteps) pr full step
4 = 1/16: 16 current levels (microsteps) pr full step"
I071,Compensation backlash,0,0,5,%,,"Only for non Danfoss stepper motor valve. 
Useful if continous operation of the valve is not allowed. Most valve design don't have continous operation constraint. 
Check with the valve manufacturer if not mentioned on their literature."
I072,Overdrive,4,0,20,%,,"In some applications, i.e reversible system,  the valve must remain open when the controller is off. This can be done by setting a fixed opening degree. When normal control is switched off with the main switch, the valve will keep this opening degree. "
I073,Overdrive enable OD,0,0,100,%,,"When the valve open from closed position, the start backlash value decides how much to overdive in % of the full stroke.
This can be useful to overcome a undefined open sequence
Note: setting this value to Zero means disabling the feature."
