MenuCode,Name,DefaultValue,Min,Max,Unit,Enum,Help
"PS3","Pass-word level3","0.0","0.0","999.0","","","Password level 1 / PS1
Password Level 2 / PS2
Password Level 3 / PS3
These assign passwords to the three levels of access. The password is a
three-digit number. Access levels are Shop, Service and OEM.
You may not therefore have access to change all the passwords.
Passwords are entered by using the up and down arrow buttons.
Danfoss advises against using passwords which are easy to remember
or enter, for example 111, 222, 123 etc.
NOTE: When accessing the controller with 3 wrong password in a sequence
ERC will automatically block access for 15 minutes."
"ACt","Accumulated Compressor run time","0.0","0.0","999.0","*1000 hrs","","Accumulated Comp. run time"
"AEt","Accumulated ERC run time","0.0","0.0","999.0","*1000 hrs","","Accumulated ERC up time"
"uAC","Voltage value","0.0","0.0","270.0","Vac","","Voltage value
Current main power supply voltage."
"rL1","DO1 Counter","0.0","0.0","999.0","*1000","","Relay 1 counter
Thousands of cycles of compressor relay since manufacture."
"int","Interval Counter","0.0","0.0","999.0","hour","","Compressor runtime since last defrostNULL"
"dnt","Defrost Time Counter","0.0","0.0","999.0","min","","Duration of last defrost cycle(min)"
"Snu","Serial Number","101.0","-32768.0","32767.0","","","Serial number
Serial number given at manufacturing."
"Fir","Firmware Version","302.0","-32768.0","32767.0","","","SW version
Danfoss software version number."
"HAr","Hardware Version","2.0","-32768.0","32767.0","","","HW version
Danfoss hardware version number."
"onL","Order No Low","3235.0","-32768.0","32767.0","","","OrderNoLow
Danfoss order code number."
"oEL","OEM Code Low","0.0","0.0","999.0","","","OEM code Low"
"oEn","OEM Code middle","0.0","0.0","999.0","","","OEM code Middle"
"oEH","OEM Code High","0.0","0.0","999.0","","","OEM code High"
"PAr","Parameter Version","440.0","-32768.0","32767.0","","","Parameter version
OEM parameter version number [requires EKA copy key update]."
"CHd","Manufacturing Date","0.0","0.0","999.0","","","Manufacturing date
Programme date WWY: week number and year number (2010-19)."
"Ctt","Condensor temp","0.0","0.0","0.0","°C","","Condenser Temp
Temperature of the condensor sensor."
"Et1","Evaporator1 temp","0.0","0.0","0.0","°C","","Evaporator1 Temp
Temperature of the evaporator sensor1."
"Aus","AUX temp","0.0","0.0","0.0","°C","","AUX Temp.
Temperature of the AUX sensor. invisible."
"Att","Air temp","0.0","0.0","0.0","°C","","Raw Sair Temp"
"Scs","Show Compressor Symbol","1.0","0.0","1.0","","0:No,1:Yes","yES: display will show compressor symbol ; no: Display will not show compressor symbol"
"Sds","Show Defrost Symbol","1.0","0.0","1.0","","0:No,1:Yes","yES:display will show deF during defrost;no: Display will show temp"
"PF1","Relay Power Factor","0.0","-90.0","90.0","","","Phasic angle in degrees. Changing this may give decreased relay1 lifetime."
"dbr","Database version","0.0","-32768.0","32767.0"," ","","Database version"
"iCi","Access Initial cut in","52.0","2.0","15.0"," ","0:--,1:WO,2:RO,3:RW","RO- Read only; WO- Write only;RW- Read and write; -- Not visible"
"Add","Access Adaptive defrost","60.0","2.0","15.0"," ","0:--,1:WO,2:RO,3:RW","RO- Read only; WO- Write only;RW- Read and write; -- Not visible"
"dCt","Access Defrost on compressor time","52.0","2.0","15.0"," ","0:--,1:WO,2:RO,3:RW","RO- Read only; WO- Write only;RW- Read and write; -- Not visible"
"uPt","Access Voltage protection","52.0","2.0","15.0"," ","0:--,1:WO,2:RO,3:RW","RO- Read only; WO- Write only;RW- Read and write; -- Not visible"
"rLt","Access Display Range Limit","52.0","2.0","15.0"," ","0:--,1:WO,2:RO,3:RW","RO- Read only; WO- Write only;RW- Read and write; -- Not visible"
"SSC","Access Show Pull Down","52.0","2.0","15.0"," ","0:--,1:WO,2:RO,3:RW","RO- Read only; WO- Write only;RW- Read and write; -- Not visible"
"SHo","Access Show Holiday","52.0","2.0","15.0"," ","0:--,1:WO,2:RO,3:RW","RO- Read only; WO- Write only;RW- Read and write; -- Not visible"
"SdF","Access Show Defrost","52.0","2.0","15.0"," ","0:--,1:WO,2:RO,3:RW","RO- Read only; WO- Write only;RW- Read and write; -- Not visible"
"uAL","Access Voltage alarm","52.0","2.0","15.0"," ","0:--,1:WO,2:RO,3:RW","RO- Read only; WO- Write only;RW- Read and write; -- Not visible"
"ACA","Access Auto Clearance of Alarm","60.0","2.0","15.0"," ","0:--,1:WO,2:RO,3:RW","RO- Read only; WO- Write only;RW- Read and write; -- Not visible"
"uSA","Access MODBUS Safety","48.0","2.0","15.0"," ","0:--,1:WO,2:RO,3:RW","RO- Read only; WO- Write only;RW- Read and write; -- Not visible"
"ouS","Access DOs Status","20.0","2.0","15.0"," ","0:--,1:WO,2:RO,3:RW","RO- Read only; WO- Write only;RW- Read and write; -- Not visible"
"dFt","Access Def. type","60.0","2.0","15.0"," ","0:--,1:WO,2:RO,3:RW","RO- Read only; WO- Write only;RW- Read and write; -- Not visible"
"EHd","Access Sensor Error Type","52.0","2.0","15.0"," ","0:--,1:WO,2:RO,3:RW","RO- Read only; WO- Write only;RW- Read and write; -- Not visible"
"CFu","Access Display Unit","63.0","2.0","15.0"," ","0:--,1:WO,2:RO,3:RW","RO- Read only; WO- Write only;RW- Read and write; -- Not visible"
"trS","Access Temp sensor to display","52.0","2.0","15.0"," ","0:--,1:WO,2:RO,3:RW","RO- Read only; WO- Write only;RW- Read and write; -- Not visible"
"rES","Access Display Resolution","52.0","2.0","15.0"," ","0:--,1:WO,2:RO,3:RW","RO- Read only; WO- Write only;RW- Read and write; -- Not visible"
"S1C","Access S1 Config","52.0","2.0","15.0"," ","0:--,1:WO,2:RO,3:RW","RO- Read only; WO- Write only;RW- Read and write; -- Not visible"
"S2C","Access S2 Config","52.0","2.0","15.0"," ","0:--,1:WO,2:RO,3:RW","RO- Read only; WO- Write only;RW- Read and write; -- Not visible"
"S1A","Access S1 Application","52.0","2.0","15.0"," ","0:--,1:WO,2:RO,3:RW","RO- Read only; WO- Write only;RW- Read and write; -- Not visible"
