GroupCode,MenuCode,Name
"Acc.diS","SdF","Access Show Defrost"
"Acc.ALA","uAL","Access Voltage alarm"
"Acc.ALA","ACA","Access Auto Clearance of Alarm"
"Acc.ASi","uSA","Access MODBUS Safety"
"Acc.SEr","ouS","Access DOs Status"
"Acc.dEF","dFt","Access Def. type"
"Acc.CoP","EHd","Access Sensor Error Type"
"Acc.diS","CFu","Access Display Unit"
"Acc.diS","trS","Access Temp sensor to display"
"Acc.diS","rES","Access Display Resolution"
"Acc.ASi","S1C","Access S1 Config"
"Acc.ASi","S2C","Access S2 Config"
"Acc.ASi","S1A","Access S1 Application"
"Acc.ASi","S2A","Access S2 Application"
"Acc.ASi","o1C","Access DO1 Config"
"Acc.ASi","b1C","Access Button 1 Short Config"
"Acc.ASi","b1L","Access Button 1 Long Config"
"Acc.ASi","b2C","Access Button 2 Short Config"
"Acc.ASi","b2L","Access Button 2 Long Config"
"Acc.ASi","b3C","Access Button 3 Short Config"
"Acc.ASi","b3L","Access Button 3 Long Config"
"Acc.ASi","b4C","Access Button 4 Short Config"
"Acc.ASi","b4L","Access Button 4 Long Config"
"Acc.tHE","SEt","Access Set point"
"Acc.tHE","SPr","Access Set point adjustment ratio"
"Acc.tHE","diF","Access Differential"
"Acc.tHE","HSE","Access High Set point"
"Acc.tHE","LSE","Access Low Set point"
"Acc.Pud","PLt","Access Pull-down limit temp"
"Acc.dEF","dtt","Access Def terminate temp"
"Acc.dEF","dEt","Access Defrost start evaporator temp."
"Acc.dEF","ddt","Access Defrost Delta T (ddt)"
"Acc.dEF","drt","Access Def reset temp"
"Acc.CoP","Pot","Access Power-on temperature"
"Acc.diS","doF","Access Display Offset"
"Acc.ALA","HAt","Access High Temp Alarm"
"Acc.ALA","LAt","Access Low Temp Alarm"
"Acc.ECA","Hto","Access Holiday Temperature Offset"
"Acc.ASi","t1A","Access Temp Adj. for S1"
"Acc.ASi","t2A","Access Temp Adj. for S2"
"Acc.Pud","Pcy","Access Pull-down Cycling"
"Acc.Pud","Pdi","Access Pull-down defrost Interval"
"Acc.Pud","Pdd","Access Pull-down duration"
"Acc.dEF","dii","Access Def Min Interval"
"Acc.dEF","dAt","Access Def Max time"
"Acc.dEF","dAi","Access Def Max Interval"
"Acc.dEF","dit","Access Def Min Time"
"Acc.dEF","doC","Access Defrost by Comp. running time"
"Acc.dEF","idi","Access Initial Defrost Interval"
"Acc.dEF","idd","Access Initial Defrost Duration"
"Acc.CoP","uLi","Access Minimum Cutin voltage"
"Acc.CoP","uLo","Access Minimum cut-out voltage"
"Acc.CoP","uHi","Access Maximum voltage"
"Acc.CoP","Ert","Access Error run time"
"Acc.CoP","ESt","Access Error stop time"
"Acc.CoP","CSt","Access Min Stop time"
"Acc.CoP","Crt","Access Min run time"
"Acc.CoP","Cot","Access Max Off time"
"Acc.CoP","Pod","Access Power On Delay"
"Acc.Con","CAL","Access Condenser Alarm Limit"
"Acc.Con","CbL","Access Condenser Block Limit"
"Acc.Con","CoL","Access Condenser OK limit"
"Acc.Con","CLL","Access Condenser Low Temp. Limit"
"Acc.diS","din","Access Display Intensity"
"Acc.diS","ddL","Access Display Delay"
"Acc.diS","dLt","Access Lock-time After defrost"
"Acc.ALA","Htd","Access High Alarm delay"
"Acc.ALA","Ltd","Access Low Alarm delay"
"Acc.ALA","Pdd","Access Pulldown delay"
"Acc.ALA","LEA","Access Leakage alarm"
"Acc.ALA","Abd","Access Alarm Buzzer Duration"
"Acc.ECS","tto","Access Time to pull down"
"Acc.ASi","PS1","Access Pass-word level1"
"Acc.ASi","PS2","Access Pass-word level2"
"Acc.ASi","PS3","Access Pass-word level3"
"Acc.SEr","ACt","Access Accumulated Compressor run time"
"Acc.SEr","AEt","Access Accumulated ERC run time"
"Acc.SEr","uAC","Access Voltage value"
"Acc.SEr","rL1","Access DO1 Counter"
"Acc.SEr","int","Access Interval Counter"
"Acc.SEr","dnt","Access Defrost Time Counter"
"Acc.SEr","Snu","Access Serial Number"
"Acc.SEr","Fir","Access Firmware Version"
"Acc.SEr","HAr","Access Hardware Version"
"Acc.SEr","onL","Access Order No Low"
"Acc.SEr","oEL","Access OEM Code Low"
"Acc.SEr","oEn","Access OEM Code middle"
"Acc.SEr","oEH","Access OEM Code High"
"Acc.SEr","PAr","Access Parameter Version"
"Acc.SEr","CHd","Access Manufacturing Date"
"Acc.Sts","Ctt","Access Condensor temp"
"Acc.Sts","Et1","Access Evaporator1 temp"
"Acc.Sts","Aus","Access AUX temp"
"Acc.Sts","Att","Access Air temp"
"Acc.dis","Scs","Access Show Compressor Symbol"
"Acc.dis","Sds","Access Show Defrost Symbol"
"Acc.Cop","PF1","Access Relay Power Factor"
"Acc.SEr","dbr","Access Database version"
"SEr","ous","DOs Status (Relay 1)"
