ParameterName,DB_Menucode,KP_Menucode,Result,DB_DefaultValue,KP_DefaultValue,Result,DB_MinValue,KP_MinValue,Result,DB_MaxValue,KP_MaxValue,Result,DB_Unit,KP_Unit,Result,DB_Info,KP_Info,Result
Drip delay,d06,d06,True,0,0,True,0,0,True,60,60,True,min,min,True,This parameter defines the time delay to start the compressor after defrost heater being switched OFF. This delay is generally provided to ensure all water droplets on the evaporator drips off before starting the refrigeration cycle.,This parameter defines the time delay to start the compressor after defrost heater being switched OFF. This delay is generally provided to ensure all water droplets on the evaporator drips off before starting the refrigeration cycle.,True
Comp accumulated runtime,d18,d18,True,0,0,True,0,0,True,96,96,True,hour,hour,True,"When the accumulated compressor runtime is equal to the value set in this Parameter, defrost will be triggered.  If the compressor runtime is less than the set value during the define defrost interval “d03”, defrost will be triggered based on the defrost interval “d03”. This feature is disabled when this parameter is set to zero.","When the accumulated compressor runtime is equal to the value set in this Parameter, defrost will be triggered.  If the compressor runtime is less than the set value during the define defrost interval “d03”, defrost will be triggered based on the defrost interval “d03”. This feature is disabled when this parameter is set to zero.",True
Defrost delay after pulldown ,d30,d30,True,0,0,True,0,0,True,960,960,True,min,min,True,This parameter defines the time delay to start the defrost after pull down cycle. This has to ensure defrost doesn’t happen immediately after pull down cycle.,This parameter defines the time delay to start the defrost after pull down cycle. This has to ensure defrost doesn’t happen immediately after pull down cycle.,True
Delay of outputs at startup,o01,o01,True,5,5,True,0,0,True,600,600,True,sec,sec,True,After start-up the controller functions can be delayed by the time delay defined here so that overloading of the electricity supply network is avoided.,After start-up the controller functions can be delayed by the time delay defined here so that overloading of the electricity supply network is avoided.,True
DI1 configuration,o02,o02,True,Off,Off,True,0,,False,9,,False,,,True,"Here you can configure the DI1 to one of the functions listed below.
""oFF"" not used
""Sdc"" status display output
""doo"" door alarm with resumption (door function)
""doA"" door alarm without resumption (door alarm)
""SCH"" main switch
""nig"" day/night mode
""rFd""reference displacement.
""EAL"" external alarm
""dEF"" defrost
""Pud"" pull down
""Sc"" condenser sensor
","Here you can configure the DI1 to one of the functions listed below.
""oFF"" not used
""Sdc"" status display output
""doo"" door alarm with resumption (door function)
""doA"" door alarm without resumption (door alarm)
""SCH"" main switch
""nig"" day/night mode
""rFd""reference displacement.
""EAL"" external alarm
""dEF"" defrost
""Pud"" pull down
""Sc"" condenser sensor
",True
Serial address,o03,o03,True,0,0,True,0,0,True,247,247,True,,,True,Data communication is possible through external TTL to RS485 gateway.,Data communication is possible through external TTL to RS485 gateway.,True
Password,o05,o05,True,0,0,True,0,0,True,999,999,True,,,True,If the settings in the controller are to be protected with an access code you can set a numerical value between 0 and 999. You can cancel the function by setting to 0.,If the settings in the controller are to be protected with an access code you can set a numerical value between 0 and 999. You can cancel the function by setting to 0.,True
Display Resolution ,o15,o15,True,0.1,0.1,True,0,,False,1,,False,,,True,This parameter defines the steps in which the temperature must be displayed by 0.1 or 0.5 or 1.,This parameter defines the steps in which the temperature must be displayed by 0.1 or 0.5 or 1.,True
"Save settings as factory
",o67,o67,True,No,No,True,0,,False,1,,False,,,True,"This parameter when set to YES. The current controller Parameter settings are stored as Factory default.
WARNING: original factory settings are overwritten.","This parameter when set to YES. The current controller Parameter settings are stored as Factory default.
WARNING: original factory settings are overwritten.",True
"Display during defrost
 ",o91,o91,True,-d-,-d-,True,0,,False,2,,False,,,True,"You can set what is to be displayed during defrost here.
""Air""actual air temperature
""FrE""=freezed temperature( display the temperature just before starting defrost)
""-d”-d-” is displayed","You can set what is to be displayed during defrost here.
""Air""actual air temperature
""FrE""=freezed temperature( display the temperature just before starting defrost)
""-d”-d-” is displayed",True
DI1 polarity,P73,P73,True,no,no,True,0,,False,1,,False,,,True,"""no (normally open)""associated functionality is activated when “DI1” port is short circuit. The associated function is deactivated when “DI1” port is open circuit.
""nc (normally closed)""associated functionality is activated when “DI1” port is open circuit and deactivated
when “DI1” port is short circuit","""no (normally open)""associated functionality is activated when “DI1” port is short circuit. The associated function is deactivated when “DI1” port is open circuit.
""nc (normally closed)""associated functionality is activated when “DI1” port is open circuit and deactivated
when “DI1” port is short circuit",True
