Group_Code,Menu_Code,Group_Name,Name,PNU,Default_Value,Minimum_Value,Maximum_Value,Unit,Scaling,Datatype,Enum,Read_Only,Help,Decimals,Variable_Name,Visibility_Index,Visibility_Rule,Alarm_Parameter_Idx,Unique_ID,ItemType,CopyType,Enum_Vis_List_Idx
,o30,Configuration,Refrigerant,2551,0,0,49,,0,,"0:Not seleted,6:R13,7:R13b1,2:R22,8:R23,14:R32,11:R114,3:R134a,12:R142b,24:R170,15:R227,25:R290,16:R401A,18:R402A,19:R404A,21:R407A,22:R407B,20:R407C,37:R407F,49:R407H,23:R410A,32:R413A,30:R417A,31:R422A,33:R422D,34:R427A,35:R438A,40:R448A,41:R449A,48:R449B,43:R450A,44:R452B,45:R454B,9:R500,4:R502,10:R503,17:R507,36:R513A,26:R600,27:R600a,5:R717,28:R744,46:R1233zdE,38:R1234ze,39:R1234yf,47:R1234zeZ,29:R1270,42:R452A,1:Custom display,13:Custom",1,"Select the type of refrigerant. If the required refrigerant is not part of the list, the user defined option can be used. Please contact Danfoss for detailed information

Warning: Wrong selection of refrigerant may cause damage to the system.",0,Id_1048610,0,1,,1048610,C,S,[]
,P83,Configuration,Refrigerant factor K1,2201,300,-999,999,,0,INT,,1,Refrigerant factor for a custom refrigerant - please contact Danfoss for detailed information,0,Id_1048614,37,GetVar(189) == 1,,1048614,C,S,[]
,P84,Configuration,Refrigerant factor K2,2202,300,-999,999,,0,INT,,1,Refrigerant factor for a custom refrigerant - please contact Danfoss for detailed information,0,Id_1048615,37,GetVar(189) == 1,,1048615,C,S,[]
,P85,Configuration,Refrigerant factor K3,2203,300,-999,999,,0,INT,,1,Refrigerant factor for a custom refrigerant - please contact Danfoss for detailed information,0,Id_1048616,37,GetVar(189) == 1,,1048616,C,S,[]
,,Configuration,Refrigerant factor A1,2548,8000,8000,12000,,0,INT,,1,Refrigerant factor for a custom refrigerant - please contact Danfoss for detailed information,0,Id_1048611,35,GetVar(189) == 13,,1048611,C,S,[]
,,Configuration,Refrigerant factor A2,2549,-1000,-4000,-1000,,0,INT,,1,Refrigerant factor for a custom refrigerant - please contact Danfoss for detailed information,0,Id_1048612,35,GetVar(189) == 13,,1048612,C,S,[]
,,Configuration,Refrigerant factor A3,2550,1000,1000,3000,,0,INT,,1,Refrigerant factor for a custom refrigerant - please contact Danfoss for detailed information,0,Id_1048613,35,GetVar(189) == 13,,1048613,C,S,[]
,o20,Configuration,Pe sensor - Min range,2034,-1,-1,5,Bar-g,0,Float,,1,Minimum measuring range for sensor,1,Id_1053752,0,1,,1053752,C,S,[]
,o21,Configuration,Pe sensor - Max range,2033,12,6,200,Bar-g,0,Float,,1,Maximum measuring range for sensor,1,Id_1053751,0,1,,1053751,C,S,[]
,o06,Configuration,Temperature sensor type,2014,0,0,3,,0,,"0:Pt 1000,1:PTC 1000,2:NTC 5k,3:NTC 10k",1,"Sensor type for S3, S4 and S5. 
Normally a Pt 1000 sensor with great signal accuracy is used. But you can also use a sensor with another signal accuracy. That may either be a PTC sensor (1000 ohm at 25°C) All the mounted sensors S3-S5 must be of the same type. 

0 = Pt 1000

1 = PTC 1000

2 = NTC 5k

3 = NTC 10k",0,Id_1053444,0,1,,1053444,C,S,[]
,r89,Configuration,Food type,209,0,0,5,,0,,"0:None,1:Vegetables,2:Dairy,3:Meat and fish,4:Frozen food,5:Ice cream",1,"When changing the food type the controller will automatically adapt temperature setpoints and alarm limits according to the selected food type. Please be aware that the setting will revert to ""None"" after having been changed.",0,Id_1056768,0,1,,1056768,P,N,[]
,q39,Configuration,Food temp. sensor,2250,2,1,4,,0,,"1:Thermostat air,2:Alarm air,3:S3 Air ON evap.,4:S6 Product temp.",1,Select the temperature to be used for the food temperature representation,0,Id_1053450,0,1,,1053450,C,S,['S6 Product temp.:29']
,d01,Configuration,Defrost method,1000,1,0,4,,0,,"0:None,1:Electrical,2:Hot gas,4:Air/Offcycle",1,Select method of defrost,0,Id_1054083,0,1,,1054083,S,S,['Hot gas:71']
,d10,Configuration,Defrost stop method,1009,0,0,2,,0,,"0:Time,1:S5 sensor,2:S4 sensor",1,Here you define whether a defrost cycle is to be stopped by time or by a temperature sensor,0,Id_1054087,2,GetVar(25) > 0,,1054087,S,S,[]
,d02,Configuration,Defrost stop limit A,1001,6,0,50,°C,0,Float,,1,"When the selected defrost stop sensor reaches the set limit, the defrost cycle is terminated",1,Id_1053671,13,GetVar(25) > 0 and GetVar(34) > 0,,1053671,S,S,[]
,o03,Configuration,Network address,2008,0,0,240,,0,INT,,1,Network address of the controller,0,Id_1054564,0,1,,1054564,C,C,[]
,o04,Configuration,Service pin,60029,0,0,1,,0,,"0:OFF,1:ON",1,"If the controller is built into a LonWorks network with data communication, it must have an address, and the system manager must know this address.
The address is sent to the system manager when the menu is set in pos. ON. 
IMPORTANT: Before you set o04, you MUST set the application mode of the controller (The function is not used when the data communication is MODBUS)",0,Id_1056807,0,1,,1056807,F,N,[]
,U61,Configuration,DO1 Function,2691,0,0,90,,0,,"30:Pe Evap. pressure,31:S2 Gas outlet A,32:S3 Air ON evap. A,33:S4 Air OFF evap. A,34:S5 Evaporator A,35:S6 product temp.,36:S3 Air ON evap. B,37:S5 Evaporator B,38:Humidity sensor,90:Rail heat PWM,60:Digital input status,61:Door function,62:Door alarm,63:Defrost start,64:Main switch,65:Night setback,66:Thermostat band,67:Alarm at closed,68:Alarm at open,69:Case cleaning,70:Forced cooling,71:Open blinds,72:Coordinated def.,73:Forced closing,74:Shut down,75:Light control,76:Leak detection,77:Adap liquid ctrl,0:None,1:AKV opening A,2:Fan,3:Fan ECO,4:Defrost A,5:Rail heat,6:Alarm,7:Light,8:Blinds,9:Compressor 1,10:Compressor 2,11:Air heater,12:Drain valve,13:Suction valve,14:Hotgas valve,15:Defrost B,16:Humidifier",0,List of possible features that can be associated to a physical input or output,0,Id_1056109,0,1,,1056109,R,N,"['S3 Air ON evap. A:65', 'S4 Air OFF evap. A:66', 'S5 Evaporator A:67', 'S6 product temp.:68', 'S3 Air ON evap. B:69', 'S5 Evaporator B:70', 'Humidity sensor:38', 'Rail heat PWM:34', 'Fan:4', 'Fan ECO:59', 'Defrost A:60', 'Rail heat:61', 'Alarm:62', 'Light:30', 'Blinds:33', 'Compressor 1:11', 'Compressor 2:12', 'Air heater:10', 'Drain valve:63', 'Suction valve:63', 'Hotgas valve:63', 'Defrost B:64', 'Humidifier:38']"
,U62,Configuration,DO2 Function,2692,0,0,90,,0,,"30:Pe Evap. pressure,31:S2 Gas outlet A,32:S3 Air ON evap. A,33:S4 Air OFF evap. A,34:S5 Evaporator A,35:S6 product temp.,36:S3 Air ON evap. B,37:S5 Evaporator B,38:Humidity sensor,90:Rail heat PWM,60:Digital input status,61:Door function,62:Door alarm,63:Defrost start,64:Main switch,65:Night setback,66:Thermostat band,67:Alarm at closed,68:Alarm at open,69:Case cleaning,70:Forced cooling,71:Open blinds,72:Coordinated def.,73:Forced closing,74:Shut down,75:Light control,76:Leak detection,77:Adap liquid ctrl,0:None,1:AKV opening A,2:Fan,3:Fan ECO,4:Defrost A,5:Rail heat,6:Alarm,7:Light,8:Blinds,9:Compressor 1,10:Compressor 2,11:Air heater,12:Drain valve,13:Suction valve,14:Hotgas valve,15:Defrost B,16:Humidifier",0,List of possible features that can be associated to a physical input or output,0,Id_1056124,0,1,,1056124,R,N,"['S3 Air ON evap. A:65', 'S4 Air OFF evap. A:66', 'S5 Evaporator A:67', 'S6 product temp.:68', 'S3 Air ON evap. B:69', 'S5 Evaporator B:70', 'Humidity sensor:38', 'Rail heat PWM:34', 'Fan:4', 'Fan ECO:59', 'Defrost A:60', 'Rail heat:61', 'Alarm:62', 'Light:30', 'Blinds:33', 'Compressor 1:11', 'Compressor 2:12', 'Air heater:10', 'Drain valve:63', 'Suction valve:63', 'Hotgas valve:63', 'Defrost B:64', 'Humidifier:38']"
,U63,Configuration,DO3 Function,2693,0,0,90,,0,,"30:Pe Evap. pressure,31:S2 Gas outlet A,32:S3 Air ON evap. A,33:S4 Air OFF evap. A,34:S5 Evaporator A,35:S6 product temp.,36:S3 Air ON evap. B,37:S5 Evaporator B,38:Humidity sensor,90:Rail heat PWM,60:Digital input status,61:Door function,62:Door alarm,63:Defrost start,64:Main switch,65:Night setback,66:Thermostat band,67:Alarm at closed,68:Alarm at open,69:Case cleaning,70:Forced cooling,71:Open blinds,72:Coordinated def.,73:Forced closing,74:Shut down,75:Light control,76:Leak detection,77:Adap liquid ctrl,0:None,1:AKV opening A,2:Fan,3:Fan ECO,4:Defrost A,5:Rail heat,6:Alarm,7:Light,8:Blinds,9:Compressor 1,10:Compressor 2,11:Air heater,12:Drain valve,13:Suction valve,14:Hotgas valve,15:Defrost B,16:Humidifier",0,List of possible features that can be associated to a physical input or output,0,Id_1056139,0,1,,1056139,R,N,"['S3 Air ON evap. A:65', 'S4 Air OFF evap. A:66', 'S5 Evaporator A:67', 'S6 product temp.:68', 'S3 Air ON evap. B:69', 'S5 Evaporator B:70', 'Humidity sensor:38', 'Rail heat PWM:34', 'Fan:4', 'Fan ECO:59', 'Defrost A:60', 'Rail heat:61', 'Alarm:62', 'Light:30', 'Blinds:33', 'Compressor 1:11', 'Compressor 2:12', 'Air heater:10', 'Drain valve:63', 'Suction valve:63', 'Hotgas valve:63', 'Defrost B:64', 'Humidifier:38']"
,U64,Configuration,DO4 Function,2694,0,0,90,,0,,"30:Pe Evap. pressure,31:S2 Gas outlet A,32:S3 Air ON evap. A,33:S4 Air OFF evap. A,34:S5 Evaporator A,35:S6 product temp.,36:S3 Air ON evap. B,37:S5 Evaporator B,38:Humidity sensor,90:Rail heat PWM,60:Digital input status,61:Door function,62:Door alarm,63:Defrost start,64:Main switch,65:Night setback,66:Thermostat band,67:Alarm at closed,68:Alarm at open,69:Case cleaning,70:Forced cooling,71:Open blinds,72:Coordinated def.,73:Forced closing,74:Shut down,75:Light control,76:Leak detection,77:Adap liquid ctrl,0:None,1:AKV opening A,2:Fan,3:Fan ECO,4:Defrost A,5:Rail heat,6:Alarm,7:Light,8:Blinds,9:Compressor 1,10:Compressor 2,11:Air heater,12:Drain valve,13:Suction valve,14:Hotgas valve,15:Defrost B,16:Humidifier",0,List of possible features that can be associated to a physical input or output,0,Id_1056154,0,1,,1056154,R,N,"['S3 Air ON evap. A:65', 'S4 Air OFF evap. A:66', 'S5 Evaporator A:67', 'S6 product temp.:68', 'S3 Air ON evap. B:69', 'S5 Evaporator B:70', 'Humidity sensor:38', 'Rail heat PWM:34', 'Fan:4', 'Fan ECO:59', 'Defrost A:60', 'Rail heat:61', 'Alarm:62', 'Light:30', 'Blinds:33', 'Compressor 1:11', 'Compressor 2:12', 'Air heater:10', 'Drain valve:63', 'Suction valve:63', 'Hotgas valve:63', 'Defrost B:64', 'Humidifier:38']"
,U65,Configuration,DO5 Function,2695,0,0,90,,0,,"30:Pe Evap. pressure,31:S2 Gas outlet A,32:S3 Air ON evap. A,33:S4 Air OFF evap. A,34:S5 Evaporator A,35:S6 product temp.,36:S3 Air ON evap. B,37:S5 Evaporator B,38:Humidity sensor,90:Rail heat PWM,60:Digital input status,61:Door function,62:Door alarm,63:Defrost start,64:Main switch,65:Night setback,66:Thermostat band,67:Alarm at closed,68:Alarm at open,69:Case cleaning,70:Forced cooling,71:Open blinds,72:Coordinated def.,73:Forced closing,74:Shut down,75:Light control,76:Leak detection,77:Adap liquid ctrl,0:None,1:AKV opening A,2:Fan,3:Fan ECO,4:Defrost A,5:Rail heat,6:Alarm,7:Light,8:Blinds,9:Compressor 1,10:Compressor 2,11:Air heater,12:Drain valve,13:Suction valve,14:Hotgas valve,15:Defrost B,16:Humidifier",0,List of possible features that can be associated to a physical input or output,0,Id_1056169,0,1,,1056169,R,N,"['S3 Air ON evap. A:65', 'S4 Air OFF evap. A:66', 'S5 Evaporator A:67', 'S6 product temp.:68', 'S3 Air ON evap. B:69', 'S5 Evaporator B:70', 'Humidity sensor:38', 'Rail heat PWM:34', 'Fan:4', 'Fan ECO:59', 'Defrost A:60', 'Rail heat:61', 'Alarm:62', 'Light:30', 'Blinds:33', 'Compressor 1:11', 'Compressor 2:12', 'Air heater:10', 'Drain valve:63', 'Suction valve:63', 'Hotgas valve:63', 'Defrost B:64', 'Humidifier:38']"
,U66,Configuration,DO6 Function,2696,0,0,90,,0,,"30:Pe Evap. pressure,31:S2 Gas outlet A,32:S3 Air ON evap. A,33:S4 Air OFF evap. A,34:S5 Evaporator A,35:S6 product temp.,36:S3 Air ON evap. B,37:S5 Evaporator B,38:Humidity sensor,90:Rail heat PWM,60:Digital input status,61:Door function,62:Door alarm,63:Defrost start,64:Main switch,65:Night setback,66:Thermostat band,67:Alarm at closed,68:Alarm at open,69:Case cleaning,70:Forced cooling,71:Open blinds,72:Coordinated def.,73:Forced closing,74:Shut down,75:Light control,76:Leak detection,77:Adap liquid ctrl,0:None,1:AKV opening A,2:Fan,3:Fan ECO,4:Defrost A,5:Rail heat,6:Alarm,7:Light,8:Blinds,9:Compressor 1,10:Compressor 2,11:Air heater,12:Drain valve,13:Suction valve,14:Hotgas valve,15:Defrost B,16:Humidifier",0,List of possible features that can be associated to a physical input or output,0,Id_1056184,0,1,,1056184,R,N,"['S3 Air ON evap. A:65', 'S4 Air OFF evap. A:66', 'S5 Evaporator A:67', 'S6 product temp.:68', 'S3 Air ON evap. B:69', 'S5 Evaporator B:70', 'Humidity sensor:38', 'Rail heat PWM:34', 'Fan:4', 'Fan ECO:59', 'Defrost A:60', 'Rail heat:61', 'Alarm:62', 'Light:30', 'Blinds:33', 'Compressor 1:11', 'Compressor 2:12', 'Air heater:10', 'Drain valve:63', 'Suction valve:63', 'Hotgas valve:63', 'Defrost B:64', 'Humidifier:38']"
,Y55,Configuration,DI1 Function,2722,0,0,90,,0,,"30:Pe Evap. pressure,31:S2 Gas outlet A,32:S3 Air ON evap. A,33:S4 Air OFF evap. A,34:S5 Evaporator A,35:S6 product temp.,36:S3 Air ON evap. B,37:S5 Evaporator B,38:Humidity sensor,90:Rail heat PWM,60:Digital input status,61:Door function,62:Door alarm,63:Defrost start,64:Main switch,65:Night setback,66:Thermostat band,67:Alarm at closed,68:Alarm at open,69:Case cleaning,70:Forced cooling,71:Open blinds,72:Coordinated def.,73:Forced closing,74:Shut down,75:Light control,76:Leak detection,77:Adap liquid ctrl,0:None,1:AKV opening A,2:Fan,3:Fan ECO,4:Defrost A,5:Rail heat,6:Alarm,7:Light,8:Blinds,9:Compressor 1,10:Compressor 2,11:Air heater,12:Drain valve,13:Suction valve,14:Hotgas valve,15:Defrost B,16:Humidifier",0,List of possible features that can be associated to a physical input or output,0,Id_1056216,20,GetVar(184) != 7 and GetVar(184) != 8,,1056216,R,N,"['S3 Air ON evap. A:65', 'S4 Air OFF evap. A:66', 'S5 Evaporator A:67', 'S6 product temp.:68', 'S3 Air ON evap. B:69', 'S5 Evaporator B:70', 'Humidity sensor:38', 'Rail heat PWM:34', 'Fan:4', 'Fan ECO:59', 'Defrost A:60', 'Rail heat:61', 'Alarm:62', 'Light:30', 'Blinds:33', 'Compressor 1:11', 'Compressor 2:12', 'Air heater:10', 'Drain valve:63', 'Suction valve:63', 'Hotgas valve:63', 'Defrost B:64', 'Humidifier:38']"
,Y56,Configuration,DI2 Function,2723,0,0,90,,0,,"30:Pe Evap. pressure,31:S2 Gas outlet A,32:S3 Air ON evap. A,33:S4 Air OFF evap. A,34:S5 Evaporator A,35:S6 product temp.,36:S3 Air ON evap. B,37:S5 Evaporator B,38:Humidity sensor,90:Rail heat PWM,60:Digital input status,61:Door function,62:Door alarm,63:Defrost start,64:Main switch,65:Night setback,66:Thermostat band,67:Alarm at closed,68:Alarm at open,69:Case cleaning,70:Forced cooling,71:Open blinds,72:Coordinated def.,73:Forced closing,74:Shut down,75:Light control,76:Leak detection,77:Adap liquid ctrl,0:None,1:AKV opening A,2:Fan,3:Fan ECO,4:Defrost A,5:Rail heat,6:Alarm,7:Light,8:Blinds,9:Compressor 1,10:Compressor 2,11:Air heater,12:Drain valve,13:Suction valve,14:Hotgas valve,15:Defrost B,16:Humidifier",0,List of possible features that can be associated to a physical input or output,0,Id_1056233,0,1,,1056233,R,N,"['S3 Air ON evap. A:65', 'S4 Air OFF evap. A:66', 'S5 Evaporator A:67', 'S6 product temp.:68', 'S3 Air ON evap. B:69', 'S5 Evaporator B:70', 'Humidity sensor:38', 'Rail heat PWM:34', 'Fan:4', 'Fan ECO:59', 'Defrost A:60', 'Rail heat:61', 'Alarm:62', 'Light:30', 'Blinds:33', 'Compressor 1:11', 'Compressor 2:12', 'Air heater:10', 'Drain valve:63', 'Suction valve:63', 'Hotgas valve:63', 'Defrost B:64', 'Humidifier:38']"
,Y57,Configuration,DI3 Function,2724,0,0,90,,0,,"30:Pe Evap. pressure,31:S2 Gas outlet A,32:S3 Air ON evap. A,33:S4 Air OFF evap. A,34:S5 Evaporator A,35:S6 product temp.,36:S3 Air ON evap. B,37:S5 Evaporator B,38:Humidity sensor,90:Rail heat PWM,60:Digital input status,61:Door function,62:Door alarm,63:Defrost start,64:Main switch,65:Night setback,66:Thermostat band,67:Alarm at closed,68:Alarm at open,69:Case cleaning,70:Forced cooling,71:Open blinds,72:Coordinated def.,73:Forced closing,74:Shut down,75:Light control,76:Leak detection,77:Adap liquid ctrl,0:None,1:AKV opening A,2:Fan,3:Fan ECO,4:Defrost A,5:Rail heat,6:Alarm,7:Light,8:Blinds,9:Compressor 1,10:Compressor 2,11:Air heater,12:Drain valve,13:Suction valve,14:Hotgas valve,15:Defrost B,16:Humidifier",0,List of possible features that can be associated to a physical input or output,0,Id_1056250,0,1,,1056250,R,N,"['S3 Air ON evap. A:65', 'S4 Air OFF evap. A:66', 'S5 Evaporator A:67', 'S6 product temp.:68', 'S3 Air ON evap. B:69', 'S5 Evaporator B:70', 'Humidity sensor:38', 'Rail heat PWM:34', 'Fan:4', 'Fan ECO:59', 'Defrost A:60', 'Rail heat:61', 'Alarm:62', 'Light:30', 'Blinds:33', 'Compressor 1:11', 'Compressor 2:12', 'Air heater:10', 'Drain valve:63', 'Suction valve:63', 'Hotgas valve:63', 'Defrost B:64', 'Humidifier:38']"
,Y58,Configuration,AI1 Function,2725,0,0,90,,0,,"30:Pe Evap. pressure,31:S2 Gas outlet A,32:S3 Air ON evap. A,33:S4 Air OFF evap. A,34:S5 Evaporator A,35:S6 product temp.,36:S3 Air ON evap. B,37:S5 Evaporator B,38:Humidity sensor,90:Rail heat PWM,60:Digital input status,61:Door function,62:Door alarm,63:Defrost start,64:Main switch,65:Night setback,66:Thermostat band,67:Alarm at closed,68:Alarm at open,69:Case cleaning,70:Forced cooling,71:Open blinds,72:Coordinated def.,73:Forced closing,74:Shut down,75:Light control,76:Leak detection,77:Adap liquid ctrl,0:None,1:AKV opening A,2:Fan,3:Fan ECO,4:Defrost A,5:Rail heat,6:Alarm,7:Light,8:Blinds,9:Compressor 1,10:Compressor 2,11:Air heater,12:Drain valve,13:Suction valve,14:Hotgas valve,15:Defrost B,16:Humidifier",0,List of possible features that can be associated to a physical input or output,0,Id_1056298,0,1,,1056298,R,N,"['S3 Air ON evap. A:65', 'S4 Air OFF evap. A:66', 'S5 Evaporator A:67', 'S6 product temp.:68', 'S3 Air ON evap. B:69', 'S5 Evaporator B:70', 'Humidity sensor:38', 'Rail heat PWM:34', 'Fan:4', 'Fan ECO:59', 'Defrost A:60', 'Rail heat:61', 'Alarm:62', 'Light:30', 'Blinds:33', 'Compressor 1:11', 'Compressor 2:12', 'Air heater:10', 'Drain valve:63', 'Suction valve:63', 'Hotgas valve:63', 'Defrost B:64', 'Humidifier:38']"
,Y59,Configuration,AI2 Function,2726,0,0,90,,0,,"30:Pe Evap. pressure,31:S2 Gas outlet A,32:S3 Air ON evap. A,33:S4 Air OFF evap. A,34:S5 Evaporator A,35:S6 product temp.,36:S3 Air ON evap. B,37:S5 Evaporator B,38:Humidity sensor,90:Rail heat PWM,60:Digital input status,61:Door function,62:Door alarm,63:Defrost start,64:Main switch,65:Night setback,66:Thermostat band,67:Alarm at closed,68:Alarm at open,69:Case cleaning,70:Forced cooling,71:Open blinds,72:Coordinated def.,73:Forced closing,74:Shut down,75:Light control,76:Leak detection,77:Adap liquid ctrl,0:None,1:AKV opening A,2:Fan,3:Fan ECO,4:Defrost A,5:Rail heat,6:Alarm,7:Light,8:Blinds,9:Compressor 1,10:Compressor 2,11:Air heater,12:Drain valve,13:Suction valve,14:Hotgas valve,15:Defrost B,16:Humidifier",0,List of possible features that can be associated to a physical input or output,0,Id_1056314,0,1,,1056314,R,N,"['S3 Air ON evap. A:65', 'S4 Air OFF evap. A:66', 'S5 Evaporator A:67', 'S6 product temp.:68', 'S3 Air ON evap. B:69', 'S5 Evaporator B:70', 'Humidity sensor:38', 'Rail heat PWM:34', 'Fan:4', 'Fan ECO:59', 'Defrost A:60', 'Rail heat:61', 'Alarm:62', 'Light:30', 'Blinds:33', 'Compressor 1:11', 'Compressor 2:12', 'Air heater:10', 'Drain valve:63', 'Suction valve:63', 'Hotgas valve:63', 'Defrost B:64', 'Humidifier:38']"
,Y60,Configuration,AI3 Function,2727,0,0,90,,0,,"30:Pe Evap. pressure,31:S2 Gas outlet A,32:S3 Air ON evap. A,33:S4 Air OFF evap. A,34:S5 Evaporator A,35:S6 product temp.,36:S3 Air ON evap. B,37:S5 Evaporator B,38:Humidity sensor,90:Rail heat PWM,60:Digital input status,61:Door function,62:Door alarm,63:Defrost start,64:Main switch,65:Night setback,66:Thermostat band,67:Alarm at closed,68:Alarm at open,69:Case cleaning,70:Forced cooling,71:Open blinds,72:Coordinated def.,73:Forced closing,74:Shut down,75:Light control,76:Leak detection,77:Adap liquid ctrl,0:None,1:AKV opening A,2:Fan,3:Fan ECO,4:Defrost A,5:Rail heat,6:Alarm,7:Light,8:Blinds,9:Compressor 1,10:Compressor 2,11:Air heater,12:Drain valve,13:Suction valve,14:Hotgas valve,15:Defrost B,16:Humidifier",0,List of possible features that can be associated to a physical input or output,0,Id_1056330,0,1,,1056330,R,N,"['S3 Air ON evap. A:65', 'S4 Air OFF evap. A:66', 'S5 Evaporator A:67', 'S6 product temp.:68', 'S3 Air ON evap. B:69', 'S5 Evaporator B:70', 'Humidity sensor:38', 'Rail heat PWM:34', 'Fan:4', 'Fan ECO:59', 'Defrost A:60', 'Rail heat:61', 'Alarm:62', 'Light:30', 'Blinds:33', 'Compressor 1:11', 'Compressor 2:12', 'Air heater:10', 'Drain valve:63', 'Suction valve:63', 'Hotgas valve:63', 'Defrost B:64', 'Humidifier:38']"
