Name,Enum
Valve step positioning,"0:Fullstep,1:Halfstep,2:Auto"
Valve total steps,
Valve speed,
Valve start speed,
Valve emengency speed,
Valve acceleration current,
Valve acceleration time,
Valve holding current,
Valve step mode,"0:Full,1:Half,2:1/4,3:1/8,4:1/16"
Valve duty cycle,
Valve OD during stop,
Start backlash,
Compensation backlash,
Overdrive,
Overdrive enable OD,
Overdrive block time,
Valve motor decay mode,"0:Fast,1:Slow,2:Mixed"
Valve excitation time after stop,
Preset OD,
Valve neutral zone,
Ext ref. configuration 1A,"0:Not Used,1:V->SH,2:V->Max OD"
Ext ref. configuration 1B,"0:Not Used,1:V->SH,2:V->Max OD,3:V->Temp,4:Modbus->SH,5:Modbus->Max OD,6:Modbus->T."
Ext ref. configuration 1C,"0:Not Used,1:V->SH,2:V->Max OD,3:V->Temp,4:Modbus->SH,5:Modbus->Max OD,6:Modbus->T.,7:mA->SH,8:mA->Max OD,9:mA->Temp"
Ext ref. voltage high,
Ext ref. current low,
Ext ref. current high,
Ext ref voltage low,
Driver reference configuration 1B,"0:Voltage to OD,1:Modbus to OD,2:Modbus to steps"
Driver reference configuration 1C,"0:Voltage to OD,1:Modbus to OD,2:Modbus to steps,3:Current to OD"
AI4 lowpass bandwidth,"0:None,1:4 Hz,2:2 Hz,3:1 Hz,4:1/2 Hz,5:1/5 Hz"
Language,"0:English,1:Chinese,2:Portuguese,3:Russian,4:Spanish,5:French,6:German,7:Italian"
Login timeout,
Backlight timeout,
Password daily,
Password service,
Password commission,
Contrast,
Brightness,
Display unit,"0:MET,1:IMP"
Opening degree unit,"0:Percentage,1:Step"
Controller adr.,
CAN bus min. update interval,
Modbus min. update interval,
Modbus baudrate,"0:0,1:1200,2:2400,3:4800,4:9600,5:14400,6:19200,7:28800,8:38400"
Modbus mode,"0:8N1,1:8E1,2:8N2"
Modbus mapping,"0:Operation,1:Configuration"
Can baudrate,"0:20k,1:50k,2:125k,3:250k,4:500k,5:1M"
Signal sharing Pe,"0:Off,1:On"
Signal sharing Pc,"0:Off,1:On"
Signal sharing S3,"0:Off,1:On"
Operation status,"0:Power up,1:Stop,2:Manual,3:Service,4:Safe State,5:Defrosting,6:Valve driver,7:Ther. Cutout,8:Emer. cooling,9:SH ctrl err.,10:SH start Pctrl,11:SH start fix OD,12:SH ctrl normal,13:SH ctrl MTR,14:SH ctrl LOP,15:SH ctrl minPC,16:SH ctrl MOP,17:SH ctrl maxPc,18:SH ctrl SH cl,19:SH ctrl minS4,20:SH ctrl Tc"
Actual SH reference,
Actual superheat,
Actual OD,
Actual step,
Actual temperature reference,
S2 suction pipe,
S3 media inlet,
S4 media outlet,
Pe evaporator,
Te saturated evaporation temperature,
Pc condenser,
Tc saturated condenser temperature,
Actual battery voltage,
Liquid line solenoid valve,"0:Off,1:On"
Alarm relay,"0:Off,1:On"
External reference signal,
External reference signal,
Act. ext. ref. temperature offset,
Act. ext. ref. SH offset,
Act. ext.ref. max. OD,
DI main switch,"0:Off,1:On"
DI defrost start,"0:Off,1:On"
DI preset OD,"0:Off,1:On"
DI heating,"0:Off,1:On"
Thermostat cut-in time,
Thermostat average cut-in time,
Thermostat average cut-out time,
Average temperature,
Average SH,
Manual mode,"0:Off,1:On"
Manual mode timeout,
Manual OD,
Manual step,
Manual homeing,"0:Off,1:On"
Manual relay DO1,"0:Off,1:On"
Apply defaults,"0:None,1:Factory,2:EKD 316 like,3:EKC 316 like"
Enter service state,"0:Off,1:On"
Temperature difference,
Valve Dim,
Heat valve dim,
Heat temperature difference,
Modbus Heating,"0:Off,1:On"
Modbus preset OD,"0:Off,1:On"
Modbus defrost start,"0:Off,1:On"
Modbus main switch,"0:Off,1:On"
Bus shared Pc,
Bus shared  Pe,
Bus shared S2,
Bus shared S3,
Bus shared S4,
Bus ext. ref.,
event log Enabled,"0:Off,1:On"
event log Clear,
Life time,
Maximum execution time,
Number of active alarms,
Alarm notification,"0:No alarms,1:Alarms active"
Alarm status,"0:Off,1:On"
Warning status,"0:Off,1:On"
Error status,"0:Off,1:On"
Main switch status,
Injection state,"0:Off,1:Startup,2:Injection,3:Error,4:Ther. Cutout"
Controller state,"0:Powerup,1:Stop,2:Operation,3:Manual,4:Service,5:Safe"
Injection details,"0:Off,1:SH ctrl normal,2:SH ctrl MTR,3:SH ctrl LOP,4:SH ctrl MOP,5:SH ctrl minPC,6:SH ctrl maxPc,7:SH ctrl SH cl,8:SH ctrl minS4,9:Start P.Control,10:Start Fixed,11:Manual,12:SH ctrl Tc"
Actual operation,"0:None,1:Defrosting,2:Thermostat,3:Injection,4:Driver,5:Emer. cooling"
Valve Version High,
Valve Version Low,
Valve Version Major,
Valve Version Minor,
Valve Date High,
Valve Date Low,
Valve current position,
Valve target position,
Valve current state,"0:Init,1:Config,2:Init Close,3:Auto,4:Manual,5:Service,6:Overdrive,7:Man. Overdrive,8:Emer Close,9:Emer Close Comp.,10:Batt Disable,11:Reset,12:Stepper Fault,13:OC Fault,14:Voltage too low"
Start overdrive command,"0:IDLE,1:START,2:CMD_SENT,3:RUNNING"
Service number of steps,
EKE 1V Variant,"0:EKE 1A,1:EKE 1B,2:EKE 1C"
Power fault enabled,"0:Off,1:On"
Stepper fault enabled,"0:Off,1:On"
Communication fault enabled,"0:Off,1:On"
Open circuit fault enabled,"0:Off,1:On"
Max. diff. between coil current and setting,
Max. diff. between coil currents,
User controls LEDs,"0:Off,1:On"
Green LED pattern,
Red LED pattern,
AI1 configuration (internal),"0:Not Used,1:S3,2:S4"
AI4 configuration (internal),"0:Not Used,1:ExtRef,2:pc"
AI5 configuration (internal),"0:Not Used,1:S3,2:S4"
S2 sensor configuration (internal),"0:Not defined,1:EKS 221,2:ACCPBT NTC10K,3:MBT 153 10K,4:112CP,5:Bus Shared,6:AKS"
S3 sensor configuration (internal),"0:Not defined,1:EKS 221,2:ACCPBT NTC10K,3:MBT 153 10K,4:112CP,5:Bus Shared,6:AKS"
S4 sensor configuration (internal),"0:Not defined,1:EKS 221,2:ACCPBT NTC10K,3:MBT 153 10K,4:112CP,5:Bus Shared,6:AKS"
Pe transmitter configuration (internal),"0:Not defined,1:AKS 32R,2:ACCPBP Ratio,3:112CP,4:OEM Ratio,5:NSK,6:AKS 32 1-5V,7:OEM Voltage,8:Bus shared,9:AKS 32 1-6V,10:AKS 32 0-10V,11:AKS 33,12:XSK,13:ACCPBP Current,14:OEM Current"
Pe voltage low (internal),
Pe voltage high (internal),
Pc transmitter configuration (internal),"0:Not defined,1:AKS 32R,2:ACCPBP Ratio,3:112CP,4:OEM Ratio,5:NSK,6:AKS 32 1-5V,7:OEM Voltage,8:Bus shared,9:AKS 32 1-6V,10:AKS 32 0-10V,11:AKS 33,12:XSK,13:ACCPBP Current,14:OEM Current"
Ext ref. configuration (internal),"0:Not Used,1:V->SH,2:V->Max OD,3:V->Temp,4:Modbus->SH,5:Modbus->Max OD,6:Modbus->T.,7:mA->SH,8:mA->Max OD,9:mA->Temp"
Driver reference configuration (internal),"0:Voltage to OD,1:Modbus to OD,2:Modbus to steps,3:Current to OD"
DI3 configuration (internal),"0:Not Used,1:Defrost Start,2:Preset OD,3:Heat/Cool"
Valve configuration error,"0:Off,1:On"
Configuration error,"0:Off,1:On"
Sensor supply overload,"0:Off,1:On"
S2 suction pipe sensor error,"0:Off,1:On"
S3 media inlet sensor error,"0:Off,1:On"
S4 media outlet sensor error,"0:Off,1:On"
Pe evaporator transmitter error,"0:Off,1:On"
Pc condenser transmitter error,"0:Off,1:On"
External reference signal alarm,"0:Off,1:On"
No refrigerant selected,"0:Off,1:On"
No valve configured,"0:Off,1:On"
Shared signal timeout,"0:Off,1:On"
Ext. ref. via modbus timeout,"0:Off,1:On"
Battery critical low voltage,"0:Off,1:On"
Battery too high voltage,"0:Off,1:On"
Battery low voltage,"0:Off,1:On"
Low S4 media outlet temperature,"0:Off,1:On"
High temperature,"0:Off,1:On"
Low temperature,"0:Off,1:On"
High evaporation pressure (MOP),"0:Off,1:On"
Low evaporation pressure (LOP),"0:Off,1:On"
High condensing temperature,"0:Off,1:On"
High superheat,"0:Off,1:On"
Low superheat,"0:Off,1:On"
Lack of valve capacity,"0:Off,1:On"
Standby mode,"0:Off,1:On"
Manual control,"0:Off,1:On"
SH reference too close to SH close setpoint,"0:Off,1:On"
LOP setpoint too close to MOP setpoint,"0:Off,1:On"
No sensor configured for S4,"0:Off,1:On"
No sensor configured for S3,"0:Off,1:On"
SH min higher than SH max,"0:Off,1:On"
OD min higher than OD max,"0:Off,1:On"
No transmitter configured for Pc,"0:Off,1:On"
Check valve step mode vs positioning,"0:Off,1:On"
Valve speed too fast,"0:Off,1:On"
Valve speed to slow,"0:Off,1:On"
Valve emergency speed too fast,"0:Off,1:On"
Valve emergency speed too slow,"0:Off,1:On"
Valve start speed too slow,"0:Off,1:On"
DI1 unstable input,"0:Off,1:On"
DI2 unstable input,"0:Off,1:On"
DI3 unstable input,"0:Off,1:On"
Open circuit on valve,"0:Off,1:On"
AI5 cant operate with AKS sensor,"0:Off,1:On"
Valve short circuit or driver too hot,"0:Off,1:On"
Thermostatic signal missing,"0:Off,1:On"
SH control signal missing,"0:Off,1:On"
Low supply voltage,"0:Off,1:On"
No sensor configured for S2,"0:Off,1:On"
No transmitter configured for Pe,"0:Off,1:On"
Ext. ref configuration error,"0:Off,1:On"
