"Group_Code","Menu_Code","Group_Name","Name","PNU","Default_Value","Minimum_Value","Maximum_Value","Unit","Scaling","Datatype","Enum","Read_Only","Help","Decimals","Variable_Name","Visibility_Index","Visibility_Rule

"
"","A03","Alarm settings-Settings","Alarm delay","10002","30","0","240","K","0","INT","","1","","0","Id_71","0","

"
"","A12","Alarm settings-Settings","Alarm delay pulldown","10018","90","0","240","K","0","INT","","1","","0","Id_73","0","

"
"","A53","Alarm settings-Settings","Alarm delay B","10054","30","0","240","K","0","INT","","1","","0","Id_86","22","Id_124 == 6 || Id_124 == 7

"
"","a01","Alarm settings-Settings","S6 Product temperature","10096","0","0","1","K","0","Enum","0:No,1:Yes","1","","0","Id_88","23","Id_124 != 6 && Id_124 != 7

"
"","A22","Alarm settings-Settings","S6 High alarm limit","10023","8","-50","50","K","0","","","1","","1","Id_78","18","Id_124 != 6 && Id_124 != 7 && Id_88 == 1

"
"","A24","Alarm settings-Settings","S6 High alarm limit band 2","10025","8","-50","50","K","0","","","1","","1","Id_80","19","Id_124 != 6 && Id_124 != 7 && Id_88 == 1 && (Id_134 == 7) || (Id_135 == 7) || (Id_136 == 7))

"
"","A23","Alarm settings-Settings","S6 Low alarm limit","10024","-30","-50","50","K","0","","","1","","1","Id_79","18","Id_124 != 6 && Id_124 != 7 && Id_88 == 1

"
"","A25","Alarm settings-Settings","S6 Low alarm limit band 2","10026","-30","-50","50","K","0","","","1","","1","Id_81","19","Id_124 != 6 && Id_124 != 7 && Id_88 == 1 && (Id_134 == 7) || (Id_135 == 7) || (Id_136 == 7))

"
"","A26","Alarm settings-Settings","S6 Alarm delay","10027","60","0","240","K","0","INT","","1","","0","Id_82","18","Id_124 != 6 && Id_124 != 7 && Id_88 == 1

"
"","A52","Alarm settings-Settings","S6 Alarm delay pulldown","10053","90","0","240","K","0","INT","","1","","0","Id_87","18","Id_124 != 6 && Id_124 != 7 && Id_88 == 1

"
"","A04","Alarm settings-Settings","Door open delay","10003","60","0","240","K","0","INT","","1","","0","Id_72","17","(Id_134 == 2) || (Id_134 == 3) || (Id_135 == 2) || (Id_135 == 3) || (Id_136 == 2) || (Id_136 == 3)

"
"","o89","Alarm settings-Settings","Door restart injection delay","2120","30","0","240","K","0","INT","","1","","0","Id_150","31","(Id_134 == 2) || (Id_135 == 2) || (Id_136 == 2)

"
"","A27","Alarm settings-Settings","DI1 Alarm delay","10028","30","0","240","K","0","INT","","1","","0","Id_83","20","Id_124 != 7 && Id_124 != 8 && (Id_134 == 8) || (Id_134 == 9))

"
"","A28","Alarm settings-Settings","DI2 Alarm delay","10029","30","0","240","K","0","INT","","1","","0","Id_84","21","(Id_135 == 8) || (Id_135 == 9)

"
"","U57","Humidity control-Status","Humidity","2687","0","0","100","°C","0","INT","","1","","0","Id_283","2","Id_124 == 8

"
"","h23","Humidity control-Humidity control","Humidity cutin SP","2214","70","0","100","°C","0","INT","","1","","0","Id_140","2","Id_124 == 8

"
"","h24","Humidity control-Humidity control","Humidity differential","2215","5","1","30","°C","0","INT","","1","","0","Id_141","2","Id_124 == 8

"
"","h25","Humidity control-Humidity control","Humidity high alarm limit","2216","100","0","100","°C","0","INT","","1","","0","Id_142","2","Id_124 == 8

"
"","h26","Humidity control-Humidity control","Humidity low alarm limit","2217","0","0","100","°C","0","INT","","1","","0","Id_143","2","Id_124 == 8

"
"","h27","Humidity control-Humidity control","Humidity alarm delay","2218","60","0","240","°C","0","INT","","1","","0","Id_144","2","Id_124 == 8

"
"","h29","Humidity control-Humidity control","Humidity sensor min range","2220","0","0","100","°C","0","INT","","1","","0","Id_146","2","Id_124 == 8

"
"","h30","Humidity control-Humidity control","Humidity sensor max range","2221","100","0","100","°C","0","INT","","1","","0","Id_147","2","Id_124 == 8

"
"","h28","Humidity control-Humidity control","Humidity ctrl. at defrost","2219","0","0","1","°C","0","Enum","0:OFF,1:ON","1","","0","Id_145","2","Id_124 == 8

"
"","u00","Injection control-Status","Control state","2007","10","0","48","°C","0","Enum","0:(s0) Normal,1:(s1) Hold after defrost,2:(s2) Comp. Min ON,3:(s3) Comp. Min OFF,4:(s4) Drip off,5:(s5),6:(s6),7:(s7),8:(s8),9:(s9),10:(s10) Mainswitch OFF,11:(s11) Thermostat cutout,12:(s12) Low S4 temp.,13:(s13),14:(s14) Defrost,15:(s15) Fan delay,16:(s16) Forced Closing,17:(s17) Door open,18:(s18) Melt period,19:(s19) Modulating temp.,20:(s20) Emergency cooling,21:(s21) Injection error,22:(s22) Start Up,23:(s23) Adaptive SH control,24:(s24) Start injection,25:(s25) Manual control,26:(s26) No refrigerant selected,27:(s27),28:(s28),29:(s29) Cleaning,30:(s30) Forced Cooling,31:(s31),32:(s32) Power up,33:(s33) Heating,34:(s34),35:(s35),36:(s36),37:(s37),38:(s38),39:(s39),40:(s40),41:(s41),42:(s42),43:(s43),44:(s44),45:(s45) Shutdown,46:(s46),47:(s47),48:(s48) Flooded inj.","1","","0","Id_284","0","

"
"","u16","Injection control-Status","S4 air off temp.","2531","0","-200","200","°C","0","","","1","","1","Id_286","0","

"
"","u12","Injection control-Status","S3 air on temp.","2530","0","-200","200","°C","0","","","1","","1","Id_287","0","

"
"","u21","Injection control-Status","Superheat","2536","0","-200","200","°C","0","","","1","","1","Id_253","0","

"
"","u22","Injection control-Status","Superheat reference","2535","0","-200","200","°C","0","","","1","","1","Id_254","0","

"
"","x96","Injection control-Status","Valve opening","2636","0","0","100","°C","0","INT","","1","","0","Id_291","0","

"
"","u26","Injection control-Status","Te Evaporating temp.","2544","0","-200","200","°C","0","","","1","","1","Id_290","0","

"
"","u20","Injection control-Status","S2 Gas outlet temp.","2537","0","-200","200","°C","0","","","1","","1","Id_292","0","

"
"","u25","Injection control-Status","Pe Evaporating pressure","2543","0","-1","200","°C","0","","","1","","1","Id_268","0","

"
"","n10","Injection control-Settings","Min superheat limit","3021","3","2","20","°C","0","","","1","","1","Id_15","0","

"
"","n09","Injection control-Settings","Max superheat limit","3015","12","2","20","°C","0","","","1","","1","Id_16","0","

"
"","n11","Injection control-Settings","MOP temperature","3013","15","-50","15","°C","0","","","1","","1","Id_17","0","

"
"","n13","Injection control-Settings","AKV Period time","3019","6","3","6","°C","0","INT","","1","","0","Id_18","0","

"
"","P87","Injection control-Settings","Min superheat limit flooded","3153","1","0","20","°C","0","","","1","","1","Id_156","0","

"
"","P86","Injection control-Settings","Max superheat limit flooded","3152","3","0","20","°C","0","","","1","","1","Id_155","0","

"
"","x65","Injection control-Settings","Refrigerant factor A1","2548","8000","8000","12000","°C","0","INT","","1","","0","Id_107","27","Id_129 == 13

"
"","x66","Injection control-Settings","Refrigerant factor A2","2549","-1000","-4000","-1000","°C","0","INT","","1","","0","Id_108","27","Id_129 == 13

"
"","x67","Injection control-Settings","Refrigerant factor A3","2550","1000","1000","3000","°C","0","INT","","1","","0","Id_109","27","Id_129 == 13

"
"","n21","Injection control-Advanced","Superheat control","3026","1","1","1","°C","0","Enum","0:Adaptive superheat,1:Load based superheat","1","","0","Id_110","0","

"
"","x68","Injection control-Advanced"," SH close","3027","2","-1","15","°C","0","","","1","","1","Id_111","0","

"
"","x69","Injection control-Advanced"," AFidentForce","3127","0","0","20","°C","0","","","1","","1","Id_112","0","

"
"","x70","Injection control-Advanced"," SH Kp min","3128","2","0.1","5","°C","0","","","1","","1","Id_113","0","

"
"","x71","Injection control-Advanced"," SH Kp max","3129","4","0.1","20","°C","0","","","1","","1","Id_114","0","

"
"","x72","Injection control-Advanced"," SH Tn","3130","300","10","900","°C","0","INT","","1","","0","Id_115","0","

"
"","x73","Injection control-Advanced"," Te-gain","3133","-1","-1","20","°C","0","","","1","","1","Id_116","0","

"
"","x74","Injection control-Advanced"," SHref Tn","3136","240","30","900","°C","0","INT","","1","","0","Id_117","0","

"
"","x75","Injection control-Advanced"," SHref Kp","3137","0.4","0.04","4","°C","0","","","1","","2","Id_118","0","

"
"","x76","Injection control-Advanced"," S2 Stability","3138","30","1","100","°C","0","INT","","1","","0","Id_119","0","

"
"","x77","Injection control-Advanced"," MTR Kpfactor","3059","4","1","50","°C","0","","","1","","1","Id_120","0","

"
"","x78","Injection control-Advanced"," MTR Tn sec","3058","900","100","1800","°C","0","INT","","1","","0","Id_121","0","

"
"","x79","Injection control-Advanced"," AFident","3134","3","-200","200","°C","0","","","1","","1","Id_269","0","

"
"","x80","Injection control-Advanced"," Max OD %","3135","100","0","100","°C","0","INT","","1","","0","Id_270","0","

"
"","x87","Injection control-Advanced"," SHcloseFlood","3155","-3","-5","15","°C","0","","","1","","1","Id_123","0","

"
"","x86","Injection control-Advanced"," S2 StabFlood","3154","100","1","100","°C","0","INT","","1","","0","Id_122","0","

"
"","u00","Defrost control-Status","Control state","2007","10","0","48","%","0","Enum","0:(s0) Normal,1:(s1) Hold after defrost,2:(s2) Comp. Min ON,3:(s3) Comp. Min OFF,4:(s4) Drip off,5:(s5),6:(s6),7:(s7),8:(s8),9:(s9),10:(s10) Mainswitch OFF,11:(s11) Thermostat cutout,12:(s12) Low S4 temp.,13:(s13),14:(s14) Defrost,15:(s15) Fan delay,16:(s16) Forced Closing,17:(s17) Door open,18:(s18) Melt period,19:(s19) Modulating temp.,20:(s20) Emergency cooling,21:(s21) Injection error,22:(s22) Start Up,23:(s23) Adaptive SH control,24:(s24) Start injection,25:(s25) Manual control,26:(s26) No refrigerant selected,27:(s27),28:(s28),29:(s29) Cleaning,30:(s30) Forced Cooling,31:(s31),32:(s32) Power up,33:(s33) Heating,34:(s34),35:(s35),36:(s36),37:(s37),38:(s38),39:(s39),40:(s40),41:(s41),42:(s42),43:(s43),44:(s44),45:(s45) Shutdown,46:(s46),47:(s47),48:(s48) Flooded inj.","1","","0","Id_284","0","

"
"","u09","Defrost control-Status","S5 Evaporator temp.","1011","0","-200","200","%","0","","","1","","1","Id_293","39","Id_23 > 0 && (Id_32 == 1 || Id_32 == 3)

"
"","u75","Defrost control-Status","S5B Evaporator temp.","2595","0","-200","200","%","0","","","1","","1","Id_294","40","Id_124 == 7

"
"","u11","Defrost control-Status","Defrosting time","2508","0","0","900","%","0","INT","","1","","0","Id_258","0","

"
"","U01","Defrost control-Status","Adaptive defrost state","2628","0","0","6","%","0","Enum","0:Not used,1:Error,2:Tuning,3:No ice,4:Little ice,5:Medium ice,6:Heavy ice","1","","0","Id_259","0","

"
"","U10","Defrost control-Status","Accumulated defrosts","2648","0","0","32767","%","0","INT","","1","","0","Id_260","0","

"
"","U11","Defrost control-Status","Accumulated skipped defrosts","2649","0","0","32767","%","0","INT","","1","","0","Id_261","0","

"
"","x02","Defrost control-Status"," Tc temp. Ave","2635","0","-200","200","%","0","","","1","","1","Id_325","32","Id_37 >= 1

"
"","x09","Defrost control-Settings","Start defrost","1013","0","0","1","%","0","Enum","0:OFF,1:ON","1","","0","Id_168","0","

"
"","x10","Defrost control-Settings","Stop defrost","1060","0","0","1","%","0","Enum","0:OFF,1:ON","1","","0","Id_169","0","

"
"","d01","Defrost control-Settings","Defrost method","1000","1","0","4","%","0","Enum","0:None,1:Electric,2:Hotgas,3:Brine,4:Air","1","","0","Id_23","0","

"
"","d10","Defrost control-Settings","Defrost stop sensor","1009","0","0","3","%","0","Enum","0:Time,1:S5 sensor,2:S4 sensor,3:Multiple S5","1","","0","Id_32","0","

"
"","d02","Defrost control-Settings","Defrost stop temperature","1001","6","0","50","%","0","","","1","","1","Id_24","11","Id_32 > 0

"
"","d03","Defrost control-Settings","Defrost time interval","1002","8","0","240","%","0","INT","","1","","0","Id_25","0","

"
"","d05","Defrost control-Settings","Time staggering power up","1004","0","0","240","%","0","INT","","1","","0","Id_27","0","

"
"","d18","Defrost control-Settings","Max thermostat runtime","1020","0","0","240","%","0","INT","","1","","0","Id_35","0","

"
"","d04","Defrost control-Settings","Max defrost time","1003","45","0","360","%","0","INT","","1","","0","Id_26","0","

"
"","d16","Defrost control-Settings","Pump down delay","1018","0","0","60","%","0","INT","","1","","0","Id_33","0","

"
"","d23","Defrost control-Settings","Hot gas injection delay","1037","0","0","60","%","0","INT","","1","","0","Id_38","12","Id_124 == 5

"
"","d06","Defrost control-Settings","DripOff time","1005","0","0","60","%","0","INT","","1","","0","Id_28","0","

"
"","o16","Defrost control-Settings","Max hold time","2020","20","0","360","%","0","INT","","1","","0","Id_36","0","

"
"","d17","Defrost control-Settings","Drain delay","1019","0","0","60","%","0","INT","","1","","0","Id_34","12","Id_124 == 5

"
"","d09","Defrost control-Settings","Fan ctrl. during defrost","1008","1","0","3","%","0","Enum","0:OFF all the time,1:ON,2:ON / stop at drip,3:ON / stop at high temp.","1","","0","Id_31","0","

"
"","d07","Defrost control-Settings","Fan start delay","1007","0","0","60","%","0","INT","","1","","0","Id_29","0","

"
"","d08","Defrost control-Settings","Fan start temp.","1006","-5","-50","10","%","0","","","1","","1","Id_30","0","

"
"","d41","Defrost control-Settings","Fan stop temp.","1059","0","-200","200","%","0","","","1","","1","Id_41","13","Id_31 == 3

"
"","d27","Defrost control-Settings","Railheat at defrost","1045","1","0","2","%","0","Enum","0:No heat,1:Full heat,2:Normal control","1","","0","Id_39","5","Id_124 < 8 || (Id_124 == 9 && (Id_125 == 4 || Id_126 == 4 || Id_128 == 4 || Id_127 == 4 || Id_133 == 4))

"
"","d40","Defrost control-Settings","Display delay after defrost","1058","30","5","240","%","0","INT","","1","","0","Id_40","0","

"
"","d21","Defrost control-Settings","Adaptive defrost control","1029","0","0","4","%","0","Enum","0:Not used,1:Monitoring only,2:Skip day,3:Skip day/night,4:Full adaptive","1","","0","Id_37","0","

"
"","x88","Defrost control-Advanced"," AD FaultSens","1038","1","0.1","5","%","0","","","1","","1","Id_272","32","Id_37 >= 1

"
"","x89","Defrost control-Advanced"," FlashGasSens","1039","1","0.1","5","%","0","","","1","","1","Id_273","32","Id_37 >= 1

"
"","x90","Defrost control-Advanced"," AD AirTuning","1035","0","0","300","%","0","","","1","","1","Id_274","32","Id_37 >= 1

"
"","x91","Defrost control-Advanced"," FaultIndic.1","2630","0","0","300","%","0","","","1","","1","Id_275","32","Id_37 >= 1

"
"","x92","Defrost control-Advanced"," NewAirTunVal","2631","0","0","300","%","0","","","1","","1","Id_276","32","Id_37 >= 1

"
"","x93","Defrost control-Advanced"," Fl.Gas.Indic","2632","0","0","300","%","0","","","1","","1","Id_277","32","Id_37 >= 1

"
"","x94","Defrost control-Advanced"," AD def.req.","1041","0","0","1","%","0","Enum","0:OFF,1:ON","1","","0","Id_278","32","Id_37 >= 1

"
"","Y05","Defrost control-Advanced"," FaultIndic.2","5522","0","0","300","%","0","","","1","","1","Id_331","32","Id_37 >= 1

"
"","Y04","Defrost control-Advanced"," FaultIndic.0","5520","0","0","300","%","0","","","1","","1","Id_332","32","Id_37 >= 1

"
"","Y06","Defrost control-Advanced"," wTuningCount","5523","0","-32768","32767","%","0","INT","","1","","0","Id_333","32","Id_37 >= 1

"
"","Y07","Defrost control-Advanced"," flQdotAir","5524","0","-32768","32767","%","0","","","1","","1","Id_334","32","Id_37 >= 1

"
"","Y08","Defrost control-Advanced"," flQdotRfg","5525","0","-32768","32767","%","0","","","1","","1","Id_335","32","Id_37 >= 1

"
"","Y09","Defrost control-Advanced"," flAirEnthDif","5526","0","-32768","32767","%","0","","","1","","1","Id_336","32","Id_37 >= 1

"
"","Y10","Defrost control-Advanced"," flTuningSum","5527","0","-32768","32767","%","0","","","1","","1","Id_337","32","Id_37 >= 1

"
"","Y11","Defrost control-Advanced"," eADintState","5528","0","-32768","32767","%","0","INT","","1","","0","Id_338","32","Id_37 >= 1

"
"","Y12","Defrost control-Advanced"," wIntrpTimer","5529","0","-32768","32767","%","0","INT","","1","","0","Id_339","32","Id_37 >= 1

"
"","Y13","Defrost control-Advanced"," flHelp1","5530","0","-32768","32767","%","0","","","1","","1","Id_340","32","Id_37 >= 1

"
"","Y14","Defrost control-Advanced"," flHelp2","5531","0","-32768","32767","%","0","","","1","","1","Id_341","32","Id_37 >= 1

"
"","Y15","Defrost control-Advanced"," flHelp3","5532","0","-32768","32767","%","0","","","1","","1","Id_342","32","Id_37 >= 1

"
"","Y17","Defrost control-Advanced"," Light Fact","5540","0.5","0.1","1","%","0","","","1","","1","Id_165","32","Id_37 >= 1

"
"","Y18","Defrost control-Advanced"," Blocked Fact","5541","2","1","5","%","0","","","1","","1","Id_166","32","Id_37 >= 1

"
"","Y19","Defrost control-Advanced"," TimeConstLpf","5542","600","1","2400","%","0","INT","","1","","0","Id_167","32","Id_37 >= 1

"
"","t00","Defrost schedules","Defrost schedule","1200","0","0","1","K","0","Enum","0:OFF,1:ON","1","","0","Id_42","0","

"
