ParameterName,DB_Menucode,KP_Menucode,Result,DB_DefaultValue,KP_DefaultValue,Result,DB_MinValue,KP_MinValue,Result,DB_MaxValue,KP_MaxValue,Result,DB_Unit,KP_Unit,Result,DB_Info,KP_Info,Result
Password,o05,o05,True,0,0,True,0,0,True,999,999,True,,,True,,If the settings in the controller are to be protected with an access code you can set a numerical value between 0 and 999. You can cancel the function by setting to 0.,False
Cooling/Heating,o07,o07,True,Cooling,Cooling,True,0,,False,1,,False,,,True,,This parameter is applicable only for single relay controller (ERC211) for selecting cooling or heating application.,False
Display Resolution ,o15,o15,True,0.1,0.1,True,0,,False,1,,False,,,True,,This parameter defines the steps in which the temperature must be displayed by 0.1 or 0.5 or 1.,False
Relay 1 counter,o23,o23,True,0,,False,0,,False,999,,False,,,True,,"The number of cycles for the “DO1” relay can be read in this menu.
The read value is multiplied by 100 to obtain the number of cycles.
On reaching 999x100 cycles the counts stops and is reset to 0.",False
"Save settings as factory
",o67,o67,True,No,No,True,0,,False,1,,False,,,True,,"This parameter when set to YES. The current controller Parameter settings are stored as Factory default.
WARNING: original factory settings are overwritten.",False
"Display during defrost
 ",o91,o91,True,-d-,-d-,True,0,,False,2,,False,,,True,,"You can set what is to be displayed during defrost here.
""Air""actual air temperature
""FrE""=freezed temperature( display the temperature just before starting defrost)
""-d”-d-” is displayed",False
DI1 polarity,P73,P73,True,no,no,True,0,,False,1,,False,,,True,,"""no (normally open)""associated functionality is activated when “DI1” port is short circuit. The associated function is deactivated when “DI1” port is open circuit.
""nc (normally closed)""associated functionality is activated when “DI1” port is open circuit and deactivated
when “DI1” port is short circuit",False
Keyboard lock,P76,P76,True,No,No,True,0,,False,1,,False,,,True,,YES=enable keyboard lock functionality after 5 minutes of no activity on the keypad.,False
"Controller status
",u00,u00,True,S25,,False,0,,False,12,,False,,,True,,,True
Air temperature (Sair),u01,u01,True,0,,False,-100,,False,200,,False,°C,°C,True,,,True
Present regulation reference,u02,u02,True,0,,False,-100,,False,200,,False,,,True,,,True
DI1 status,u10,u10,True,Off,,False,0,,False,1,,False,,,True,,,True
Night mode,u13,u13,True,Off,,False,0,,False,1,,False,,,True,,,True
Condenser temperature (Sc),U09,U09,True,0,,False,0,,False,1,,False,,,True,,,True
Compressor relay status,u58,u58,True,Off,,False,0,,False,1,,False,,,True,,,True
Firmware version,u80,u80,True,0,,False,0,,False,1,,False,,,True,,,True
Database version,,,True,7,,False,-32768,,False,32767,,False,,,True,,,True
Order No Low,,,True,7,,False,-32768,,False,32767,,False,,,True,, ,False
Defrost Method,d01,d01,True,None,None,True,0,,False,1,,False, , ,True,,"Here you set whether defrost is to be accomplished by electric, Hot gas or natural method.
""No"" none
""nAt"" natural
""EL"" ",False
Defrost Stop Sensor,d10,d10,True,None,None,True,0,,False,1,,False,,,True,,"This parameter is to define which sensor has to be used to exit/terminate the defrost.
""non"" none, defrost is based on time
""Air"" Sair sensor
",False
Predefined applications,61,061,False,App1,,False,0,,False,5,,False,,,True,,"Predefined applications is to give the user an easy and fast way to configure the controller refer to a specific
application based on storage temperature, defrost type and defrost method.
""App 0"" No predefined application
""App 1"" : Medium temperature without defrost.
Temperature is 4-20 °C.
Defrost type is None.
Defrost end is None.           
""App 2"" Medium temperature ventilated refrigeration units
with timed electrical defrost
""App3"" Low temperature ventilated refrigeration units with
timed electrical defrost
""App4"" Medium temperature ventilated refrigeration units
with electrical defrost (by temperature)
""App5"" Low temperature ventilated refrigeration units with
electrical defrost (by temperature)
",False
Air temperature sensor(Sair) error,E29,E29,True,0,,False,0,,False,0,,False,,,True,,,True
High temperature alarm,A01,A01,True,0,,False,0,,False,0,,False,,,True,,,True
Low temperature alarm,A02,A02,True,0,,False,0,,False,0,,False,,,True,,,True
High voltage alarm,A99,A99,True,0,,False,0,,False,0,,False,,,True,,,True
Low voltage alarm,AA1,AA1,True,0,,False,0,,False,0,,False,,,True,,,True
High condenser temperature alarm,A61,A61,True,0,,False,0,,False,0,,False,0,,False,,,True
Door alarm,A04,A04,True,0,,False,0,,False,0,,False,0,,False,,,True
DI external alarm,A15,A15,True,0,,False,0,,False,0,,False,0,,False,,0,False
High temperature alarm,A01,A01,True,0,,False,0,,False,0,,False,,,True,,,True
Low temperature alarm,A02,A02,True,0,,False,0,,False,0,,False,,,True,,,True
High voltage alarm,A99,A99,True,0,,False,0,,False,0,,False,,,True,,,True
Low voltage alarm,AA1,AA1,True,0,,False,0,,False,0,,False,,,True,,,True
High condenser temperature alarm,A61,A61,True,0,,False,0,,False,0,,False,0,,False,,,True
Door alarm,A04,A04,True,0,,False,0,,False,0,,False,0,,False,,,True
DI external alarm,A15,A15,True,0,,False,0,,False,0,,False,0,,False,,0,False
